attore_id,nome,cognome
46,PARKER,GOLDBERG
62,JAYNE,NEESON
173,ALAN,DREYFUSS
78,GROUCHO,SINATRA
108,WARREN,NOLTE
153,MINNIE,KILMER
59,DUSTIN,TAUTOU
170,MENA,HOPPER
132,ADAM,HOPPER
14,VIVIEN,BERGEN
50,NATALIE,HOPKINS
136,ED,MANSFIELD
102,WALTER,TORN
186,JULIA,ZELLWEGER
5,JOHNNY,LOLLOBRIGIDA
175,WILLIAM,HACKMAN
184,HUMPHREY,GARLAND
105,SIDNEY,CROWE
125,ALBERT,NOLTE
150,JAYNE,NOLTE
95,DARYL,WAHLBERG
133,RICHARD,PENN
198,MARY,KEITEL
58,CHRISTIAN,AKROYD
72,SEAN,WILLIAMS
121,LIZA,BERGMAN
36,BURT,DUKAKIS
138,LUCILLE,DEE
69,KENNETH,PALTROW
31,SISSY,SOBIESKI
130,GRETA,KEITEL
148,EMILY,DEE
30,SANDRA,PECK
45,REESE,KILMER
64,RAY,JOHANSSON
42,TOM,MIRANDA
22,ELVIS,MARX
54,PENELOPE,PINKETT
140,WHOOPI,HURT
39,GOLDIE,BRODY
197,REESE,WEST
32,TIM,HACKMAN
103,MATTHEW,LEIGH
174,MICHAEL,BENING
96,GENE,WILLIS
10,CHRISTIAN,GABLE
183,RUSSELL,CLOSE
17,HELEN,VOIGHT
4,JENNIFER,DAVIS
55,FAY,KILMER
168,WILL,WILSON
80,RALPH,CRUZ
25,KEVIN,BLOOM
71,ADAM,GRANT
12,KARL,BERRY
24,CAMERON,STREEP
115,HARRISON,BALE
172,GROUCHO,WILLIAMS
116,DAN,STREEP
44,NICK,STALLONE
147,FAY,WINSLET
196,BELA,WALKEN
15,CUBA,OLIVIER
159,LAURA,BRODY
162,OPRAH,KILMER
187,RENEE,BALL
177,GENE,MCKELLEN
191,GREGORY,GOODING
101,SUSAN,DAVIS
126,FRANCES,TOMEI
120,PENELOPE,MONROE
98,CHRIS,BRIDGES
89,CHARLIZE,DENCH
118,CUBA,ALLEN
23,SANDRA,KILMER
114,MORGAN,MCDORMAND
48,FRANCES,DAY-LEWIS
37,VAL,BOLGER
161,HARVEY,HOPE
67,JESSICA,BAILEY
41,JODIE,DEGENERES
110,SUSAN,DAVIS
3,ED,CHASE
99,JIM,MOSTEL
112,RUSSELL,BACALL
49,ANNE,CRONYN
16,FRED,COSTNER
142,JADA,RYDER
66,MARY,TANDY
128,CATE,MCQUEEN
86,GREG,CHAPLIN
35,JUDY,DEAN
134,GENE,HOPKINS
63,CAMERON,WRAY
146,ALBERT,JOHANSSON
181,MATTHEW,CARREY
152,BEN,HARRIS
79,MAE,HOFFMAN
38,TOM,MCKELLEN
85,MINNIE,ZELLWEGER
