attore_id,film_id
30,262
60,971
94,724
159,206
62,272
172,649
193,462
105,750
41,249
43,56
88,234
152,898
81,11
169,349
57,592
59,984
183,495
182,695
16,456
83,784
48,599
65,577
43,180
183,389
139,540
192,426
154,158
94,517
147,318
64,10
190,682
60,436
57,34
107,138
186,208
140,498
175,191
43,105
95,546
101,841
18,917
29,862
182,677
96,987
37,467
143,141
199,785
155,312
144,393
133,868
80,260
91,511
149,169
91,190
151,167
83,833
190,62
107,548
129,452
51,990
53,490
190,234
26,906
140,576
29,110
99,84
108,652
103,215
186,95
168,959
173,188
200,5
44,58
198,628
54,301
93,680
144,228
158,616
191,544
176,726
36,569
110,539
8,769
50,243
93,325
104,463
58,553
112,666
155,153
102,508
175,998
129,391
29,342
1,25
189,519
200,465
109,622
185,965
132,311
158,293
142,759
32,667
69,452
38,450
93,339
70,504
82,911
79,473
96,40
193,937
41,678
17,603
6,53
143,239
59,772
65,541
155,249
86,216
165,421
81,527
73,748
141,863
65,475
160,267
24,148
147,957
32,309
129,640
192,69
63,392
104,657
79,788
59,702
15,541
105,315
195,649
136,56
117,550
12,216
173,852
185,554
182,301
39,222
167,734
61,372
49,207
96,590
162,4
104,184
19,152
172,368
184,87
188,593
186,648
123,43
195,534
69,791
135,170
106,457
47,923
198,464
61,362
55,307
34,119
52,203
147,508
23,78
125,324
106,194
106,500
119,87
130,869
19,711
17,199
19,750
116,384
34,393
59,5
185,761
94,473
185,665
167,339
94,76
61,766
82,316
189,734
108,693
171,898
133,594
140,830
70,725
143,457
115,246
70,343
17,770
197,369
156,518
158,66
8,263
136,193
40,744
20,274
82,104
41,779
74,704
129,247
77,13
49,709
42,890
7,25
57,153
26,732
113,921
185,494
82,143
36,426
113,981
27,334
138,695
61,585
61,639
157,642
87,253
124,190
13,254
153,732
176,758
90,838
184,221
128,944
104,607
43,161
133,514
37,662
148,422
190,87
21,159
45,508
77,153
145,109
72,718
164,431
85,296
94,122
164,984
90,925
35,256
28,508
144,293
177,175
60,299
138,446
174,168
125,497
163,307
4,379
102,958
76,606
99,978
140,670
10,236
33,993
