assays_ss_d,assays_cnfdnc_scr,assays_vrnt_d,assays_ss_ctgr,assays_tss_d,assays_ss_sbclllr_frctn,assays_ss_tst_tp,assays_ss_rgnsm,assays_src_ss_d,assays_src_d,assays_rltnshp_tp,assays_ss_cll_tp,assays_td,assays_crtd_b,assays_chmbl_d,assays_cll_d,assays_b_frmt
7524,1,,,2113.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618647,,BAO_0000218
7525,1,,,2113.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618648,,BAO_0000218
7526,1,,,2113.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618649,,BAO_0000218
7527,1,,,2107.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618650,,BAO_0000218
7528,1,,,2107.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618651,,BAO_0000218
7529,1,,,2107.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL876497,,BAO_0000218
7530,1,,,2048.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618652,,BAO_0000218
7531,1,,,2048.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618653,,BAO_0000218
7532,1,,,2048.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618654,,BAO_0000218
7533,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618655,,BAO_0000218
7534,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618656,,BAO_0000218
7535,0,,,,,,,,1,U,,22229,Intermediate,CHEMBL618657,,BAO_0000100
7536,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618658,,BAO_0000218
7537,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618659,,BAO_0000218
7538,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618660,,BAO_0000218
7539,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618661,,BAO_0000218
7540,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL873807,,BAO_0000218
7541,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618662,,BAO_0000218
7542,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618663,,BAO_0000218
7543,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618664,,BAO_0000218
7544,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618665,,BAO_0000218
7545,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL876498,,BAO_0000218
7546,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618666,,BAO_0000218
7547,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL620440,,BAO_0000218
7548,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL620441,,BAO_0000218
7549,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL620442,,BAO_0000218
7550,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL620443,,BAO_0000218
7551,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL620444,,BAO_0000218
7552,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL620445,,BAO_0000218
7553,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL620446,,BAO_0000218
7554,1,,,1969.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL620447,,BAO_0000218
7555,1,,,1969.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL621129,,BAO_0000218
7556,1,,,1969.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL621130,,BAO_0000218
7557,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL873808,,BAO_0000218
7558,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL876598,,BAO_0000218
7559,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL621131,,BAO_0000218
7560,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL621132,,BAO_0000218
7561,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL621133,,BAO_0000218
7562,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Expert,CHEMBL621312,,BAO_0000218
7563,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL621313,,BAO_0000218
7564,1,,,178.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL621314,,BAO_0000218
7565,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL621315,,BAO_0000218
7566,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL621316,,BAO_0000218
7567,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL621317,,BAO_0000218
7568,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL621318,,BAO_0000218
7569,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL621319,,BAO_0000218
