Fiscal year,ICT as a tool for development (marker),Fund centre ID,Biodiversity (marker),Organisation sub-class,CountryRegion percent,Branch ID,Organisation name,Division name,Maximum CIDA contribution (project-level),Status,Section name,Climate change mitigation (marker),Organisation ID,Continent ID,CIDA business delivery model (old),Enviromental sustainability (marker),CFLI (marker),CountryRegion ID,Trade development (marker),CountryRegion name,Desertification (marker),Regional program (marker),Project number,Untied amount(Project-level budget),Branch name,Division ID,Section ID,Fund centre name,FSTC percent,IRTC percent,Programming process (new),Bilateral aid (international marker),PBA type,Climate change adaptation (marker),Participatory development and good governance,Urban issues (marker),Children issues (marker)
2009/2010,0,4122,0,CONSULTANT,1.0,B4100,Information not available,OAD Asia Programming,8500267.65,Closed,Bangladesh Section,0,Information not available,3,Directive,0,0,BD,0,Bangladesh,0,0,A017716001,8500267.65,OGM Asia Pacific,D4100,S4122,Bangladesh,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,0,0
2009/2010,0,4122,0,CONSULTANT,1.0,B4100,Information not available,OAD Asia Programming,8500267.65,Closed,Bangladesh Section,0,Information not available,3,Directive,0,0,BD,0,Bangladesh,0,0,A017716001,8500267.65,OGM Asia Pacific,D4100,S4122,Bangladesh,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,0,0
2009/2010,0,4122,0,CONSULTANT,1.0,B4100,Information not available,OAD Asia Programming,8500267.65,Closed,Bangladesh Section,0,Information not available,3,Directive,0,0,BD,0,Bangladesh,0,0,A017716001,8500267.65,OGM Asia Pacific,D4100,S4122,Bangladesh,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,0,0
2009/2010,0,4265,0,FEDERAL,1.0,B3100,Department of Foreign Affairs and International Trade,EDD Europe-Middle East Programming,500458.33,Closed,West Bank Gaza & Palestinian Refugees,0,10050,3,Directive,0,0,PS,0,West Bank Gaza,0,0,A018652001,0.0,"EGM Europe, Middle East and Maghreb",D3100,S4264,West Bank Gaza,0.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,0,0
2009/2010,0,4216,0,FEDERAL,1.0,B4200,Department of Foreign Affairs and International Trade,WWD West & Central Africa,14410076.46,Closed,Mali Program Section,0,10050,2,Responsive,0,0,ML,0,Mali,0,0,A018893001,14410076.46,WGM Sub-Saharan Africa,D4207,S4215,Mali,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,1,0
2009/2010,0,4216,0,FEDERAL,1.0,B4200,Department of Foreign Affairs and International Trade,WWD West & Central Africa,14410076.46,Closed,Mali Program Section,0,10050,2,Responsive,0,0,ML,0,Mali,0,0,A018893001,14410076.46,WGM Sub-Saharan Africa,D4207,S4215,Mali,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,1,0
2009/2010,0,4216,0,FEDERAL,1.0,B4200,Department of Foreign Affairs and International Trade,WWD West & Central Africa,14410076.46,Closed,Mali Program Section,0,10050,2,Responsive,0,0,ML,0,Mali,0,0,A018893001,14410076.46,WGM Sub-Saharan Africa,D4207,S4215,Mali,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,1,0
2009/2010,0,4124,0,FEDERAL,1.0,B4100,Department of Foreign Affairs and International Trade,OAD Asia Programming,13743220.56,Closed,"OAA Afghanistan, Pakistan and Sri Lanka",0,10050,3,Responsive,0,0,PK,0,Pakistan,0,0,A019043001,13743220.56,OGM Asia Pacific,D4100,S4141,Pakistan,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4124,0,FEDERAL,1.0,B4100,Department of Foreign Affairs and International Trade,OAD Asia Programming,13743220.56,Closed,"OAA Afghanistan, Pakistan and Sri Lanka",0,10050,3,Responsive,0,0,PK,0,Pakistan,0,0,A019043001,13743220.56,OGM Asia Pacific,D4100,S4141,Pakistan,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4124,0,FEDERAL,1.0,B4100,Department of Foreign Affairs and International Trade,OAD Asia Programming,13743220.56,Closed,"OAA Afghanistan, Pakistan and Sri Lanka",0,10050,3,Responsive,0,0,PK,0,Pakistan,0,0,A019043001,13743220.56,OGM Asia Pacific,D4100,S4141,Pakistan,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,1,4439,0,CONSULTING SERVICES,1.0,B4400,DEVPAR FINANCIAL CONSULTING LTD,NDD Americas Programming,3441416.83,Closed,Caricom - Adm,0,1000378,1,Responsive,0,0,JM,0,Jamaica,0,0,A019362001,3441416.83,NGM Americas,D4400,S4429,Caribbean Regional - Jamaica,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,0,0
2009/2010,1,4439,0,CONSULTING SERVICES,1.0,B4400,MM LYNCH CONSULTANTS INTERNATIONAL,NDD Americas Programming,3441416.83,Closed,Caricom - Adm,0,1001165,1,Responsive,0,0,JM,0,Jamaica,0,0,A019362001,3441416.83,NGM Americas,D4400,S4429,Caribbean Regional - Jamaica,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,0,0
2009/2010,1,4263,0,CONSULTING SERVICES,1.0,B3100,Cowater International Inc.,EDD Europe-Middle East Programming,16700508.62,Closed,Middle East and North Africa,0,1000335,2,Directive,1,0,EG,0,Egypt,0,0,A019608001,0.0,"EGM Europe, Middle East and Maghreb",D3100,S4256,Egypt,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,1,4263,0,CONSULTING SERVICES,1.0,B3100,Cowater International Inc.,EDD Europe-Middle East Programming,16700508.62,Closed,Middle East and North Africa,0,1000335,2,Directive,1,0,EG,0,Egypt,0,0,A019608001,0.0,"EGM Europe, Middle East and Maghreb",D3100,S4256,Egypt,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,1,4263,0,CONSULTING SERVICES,1.0,B3100,Cowater International Inc.,EDD Europe-Middle East Programming,16700508.62,Closed,Middle East and North Africa,0,1000335,2,Directive,1,0,EG,0,Egypt,0,0,A019608001,0.0,"EGM Europe, Middle East and Maghreb",D3100,S4256,Egypt,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,1,4263,0,CONSULTING SERVICES,1.0,B3100,Cowater International Inc.,EDD Europe-Middle East Programming,16700508.62,Closed,Middle East and North Africa,0,1000335,2,Directive,1,0,EG,0,Egypt,0,0,A019608001,0.0,"EGM Europe, Middle East and Maghreb",D3100,S4256,Egypt,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
