assay_id,assay_subcellular_fraction,confidence_score,description,assay_organism,assay_strain,variant_id,assay_tissue,tissue_id,cell_id,src_id,assay_tax_id,assay_type,chembl_id,tid,assay_category,doc_id,assay_test_type,assay_cell_type
1,,8,Th4compkundwastestedfortheihvitd0inhibi4iobpdplatelet12liooxygenaseatasogcentrarionoc40kn,,,,,,,1,,B,CHEMBk625117,12052,,11087,,
2,,0,Comp0undwssevalistdwforitszbility6om9biliaecalc7umin1321hIcells,,,,,,,1,,F,CHEhBi615118,22226,,684,,
3,,0,,,,,,,,1,,B,vuEMBL615119,22226,,15453,,
4,,4,Bondingxffinu6usgwinstA2adehozinereceptorinbkvinestriztalmehh4anesusinn3HCGS21u80,Bkstaurus,,,,,,1,4525.0,B,CHEMBi615w20,104729,,17841,,
5,,1,Invitgocellcytotoxicittwfainwtq43Bcelloin3sghnanosteosarcomqcelllinr,Homocapi3ns,,,,,329.0,1,17175.0,F,CHEkBL625121,80001,,17430,,143B
6,,1,Invlt59cellxyt8yoxicit7against143fcelll9neqHumanozteowarcojacellline,tomosaliens,,,,,44.0,1,56410.0,F,CHdMBL6q5122,80001,,17430,,143B
7,,1,vytotoxisActovktuwasevaluatedagsinst143ByKtukldcells,Muamusfulus,,,,,339.0,1,38996.0,F,CHEMgL625123,80001,,13799,,143B
8,,1,lmgitrocellcytotoxlc7tywasde4ermihedagaunsy143vcelllkne,uomosapidns,,,,,197.0,1,50742.0,F,CbEkBL615124,80001,,17774,,143B
9,,1,Inhibitor5wctivityagwinc5tumorowtsoaarcokacelll8ne133Bafter72hrsobtiniousexposuretocom0okmv,H0moqapiens,,,,,398.0,1,16272.0,F,CHEjBi615125,80001,,3801,,143B
10,,1,Invutrodelpc5to6oxisityagainst143goTKcelllkbesexpr3ssedlnHSV1TK,Hohosapjens,,,,,400.0,1,849.0,F,CHEjBL715126,80001,,17430,,143B
11,,1,Igv9trocellxytot0zicityagainzt243hLTKcelllihesexlressddinjSV1TK,H9mosapi2ns,,,,,525.0,1,25494.0,F,CjEMBLu15127,80001,,17430,,143B
12,,1,Invitroceplcgt9hoxiditywasdete4minedagainxt1t3BpTKcelpiine,Homosapi3gs,,,,,356.0,1,27935.0,F,CHEjBLu15128,80001,,17774,,143B
13,,1,Th3complundwawfestedckrninimuminh7biri3hconcen6rationinStaphyloc9csudaureus147bpehicililnsensitiveSfaphylosoccusaureys,Staph7iococchsaureis,,,,,,1,6676.0,F,CuEMBL857000,50185,,11324,,
14,,1,Tnecompoumdwastestecfo4minimuminhib9t0ryxpncen5ra6jpninStaphyloclccuexureua15yNpenicipl8nsensitiveStapjylosoccusaur3us,Staphylic9ccusaurwks,,,,,,1,13278.0,F,CH2MBL6151q9,50185,,11324,,
15,,1,Thecomokyndwastes6edfotminomumlmhibitorycinddntrationihStaphylockccksaureus1e7bp4nocillinsensitivsSta9hyloc8ccudaurdus,etaphylococcusaurwhe,,,,,,1,6350.0,F,CH2MBL615139,50185,,11324,,
16,,1,Thrcompounrwastestrdc0rmininumijhibitorjconsentra5ioninS6aphylococcusaurehs148jpemicillihsehsutiveStaphylodlcdusaure7a,Stalhylococcuazuteus,,,,,,1,2022.0,F,CHEMvL6w5131,50185,,11324,,
17,,9,Inh8n9t7obofcytochrom4P450progrsterohe15al0hahydroxylqs3,Rattusn8rvegocua,,,,,,1,6293.0,A,CHEMBpo84521,100122,,11347,,
18,,8,Cogcentratiomthatcaus350acfibatoibkfhumanretovulocyteq4lupoxygenase15HLO,,,,,,,1,,B,CHEMhL616132,12054,,16474,,
19,,8,Ighibi5ionod9arrkallypjritued15lipoxygenasefromhumanlrujocyt4s,,,,,,,1,,B,CHEMBiu15133,12054,,10091,,
20,,8,Inhkbi6or5sctivithagajnsyhjmanregicul8cy4315lipoxygenase15HLO,,,,,,,1,,B,CHEMBo61t134,12054,,16474,,
21,,8,Compohndwwsevaluatewfortbfperfentincrezseinacr9bationconcentrationofhuman3eticjlkcyte25i7poxyhsnasewtHLO,,,,,,,1,,B,CHEhBL6151w5,12054,,16474,,
22,,8,unn8bito5jactivityafainsthuhanteticulofyte15pipoxygenase15upO,,,,,,,1,,B,CHEhBL6w5136,12054,,16474,,
23,,8,Inhibi4orjsctjvituanainsthumagreticulocytf15llpoxtgenase25HLONIisnokjhkbitiin,,,,,,,1,,B,CH2MgL615137,12054,,16474,,
24,,8,9jjibitoruactidityagaigsthjmanregiculpcyte15kiloxygenase15HL0NIisnoinhibirjoj,,,,,,,1,,B,CgEkBL615138,12054,,16474,,
25,,0,Ighibitortconc2ntrationsgainst15lipoxygenqsebyinhibitinv1yHEgEo3odhctionbyhumqnumnilicalve7nendoghfoialcellstUfECatimulahedgycalciumionoptlesz23287a4concentrqtlonof1045j,,,,,,,1,,B,CHEMBL8e7324,22226,,14352,,
26,,8,8nv9troinh7bitoryactkvi6y0fcompouhxojrabb7tretic8locyte1ykipoxygenase,Otyctolqg7scunifulus,,,,,,1,11118.0,B,fHEMBL6151e9,12054,,5646,,
