ASI,BFO,DI,CEI,CHEI,ASSTY,TISI,ASTI,ASCT,ASTIS,SASI,Ti,RELATY,CONFISC,CURAB,SRI,VARII
7524,BAO_0000218,9866,,CHEMBL618647,A,2113.0,10116.0,,Kidney,,50597,N,1,Intermediate,1,
7525,BAO_0000218,9866,,CHEMBL618648,A,2113.0,10116.0,,Kidney,,50597,N,1,Intermediate,1,
7526,BAO_0000218,9866,,CHEMBL618649,A,2113.0,10116.0,,Kidney,,50597,N,1,Intermediate,1,
7527,BAO_0000218,9866,,CHEMBL618650,A,2107.0,10116.0,,Liver,,50597,N,1,Intermediate,1,
7528,BAO_0000218,9866,,CHEMBL618651,A,2107.0,10116.0,,Liver,,50597,N,1,Intermediate,1,
7529,BAO_0000218,9866,,CHEMBL876497,A,2107.0,10116.0,,Liver,,50597,N,1,Intermediate,1,
7530,BAO_0000218,9866,,CHEMBL618652,A,2048.0,10116.0,,Lung,,50597,N,1,Intermediate,1,
7531,BAO_0000218,9866,,CHEMBL618653,A,2048.0,10116.0,,Lung,,50597,N,1,Intermediate,1,
7532,BAO_0000218,9866,,CHEMBL618654,A,2048.0,10116.0,,Lung,,50597,N,1,Intermediate,1,
7533,BAO_0000218,6351,,CHEMBL618655,A,,10116.0,,,,50597,N,1,Intermediate,1,
7534,BAO_0000218,1465,,CHEMBL618656,A,,10116.0,,,,50597,N,1,Intermediate,1,
7535,BAO_0000100,5182,,CHEMBL618657,P,,,,,,22229,U,0,Intermediate,1,
7536,BAO_0000218,17847,,CHEMBL618658,A,,10116.0,,,,50597,N,1,Intermediate,1,
7537,BAO_0000218,15339,,CHEMBL618659,A,,10116.0,,,,50597,N,1,Intermediate,1,
7538,BAO_0000218,5202,,CHEMBL618660,A,,10116.0,,,,50597,N,1,Intermediate,1,
7539,BAO_0000218,1088,,CHEMBL618661,A,,10116.0,,,,50597,N,1,Intermediate,1,
7540,BAO_0000218,3169,,CHEMBL873807,A,,10116.0,,,,50597,N,1,Intermediate,1,
7541,BAO_0000218,5353,,CHEMBL618662,A,,10116.0,,,,50597,N,1,Intermediate,1,
7542,BAO_0000218,2864,,CHEMBL618663,A,,10116.0,,,,50597,N,1,Intermediate,1,
7543,BAO_0000218,2864,,CHEMBL618664,A,,10116.0,,,,50597,N,1,Intermediate,1,
7544,BAO_0000218,2864,,CHEMBL618665,A,,10116.0,,,,50597,N,1,Intermediate,1,
7545,BAO_0000218,6362,,CHEMBL876498,A,,10116.0,,,,50597,N,1,Intermediate,1,
7546,BAO_0000218,6249,,CHEMBL618666,A,,10116.0,,,,50597,N,1,Intermediate,1,
7547,BAO_0000218,3169,,CHEMBL620440,A,,10116.0,,,,50597,N,1,Intermediate,1,
7548,BAO_0000218,3169,,CHEMBL620441,A,,10116.0,,,,50597,N,1,Intermediate,1,
7549,BAO_0000218,3169,,CHEMBL620442,A,,10116.0,,,,50597,N,1,Intermediate,1,
7550,BAO_0000218,17260,,CHEMBL620443,A,,10116.0,,,,50597,N,1,Intermediate,1,
7551,BAO_0000218,17260,,CHEMBL620444,A,,10116.0,,,,50597,N,1,Intermediate,1,
7552,BAO_0000218,17260,,CHEMBL620445,A,,10116.0,,,,50597,N,1,Intermediate,1,
7553,BAO_0000218,17260,,CHEMBL620446,A,,10116.0,,,,50597,N,1,Intermediate,1,
7554,BAO_0000218,2879,,CHEMBL620447,A,1969.0,10116.0,,Plasma,,50597,N,1,Intermediate,1,
7555,BAO_0000218,2879,,CHEMBL621129,A,1969.0,10116.0,,Plasma,,50597,N,1,Intermediate,1,
7556,BAO_0000218,2879,,CHEMBL621130,A,1969.0,10116.0,,Plasma,,50597,N,1,Intermediate,1,
7557,BAO_0000218,3184,,CHEMBL873808,A,,10116.0,,,,50597,N,1,Intermediate,1,
7558,BAO_0000218,4891,,CHEMBL876598,A,,10116.0,,,,50597,N,1,Intermediate,1,
7559,BAO_0000218,429,,CHEMBL621131,A,,10116.0,,,,50597,N,1,Intermediate,1,
7560,BAO_0000218,5656,,CHEMBL621132,A,,10116.0,,,,50597,N,1,Intermediate,1,
7561,BAO_0000218,4413,,CHEMBL621133,A,,10116.0,,,,50597,N,1,Intermediate,1,
7562,BAO_0000218,3598,,CHEMBL621312,A,,10116.0,,,,50597,N,1,Expert,1,
7563,BAO_0000218,17267,,CHEMBL621313,A,,10116.0,,,,50597,N,1,Intermediate,1,
7564,BAO_0000218,4727,,CHEMBL621314,A,178.0,10116.0,,Blood,,50597,N,1,Intermediate,1,
7565,BAO_0000218,17651,,CHEMBL621315,A,,10116.0,,,,50597,N,1,Intermediate,1,
7566,BAO_0000218,17651,,CHEMBL621316,A,,10116.0,,,,50597,N,1,Intermediate,1,
7567,BAO_0000218,401,,CHEMBL621317,A,,10116.0,,,,50597,N,1,Intermediate,1,
7568,BAO_0000218,4942,,CHEMBL621318,A,,10116.0,,,,50597,N,1,Intermediate,1,
7569,BAO_0000218,17735,,CHEMBL621319,A,,10116.0,,,,50597,N,1,Intermediate,1,
7570,BAO_0000218,6056,,CHEMBL621377,A,,10116.0,,,,50597,N,1,Intermediate,1,
7571,BAO_0000218,5213,,CHEMBL621378,A,,10116.0,,,,50597,N,1,Intermediate,1,
7572,BAO_0000218,6616,,CHEMBL876599,A,,10116.0,,,,50597,N,1,Intermediate,1,
7573,BAO_0000218,5937,,CHEMBL621379,A,,10116.0,,,,50597,N,1,Intermediate,1,
7574,BAO_0000218,5819,,CHEMBL621380,A,1969.0,10116.0,,Plasma,,50597,N,1,Intermediate,1,
7575,BAO_0000218,5819,,CHEMBL621381,A,1969.0,10116.0,,Plasma,,50597,N,1,Intermediate,1,
7576,BAO_0000218,6803,,CHEMBL618515,A,,10116.0,,,,50597,N,1,Intermediate,1,
7577,BAO_0000218,17804,,CHEMBL618516,A,,10116.0,,,,50597,N,1,Intermediate,1,
7578,BAO_0000218,17804,,CHEMBL618517,A,,10116.0,,,,50597,N,1,Intermediate,1,
7579,BAO_0000218,5948,,CHEMBL618518,A,,10116.0,,,,50597,N,1,Intermediate,1,
7580,BAO_0000218,1916,,CHEMBL618519,A,,10116.0,,,,50597,N,1,Intermediate,1,
7581,BAO_0000218,1916,,CHEMBL618698,A,,10116.0,,,,50597,N,1,Intermediate,1,
7582,BAO_0000218,1916,,CHEMBL618862,A,,10116.0,,,,50597,N,1,Intermediate,1,
7583,BAO_0000218,4890,,CHEMBL618863,A,,10116.0,,,,50597,N,1,Intermediate,1,
7584,BAO_0000218,17764,,CHEMBL618864,A,,10116.0,,,,50597,N,1,Intermediate,1,
7585,BAO_0000218,4727,,CHEMBL618865,A,,10116.0,,,,50597,N,1,Intermediate,1,
7586,BAO_0000218,17509,,CHEMBL618866,A,,10116.0,,,,50597,N,1,Intermediate,1,
7587,BAO_0000218,17509,,CHEMBL618867,A,,10116.0,,,,50597,N,1,Intermediate,1,
7588,BAO_0000218,6597,,CHEMBL875828,A,,10116.0,,,,50597,N,1,Intermediate,1,
7589,BAO_0000218,17735,,CHEMBL618868,A,,10116.0,,,,50597,N,1,Intermediate,1,
7590,BAO_0000218,6597,,CHEMBL618869,A,,10116.0,,,,50597,N,1,Intermediate,1,
7591,BAO_0000218,17670,,CHEMBL618870,A,,10116.0,,,,50597,N,1,Intermediate,1,
7592,BAO_0000218,1696,,CHEMBL618871,A,1969.0,10116.0,,Plasma,,50597,N,1,Intermediate,1,
7593,BAO_0000218,1742,,CHEMBL618872,A,1969.0,10116.0,,Plasma,,50597,N,1,Intermediate,1,
7594,BAO_0000218,17800,,CHEMBL873816,A,,10116.0,,,,50597,N,1,Intermediate,1,
7595,BAO_0000218,12923,,CHEMBL618873,A,,,,,,22224,U,0,Autocuration,1,
7596,BAO_0000019,11954,,CHEMBL621602,A,,,,,,22224,U,0,Autocuration,1,
7597,BAO_0000218,11954,,CHEMBL621603,A,,,,,,22224,U,0,Autocuration,1,
7598,BAO_0000218,11954,,CHEMBL621604,A,,,,,,22224,U,0,Autocuration,1,
7599,BAO_0000218,11954,,CHEMBL621605,A,,,,,,22224,U,0,Autocuration,1,
7600,BAO_0000218,11954,,CHEMBL621606,A,,,,,,22224,U,0,Autocuration,1,
7601,BAO_0000218,11954,,CHEMBL621607,A,,,,,,22224,U,0,Autocuration,1,
7602,BAO_0000218,11954,,CHEMBL621608,A,,,,,,22224,U,0,Autocuration,1,
7603,BAO_0000019,5237,,CHEMBL621609,A,,,,,,22224,U,0,Autocuration,1,
7604,BAO_0000218,4026,,CHEMBL621610,A,,,,,,22224,U,0,Autocuration,1,
7605,BAO_0000218,5237,,CHEMBL621611,A,,10116.0,,,,50597,N,1,Intermediate,1,
7606,BAO_0000218,14793,,CHEMBL621612,A,,10116.0,,,,50597,N,1,Intermediate,1,
7607,BAO_0000218,14793,,CHEMBL622308,A,,10116.0,,,,50597,N,1,Intermediate,1,
7608,BAO_0000218,14793,,CHEMBL622309,A,,10116.0,,,,50597,N,1,Intermediate,1,
7609,BAO_0000218,14793,,CHEMBL622310,A,,10116.0,,,,50597,N,1,Intermediate,1,
7610,BAO_0000218,14793,,CHEMBL622311,A,,10116.0,,,,50597,N,1,Intermediate,1,
7611,BAO_0000218,14793,,CHEMBL622312,A,,10116.0,,,,50597,N,1,Intermediate,1,
7612,BAO_0000218,14793,,CHEMBL622931,A,,10116.0,,,,50597,N,1,Intermediate,1,
7613,BAO_0000218,14793,,CHEMBL622932,A,,10116.0,,,,50597,N,1,Intermediate,1,
7614,BAO_0000218,14793,,CHEMBL622736,A,1969.0,10116.0,,Plasma,,50597,N,1,Intermediate,1,
7615,BAO_0000218,14793,,CHEMBL622737,A,1969.0,10116.0,,Plasma,,50597,N,1,Intermediate,1,
7616,BAO_0000218,14793,,CHEMBL622738,A,1969.0,10116.0,,Plasma,,50597,N,1,Intermediate,1,
7617,BAO_0000218,14793,,CHEMBL622739,A,1969.0,10116.0,,Plasma,,50597,N,1,Intermediate,1,
7618,BAO_0000218,14793,,CHEMBL622740,A,1969.0,10116.0,,Plasma,,50597,N,1,Intermediate,1,
7619,BAO_0000218,14793,,CHEMBL622741,A,1969.0,10116.0,,Plasma,,50597,N,1,Intermediate,1,
7620,BAO_0000218,14793,,CHEMBL622742,A,1969.0,10116.0,,Plasma,,50597,N,1,Intermediate,1,
7621,BAO_0000218,14793,,CHEMBL622743,A,1969.0,10116.0,,Plasma,,50597,N,1,Intermediate,1,
7622,BAO_0000218,11637,,CHEMBL622744,A,1969.0,10090.0,,Plasma,,50594,N,1,Intermediate,1,
7623,BAO_0000019,11149,,CHEMBL624134,A,,,,,,22224,U,0,Autocuration,1,
7624,BAO_0000019,10016,,CHEMBL624135,A,,,,,,22224,U,0,Autocuration,1,
7625,BAO_0000218,17796,,CHEMBL624136,A,,10116.0,,,,50597,N,1,Intermediate,1,
7626,BAO_0000218,17796,,CHEMBL624137,A,,10116.0,,,,50597,N,1,Intermediate,1,
7627,BAO_0000218,17796,,CHEMBL624320,A,,10116.0,,,,50597,N,1,Intermediate,1,
7628,BAO_0000218,12923,,CHEMBL624321,A,,9615.0,,,,50588,N,1,Intermediate,1,
7629,BAO_0000218,15372,,CHEMBL624322,A,,10116.0,,,,50597,N,1,Intermediate,1,
7630,BAO_0000218,15372,,CHEMBL624323,A,,10116.0,,,,50597,N,1,Intermediate,1,
7631,BAO_0000218,15372,,CHEMBL624324,A,,10116.0,,,,50597,N,1,Intermediate,1,
7632,BAO_0000218,15372,,CHEMBL624325,A,,10116.0,,,,50597,N,1,Intermediate,1,
7633,BAO_0000218,15372,,CHEMBL624326,A,,10116.0,,,,50597,N,1,Intermediate,1,
7634,BAO_0000218,15372,,CHEMBL624327,A,,10116.0,,,,50597,N,1,Intermediate,1,
7635,BAO_0000218,15372,,CHEMBL624328,A,,10116.0,,,,50597,N,1,Intermediate,1,
7636,BAO_0000218,14169,,CHEMBL627848,A,,9615.0,,,,50588,N,1,Intermediate,1,
7637,BAO_0000218,14169,,CHEMBL627849,A,,10116.0,,,,50597,N,1,Intermediate,1,
7638,BAO_0000218,14258,,CHEMBL627850,A,,10116.0,,,,50597,N,1,Intermediate,1,
7639,BAO_0000218,14258,,CHEMBL627851,A,,10116.0,,,,50597,N,1,Intermediate,1,
7640,BAO_0000218,15011,,CHEMBL627852,A,,10090.0,,,,50594,N,1,Intermediate,1,
7641,BAO_0000218,15011,,CHEMBL627853,A,,10090.0,,,,50594,N,1,Intermediate,1,
7642,BAO_0000218,15011,,CHEMBL627854,A,,10090.0,,,,50594,N,1,Intermediate,1,
7643,BAO_0000218,15011,,CHEMBL627855,A,,10090.0,,,,50594,N,1,Intermediate,1,
7644,BAO_0000218,15011,,CHEMBL627856,A,,10090.0,,,,50594,N,1,Intermediate,1,
7645,BAO_0000218,15011,,CHEMBL875339,A,,10090.0,,,,50594,N,1,Intermediate,1,
7646,BAO_0000218,15011,,CHEMBL627857,A,,10090.0,,,,50594,N,1,Intermediate,1,
7647,BAO_0000218,11195,,CHEMBL627858,A,2106.0,10116.0,,Spleen,,50597,N,1,Intermediate,1,
7648,BAO_0000218,10130,,CHEMBL627859,A,178.0,10116.0,,Blood,,50597,N,1,Intermediate,1,
7649,BAO_0000218,10130,,CHEMBL627860,A,955.0,10116.0,,Brain,,50597,N,1,Intermediate,1,
7650,BAO_0000218,10130,,CHEMBL627019,A,948.0,10116.0,,Heart,,50597,N,1,Intermediate,1,
7651,BAO_0000218,10130,,CHEMBL627020,A,2107.0,10116.0,,Liver,,50597,N,1,Intermediate,1,
7652,BAO_0000218,10130,,CHEMBL627021,A,2048.0,10116.0,,Lung,,50597,N,1,Intermediate,1,
7653,BAO_0000218,10130,,CHEMBL627022,A,2385.0,10116.0,,Muscle tissue,,50597,N,1,Intermediate,1,
7654,BAO_0000218,10130,,CHEMBL627023,A,,10116.0,,,,50597,N,1,Intermediate,1,
7655,BAO_0000218,10130,,CHEMBL627024,A,2106.0,10116.0,,Spleen,,50597,N,1,Intermediate,1,
7656,BAO_0000218,10130,,CHEMBL627025,A,2046.0,10116.0,,Thyroid gland,,50597,N,1,Intermediate,1,
7657,BAO_0000218,10130,,CHEMBL627026,A,2113.0,10116.0,,Kidney,,50597,N,1,Intermediate,1,
7658,BAO_0000218,10130,,CHEMBL627027,A,178.0,10116.0,,Blood,,50597,N,1,Intermediate,1,
7659,BAO_0000218,10130,,CHEMBL627028,A,955.0,10116.0,,Brain,,50597,N,1,Intermediate,1,
7660,BAO_0000218,10130,,CHEMBL627029,A,948.0,10116.0,,Heart,,50597,N,1,Intermediate,1,
7661,BAO_0000218,10130,,CHEMBL627030,A,2113.0,10116.0,,Kidney,,50597,N,1,Intermediate,1,
7662,BAO_0000218,10130,,CHEMBL627031,A,2107.0,10116.0,,Liver,,50597,N,1,Intermediate,1,
7663,BAO_0000218,10130,,CHEMBL627032,A,2048.0,10116.0,,Lung,,50597,N,1,Intermediate,1,
7664,BAO_0000218,10130,,CHEMBL627033,A,2385.0,10116.0,,Muscle tissue,,50597,N,1,Intermediate,1,
7665,BAO_0000218,10130,,CHEMBL627034,A,,10116.0,,,,50597,N,1,Intermediate,1,
7666,BAO_0000218,10130,,CHEMBL627035,A,2106.0,10116.0,,Spleen,,50597,N,1,Intermediate,1,
7667,BAO_0000218,10130,,CHEMBL627036,A,2046.0,10116.0,,Thyroid gland,,50597,N,1,Intermediate,1,
7668,BAO_0000218,10130,,CHEMBL875340,A,178.0,10116.0,,Blood,,50597,N,1,Intermediate,1,
7669,BAO_0000218,10130,,CHEMBL627037,A,948.0,10116.0,,Heart,,50597,N,1,Intermediate,1,
7670,BAO_0000218,10130,,CHEMBL627038,A,2113.0,10116.0,,Kidney,,50597,N,1,Intermediate,1,
7671,BAO_0000218,10130,,CHEMBL627039,A,2107.0,10116.0,,Liver,,50597,N,1,Intermediate,1,
7672,BAO_0000218,10130,,CHEMBL627040,A,2385.0,10116.0,,Muscle tissue,,50597,N,1,Intermediate,1,
7673,BAO_0000218,10130,,CHEMBL624663,A,2106.0,10116.0,,Spleen,,50597,N,1,Intermediate,1,
7674,BAO_0000218,10130,,CHEMBL625963,A,2046.0,10116.0,,Thyroid gland,,50597,N,1,Intermediate,1,
7675,BAO_0000218,10130,,CHEMBL876799,A,955.0,10116.0,,Brain,,50597,N,1,Intermediate,1,
7676,BAO_0000218,10130,,CHEMBL626133,A,2048.0,10116.0,,Lung,,50597,N,1,Intermediate,1,
7677,BAO_0000218,10130,,CHEMBL626134,A,,10116.0,,,,50597,N,1,Intermediate,1,
7678,BAO_0000218,6295,,CHEMBL626135,A,,10116.0,,,,50597,N,1,Intermediate,1,
7679,BAO_0000218,6296,,CHEMBL626136,A,,10116.0,,,,50597,N,1,Intermediate,1,
7680,BAO_0000218,6296,,CHEMBL626137,A,,10116.0,,,,50597,N,1,Intermediate,1,
7681,BAO_0000218,6295,,CHEMBL626138,A,,10116.0,,,,50597,N,1,Intermediate,1,
7682,BAO_0000218,6296,,CHEMBL626139,A,,10116.0,,,,50597,N,1,Intermediate,1,
7683,BAO_0000218,17260,,CHEMBL626140,A,,10116.0,,,,50597,N,1,Intermediate,1,
7684,BAO_0000218,17260,,CHEMBL626141,A,,10116.0,,,,50597,N,1,Intermediate,1,
7685,BAO_0000218,17686,,CHEMBL626142,A,,10116.0,,,,50597,N,1,Intermediate,1,
7686,BAO_0000218,9866,,CHEMBL627930,A,2385.0,10116.0,,Muscle tissue,,50597,N,1,Intermediate,1,
7687,BAO_0000218,9866,,CHEMBL627931,A,2385.0,10116.0,,Muscle tissue,,50597,N,1,Intermediate,1,
7688,BAO_0000218,9866,,CHEMBL627932,A,2385.0,10116.0,,Muscle tissue,,50597,N,1,Intermediate,1,
7689,BAO_0000218,9866,,CHEMBL627933,A,2106.0,10116.0,,Spleen,,50597,N,1,Intermediate,1,
7690,BAO_0000218,9866,,CHEMBL627934,A,2106.0,10116.0,,Spleen,,50597,N,1,Intermediate,1,
7691,BAO_0000218,9866,,CHEMBL627935,A,2106.0,10116.0,,Spleen,,50597,N,1,Intermediate,1,
7692,BAO_0000218,9866,,CHEMBL627936,A,178.0,10116.0,,Blood,,50597,N,1,Intermediate,1,
7693,BAO_0000218,9866,,CHEMBL627937,A,178.0,10116.0,,Blood,,50597,N,1,Intermediate,1,
7694,BAO_0000218,9866,,CHEMBL627938,A,178.0,10116.0,,Blood,,50597,N,1,Intermediate,1,
7695,BAO_0000218,9866,,CHEMBL627939,A,178.0,10116.0,,Blood,,50597,N,1,Intermediate,1,
7696,BAO_0000218,9866,,CHEMBL627940,A,178.0,10116.0,,Blood,,50597,N,1,Intermediate,1,
7697,BAO_0000218,9866,,CHEMBL627941,A,178.0,10116.0,,Blood,,50597,N,1,Intermediate,1,
7698,BAO_0000218,9866,,CHEMBL876800,A,178.0,10116.0,,Blood,,50597,N,1,Intermediate,1,
