miller2_fsclr,miller2_trddvlpmnt(mrkr),miller2_bdvrst(mrkr),miller2_rbnsss(mrkr),miller2_chldrnsss(mrkr),miller2_thsss(mrkr),miller2_ndgnssss(mrkr),miller2_dsbltsss(mrkr),miller2_ctstlfrdvlpmnt(mrkr),miller2_knwldgfrdvlpmnt(mrkr),miller2_gndrqlt(mrkr),miller2_rgnstnd,miller2_rgnstnnm,miller2_rgnstntp,miller2_rgnstnclss,miller2_rgnstnsb-clss,miller2_cntnntd,miller2_cntnntnm,miller2_prjctbrwsrcntrd,miller2_cntrrgnd,miller2_cntrrgnnm,miller2_cntrrgnprcnt,miller2_sctrd,miller2_sctrnm,miller2_sctrprcnt,miller2_mntspnt
2009/2010,0,0,0,0,0,0,0,1,1,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,3,Asia,X3,X3,Asia MC,0.22,33140,Multilateral trade negotiations,0.14,75768.0
2009/2010,0,0,0,0,0,0,0,1,1,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,3,Asia,X3,X3,Asia MC,0.22,99810,Sectors not specified,0.505,273306.0
2009/2010,0,0,0,0,0,0,0,1,1,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,5,Europe,X4,X4,Europe MC,0.32,12191,Medical services,0.268,210969.6
2009/2010,0,0,0,0,0,0,0,1,1,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,5,Europe,X4,X4,Europe MC,0.32,14015,Water resources conservation (including data collection),0.047,36998.4
2009/2010,0,0,0,0,0,0,0,1,1,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,5,Europe,X4,X4,Europe MC,0.32,23510,Nuclear energy electric power plants,0.04,31488.0
2009/2010,0,0,0,0,0,0,0,1,1,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,5,Europe,X4,X4,Europe MC,0.32,33140,Multilateral trade negotiations,0.14,110208.0
2009/2010,0,0,0,0,0,0,0,1,1,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,5,Europe,X4,X4,Europe MC,0.32,99810,Sectors not specified,0.505,397536.0
2009/2010,0,0,0,0,0,0,0,0,0,0,1001300,PAHO - Pan American Health Organization,Foreign Non-Profit Making,Multilateral,REGIONAL ORGANIZATION,1,America,SV,SV,El Salvador,1.0,72010,Material relief assistance and services,1.0,300000.0
2009/2010,0,0,0,0,0,0,0,0,0,1,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,2,Africa,X1,X1,Africa MC,0.5,72010,Material relief assistance and services,1.0,1500000.0
2009/2010,0,0,0,0,0,0,0,0,0,1,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,1,America,X2,X2,Americas MC,0.15,72010,Material relief assistance and services,1.0,450000.0
2009/2010,0,0,0,0,0,0,0,0,0,1,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,3,Asia,X3,X3,Asia MC,0.3,72010,Material relief assistance and services,1.0,900000.0
2009/2010,0,0,0,0,0,0,0,0,0,1,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,5,Europe,X4,X4,Europe MC,0.05,72010,Material relief assistance and services,1.0,150000.0
2009/2010,0,0,0,0,0,0,0,0,0,1,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,2,Africa,X1,X1,Africa MC,0.5,72010,Material relief assistance and services,1.0,1500000.0
2009/2010,0,0,0,0,0,0,0,0,0,1,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,1,America,X2,X2,Americas MC,0.15,72010,Material relief assistance and services,1.0,450000.0
2009/2010,0,0,0,0,0,0,0,0,0,1,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,3,Asia,X3,X3,Asia MC,0.3,72010,Material relief assistance and services,1.0,900000.0
2009/2010,0,0,0,0,0,0,0,0,0,1,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,5,Europe,X4,X4,Europe MC,0.05,72010,Material relief assistance and services,1.0,150000.0
2009/2010,0,0,0,0,0,0,0,0,0,0,1015332,Mines Advisory Group,Foreign Non-Profit Making,Civil Society,NGO,3,Asia,LK,LK,Sri Lanka,1.0,72010,Material relief assistance and services,1.0,500000.0
2009/2010,0,0,0,0,0,0,0,0,0,0,1015331,The Halo Trust,Foreign Non-Profit Making,Civil Society,NGO,3,Asia,LK,LK,Sri Lanka,1.0,72010,Material relief assistance and services,1.0,500000.0
2009/2010,0,0,0,0,0,0,0,0,1,0,1002035,International Crisis Group,Foreign Non-Profit Making,Civil Society,NGO,2,Africa,X1,X1,Africa MC,0.5,72050,Relief co-ordination; protection and support services,1.0,150000.0
2009/2010,0,0,0,0,0,0,0,0,1,0,1002035,International Crisis Group,Foreign Non-Profit Making,Civil Society,NGO,1,America,X2,X2,Americas MC,0.1,72050,Relief co-ordination; protection and support services,1.0,30000.0
2009/2010,0,0,0,0,0,0,0,0,1,0,1002035,International Crisis Group,Foreign Non-Profit Making,Civil Society,NGO,3,Asia,X3,X3,Asia MC,0.3,72050,Relief co-ordination; protection and support services,1.0,90000.0
2009/2010,0,0,0,0,0,0,0,0,1,0,1002035,International Crisis Group,Foreign Non-Profit Making,Civil Society,NGO,5,Europe,X4,X4,Europe MC,0.1,72050,Relief co-ordination; protection and support services,1.0,30000.0
2009/2010,0,0,0,0,0,0,0,0,0,0,1001721,WFP - World Food Programme,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,3,Asia,YE,YE,Yemen,1.0,72040,Emergency food aid,1.0,500000.0
2009/2010,0,0,0,0,0,0,0,0,0,0,1001721,WFP - World Food Programme,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,1,America,CO,CO,Colombia,1.0,72040,Emergency food aid,1.0,1500000.0
2009/2010,0,0,0,0,0,0,0,0,0,1,1001721,WFP - World Food Programme,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,2,Africa,TD,TD,Chad,1.0,72040,Emergency food aid,1.0,6500000.0
2009/2010,0,0,0,0,0,0,0,0,0,0,1001721,WFP - World Food Programme,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,2,Africa,SD,SD,Sudan,1.0,72040,Emergency food aid,1.0,3950000.0
2009/2010,0,0,0,0,0,0,0,0,0,1,1001730,UNHCR - United Nations High Commissioner for Refugees,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,2,Africa,X1,X1,Africa MC,0.45,72010,Material relief assistance and services,1.0,6300000.0
