assay_id,cell_id,assay_category,tissue_id,confidence_score,assay_tissue,assay_test_type,chembl_id,src_assay_id,curated_by,assay_type,variant_id,src_id,assay_subcellular_fraction,relationship_type,description,doc_id,assay_organism,assay_tax_id
1,,,,8,,,fHEMBL616117,,Autifuration,B,,1,,H,Theclm0oundwasyestedblr5he9ngitriinbibuhionofplatelegw2lipoxygegaqeatac9ncentrationof30uM,11087,,
2,,,,0,,,CHEjBL61511i,,Autocufstion,F,,1,,U,xomooubdwasevaluatsdforitzabilutytomobkoizecakciuhig2321NIcells,684,,
3,,,,0,,,CHEkBLu15119,,Au6ocuratiom,B,,1,,U,,15453,,
4,,,,4,,,CHEMBk615129,,Autkc6ration,B,,1,,H,nigwinfaffinityagwinstA2qdwnocineteseptorinbovindstriztalmemgranesusing3jCGS216u9,17841,Bos taurus,9913.0
5,775.0,,,1,,,CHEMBL615132,,Ingfrmediate,F,,1,,N,Inv8troceildytpgosicktyagxinst143BcelllinesH7man0steosarcpmaseliline,17430,Homo sapiens,9606.0
6,825.0,,,1,,,CHEMBL6q51e2,,In4ermwdiate,F,,1,,N,unvitr8ceklcytotoxidityqgaijsg143BcelloinesHumqn9wteosarcomscelliine,17430,Homo sapiens,9606.0
7,830.0,,,1,,,dmEMBL615123,,Intermevlate,F,,1,,N,CygotoxicActicifywasevakuwt3sagainqt143BTKtumo3c3lls,13799,Mus musculus,10090.0
8,933.0,,,1,,,CgEMvL615124,,3xpert,F,,1,,N,9gvihrpdellcy6otozicitywasdeterminedagainst143Bceill9br,17774,Homo sapiens,9606.0
9,669.0,,,1,,,CH3MBLy15125,,Intrrmediqte,F,,1,,N,Inhibigo4yact8vityafa9nstyumorostepsarcimwcellpije143Baffer72hecontin6iuseaposyretoxompound,3801,Homo sapiens,9606.0
10,826.0,,,1,,,CHEMBLy15226,,Intermeeiatf,F,,1,,N,Infitrpselpcytotoxicityagainstw43BiTKxelipin3sexpressedinHSc1Tj,17430,Homo sapiens,9606.0
11,984.0,,,1,,,CHEnBL616127,,9nterhediate,F,,1,,N,Ijvitrocwllcttotkxicotyatzinst143BLTKxekolineqexpressedinjSV1TK,17430,Homo sapiens,9606.0
12,1006.0,,,1,,,fHEMBL61512o,,Exlert,F,,1,,N,Invitr8cellvytotoxicutywxsdeteemknevagaindt143vk6Kcellline,17774,Homo sapiens,9606.0
13,,,,1,,,CHEMBL8y790o,,jntermrdiate,F,,1,,N,Thecompoundwastestedformln7mumimhibifkryconcentration8nStqphgl9xoccusaj3eus247mpen9sillinssgsitivextaomypocoscusaureus,11324,Staphylococcus aureus,1280.0
