geniusNameLabel,websiteLabel,familyNameLabel,motherLabel,birthDate,givenNameLabel,numberOfChildren,recordLabelLabel,cityLabel,musicianLabel,genreLabel,activityStart,religionLabel,fatherLabel,partner,musician,genderLabel,ethnicityLabel,residenceLabel,twitterNameLabel
Snoop-dogg,http://snoopdogg.com/,Broadus,,1971-10-20T00:00:00Z,Cordozar,4.0,Death Row Records,Long Beach,Snoop Dogg,West Coast hip hop,1991-01-01T00:00:00Z,Islam,,,http://www.wikidata.org/entity/Q6096,male,African Americans,,snoopdogg
Buddy-holly,http://www.buddyholly.com,Holley,,1936-09-07T00:00:00Z,Hardin,,Brunswick,Lubbock,Buddy Holly,beat music,1952-01-01T00:00:00Z,Baptists,,María Elena Holly,http://www.wikidata.org/entity/Q5977,male,,,
Weird-al-yankovic,http://weirdal.com/,Yankovic,Mary Yankovic,1959-10-23T00:00:00Z,Alfred,,Volcano Entertainment,Downey,"""Weird Al"" Yankovic",nerdcore,1976-01-01T00:00:00Z,Christianity,Nick Yankovic,Suzanne Yankovic,http://www.wikidata.org/entity/Q8349,male,,,alyankovic
,http://www.louisarmstronghouse.org/,Armstrong,,1901-08-04T00:00:00Z,Louis,,Decca,New Orleans,Louis Armstrong,jazz,1914-01-01T00:00:00Z,,,Lil Hardin Armstrong,http://www.wikidata.org/entity/Q1779,male,African Americans,,
Tom-delonge,http://blink-182.com/,Delonge,,1975-12-13T00:00:00Z,Thomas,,DGC Records,Poway,Tom DeLonge,pop punk,1992-01-01T00:00:00Z,,,Jennifer DeLonge,http://www.wikidata.org/entity/Q4270,male,,Del Mar,tomdelonge
Anna-faris,,Faris,,1976-11-29T00:00:00Z,Anna,1.0,,Baltimore,Anna Faris,,1991-01-01T00:00:00Z,,,Chris Pratt,http://www.wikidata.org/entity/Q4491,female,,Los Angeles,AnnaKFaris
2pac,http://www.2pac.com,Shakur,Afeni Shakur,1971-06-16T00:00:00Z,Tupac,,Death Row Records,East Harlem,Tupac Shakur,West Coast hip hop,1989-01-01T00:00:00Z,,Billy Garland,Keisha Morris,http://www.wikidata.org/entity/Q6107,male,African Americans,Las Vegas,2pac
,http://www.neilyoungarchives.com/,Young,,1945-11-12T00:00:00Z,Percival,,Warner Bros. Records,Toronto,Neil Young,grunge,1961-01-01T00:00:00Z,,Scott Young,Carrie Snodgress,http://www.wikidata.org/entity/Q633,male,,Toronto,Neilyoung
Prince,https://www.princeestate.com/,Nelson,Mattie Shaw,1958-06-07T00:00:00Z,Rogers,,Arista,Minneapolis,Prince,rhythm and blues,1978-01-01T00:00:00Z,Jehovah's Witnesses,John L. Nelson,Manuela Testolini,http://www.wikidata.org/entity/Q7542,male,African Americans,Chanhassen,prince
Stevie-wonder,http://www.steviewonder.net,Morris,Lula Mae Hardaway,1950-05-13T00:00:00Z,Stevland,,Motown,Saginaw,Stevie Wonder,soul music,1961-01-01T00:00:00Z,,,Syreeta Wright,http://www.wikidata.org/entity/Q714,male,African Americans,,
Madonna,https://www.madonna.com/,Ciccone,,1958-08-16T00:00:00Z,Veronica,6.0,Maverick,Bay City,Madonna,jazz,1979-01-01T00:00:00Z,,,Carlos Leon,http://www.wikidata.org/entity/Q1744,female,French Canadian,Lisbon,Madonna
Ella-fitzgerald,http://www.ellafitzgerald.com/,Fitzgerald,,1917-04-25T00:00:00Z,Ella,,Decca,Newport News,Ella Fitzgerald,jazz,1934-01-01T00:00:00Z,,,Ray Brown,http://www.wikidata.org/entity/Q1768,female,African Americans,,
,http://www.frankblack.net/,Thompson,,1965-04-06T00:00:00Z,Charles Michael,,American Recordings,Boston,Black Francis,alternative country,1986-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q11627,male,,,
Britney-spears,http://britneyspears.com,Spears,Lynne Spears,1981-12-02T00:00:00Z,Britney,,Legacy,McComb,Britney Spears,teen pop,1992-01-01T00:00:00Z,Southern Baptist Convention,,Justin Timberlake,http://www.wikidata.org/entity/Q11975,female,,Kentwood,britneyspears
,http://www.janisjoplin.com/,Joplin,,1943-01-19T00:00:00Z,Janis,,Columbia Records,Port Arthur,Janis Joplin,acid rock,1962-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q1514,female,White American,,janisjoplin
,http://www.elvis.com,Presley,Gladys Presley,1935-01-08T00:00:00Z,Elvis,,Sun Records,Tupelo,Elvis Presley,rhythm and blues,1954-01-01T00:00:00Z,,Vernon Elvis Presley,Priscilla Presley,http://www.wikidata.org/entity/Q303,male,,Graceland,elvispresley
Marilyn-monroe,http://www.marilynmonroe.com/,Monroe,,1926-06-01T00:00:00Z,Marilyn,,RCA Records,Los Angeles,Marilyn Monroe,,1947-01-01T00:00:00Z,Christianity,,Joe DiMaggio,http://www.wikidata.org/entity/Q4616,female,,,
,https://www.cyndilauper.com/,Lauper,,1953-06-22T00:00:00Z,Cynthia,1.0,Epic,New York City,Cyndi Lauper,new wave,1977-01-01T00:00:00Z,,,David Thornton,http://www.wikidata.org/entity/Q1545,female,,,cyndilauper
Dave-grohl,http://www.foofighters.com,Grohl,,1969-01-14T00:00:00Z,David,,Geffen Records,Warren,Dave Grohl,alternative rock,1981-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q12006,male,White American,,foofightersdave
,http://www.thejudyroom.com/,Gumm,,1922-06-10T00:00:00Z,Ethel,,Decca,Grand Rapids,Judy Garland,,1924-01-01T00:00:00Z,Episcopal Church,,David Rose,http://www.wikidata.org/entity/Q11637,female,,Lancaster,
Barbra-streisand,http://www.barbrastreisand.com/,Streisand,,1942-04-24T00:00:00Z,Barbara,,Decca,Brooklyn,Barbra Streisand,jazz,1960-01-01T00:00:00Z,,,James Brolin,http://www.wikidata.org/entity/Q4636,female,Jewish people,Woodland Hills,BarbraStreisand
