Fiscal year,Organisation ID,Urban issues (marker),Trade development (marker),IRTC percent,Status,Children issues (marker),Project number,Organisation sub-class,Fund centre ID,Desertification (marker),Gender equality (marker),Section name,Amount spent,Biodiversity (marker),Maximum CIDA contribution (project-level),Branch ID,Branch name,Division ID,Division name,Section ID,Regional program (marker),Fund centre name,Untied amount(Project-level budget),FSTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker),Climate change adaptation (marker),Climate change mitigation (marker)
2009/2010,Information not available,0,0,0.0,Closed,0,A017716001,CONSULTANT,4122,0,2,Bangladesh Section,3932.842,0,8500267.65,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,0,Bangladesh,8500267.65,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,Information not available,0,0,0.0,Closed,0,A017716001,CONSULTANT,4122,0,2,Bangladesh Section,5899.263000000001,0,8500267.65,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,0,Bangladesh,8500267.65,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,Information not available,0,0,0.0,Closed,0,A017716001,CONSULTANT,4122,0,2,Bangladesh Section,9832.105,0,8500267.65,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,0,Bangladesh,8500267.65,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,10050,0,0,0.0,Closed,0,A018652001,FEDERAL,4265,0,0,West Bank Gaza & Palestinian Refugees,20502.06,0,500458.33,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4264,0,West Bank Gaza,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,10050,1,0,0.0,Closed,0,A018893001,FEDERAL,4216,0,2,Mali Program Section,14226.985,0,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,0,Mali,14410076.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,10050,1,0,0.0,Closed,0,A018893001,FEDERAL,4216,0,2,Mali Program Section,11381.588,0,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,0,Mali,14410076.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,10050,1,0,0.0,Closed,0,A018893001,FEDERAL,4216,0,2,Mali Program Section,2845.397,0,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,0,Mali,14410076.46,1.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,10050,0,0,0.0,Closed,0,A019043001,FEDERAL,4124,0,0,"OAA Afghanistan, Pakistan and Sri Lanka",142315.2,0,13743220.56,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,0,Pakistan,13743220.56,1.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,10050,0,0,0.0,Closed,0,A019043001,FEDERAL,4124,0,0,"OAA Afghanistan, Pakistan and Sri Lanka",142315.2,0,13743220.56,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,0,Pakistan,13743220.56,1.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,10050,0,0,0.0,Closed,0,A019043001,FEDERAL,4124,0,0,"OAA Afghanistan, Pakistan and Sri Lanka",71157.6,0,13743220.56,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,0,Pakistan,13743220.56,1.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0
