assays_Des,assays_ASCETY,assays_CONFSCO,assays_CHI,assays_CURB,assays_SASI,assays_CI,assays_ASTY,assays_RELTY,assays_SI,assays_ASSI,assays_TISI,assays_ASSOR,assays_ASSTET,assays_ASSSTR,assays_T,assays_VARII,assays_DOI,assays_ASSTAI,assays_ASSCATE,assays_ASSTIS,assays_BFOR,assays_ASSUBCELFR
Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,1,CHEMBL618647,Intermediate,,,A,N,1,7524,2113.0,Rattus norvegicus,In vivo,,50597,,9866,10116.0,,Kidney,BAO_0000218,
Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,,1,CHEMBL618648,Intermediate,,,A,N,1,7525,2113.0,Rattus norvegicus,In vivo,,50597,,9866,10116.0,,Kidney,BAO_0000218,
Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,,1,CHEMBL618649,Intermediate,,,A,N,1,7526,2113.0,Rattus norvegicus,In vivo,,50597,,9866,10116.0,,Kidney,BAO_0000218,
Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,1,CHEMBL618650,Intermediate,,,A,N,1,7527,2107.0,Rattus norvegicus,In vivo,,50597,,9866,10116.0,,Liver,BAO_0000218,
Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,,1,CHEMBL618651,Intermediate,,,A,N,1,7528,2107.0,Rattus norvegicus,In vivo,,50597,,9866,10116.0,,Liver,BAO_0000218,
Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,,1,CHEMBL876497,Intermediate,,,A,N,1,7529,2107.0,Rattus norvegicus,In vivo,,50597,,9866,10116.0,,Liver,BAO_0000218,
Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,1,CHEMBL618652,Intermediate,,,A,N,1,7530,2048.0,Rattus norvegicus,In vivo,,50597,,9866,10116.0,,Lung,BAO_0000218,
Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,,1,CHEMBL618653,Intermediate,,,A,N,1,7531,2048.0,Rattus norvegicus,In vivo,,50597,,9866,10116.0,,Lung,BAO_0000218,
Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,,1,CHEMBL618654,Intermediate,,,A,N,1,7532,2048.0,Rattus norvegicus,In vivo,,50597,,9866,10116.0,,Lung,BAO_0000218,
Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,,1,CHEMBL618655,Intermediate,,,A,N,1,7533,,Rattus norvegicus,,,50597,,6351,10116.0,,,BAO_0000218,
Compound was tested for solubility in water,,1,CHEMBL618656,Intermediate,,,A,N,1,7534,,Rattus norvegicus,,,50597,,1465,10116.0,,,BAO_0000218,
Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),,0,CHEMBL618657,Intermediate,,,P,U,1,7535,,,,,22229,,5182,,,,BAO_0000100,
Solubility was determined,,1,CHEMBL618658,Intermediate,,,A,N,1,7536,,Rattus norvegicus,,,50597,,17847,10116.0,,,BAO_0000218,
solubility in water (ug/mL) at 37 degree C.,,1,CHEMBL618659,Intermediate,,,A,N,1,7537,,Rattus norvegicus,,,50597,,15339,10116.0,,,BAO_0000218,
First pass metabolism and metabolic bioavailability using rat hepatic microsomes,,1,CHEMBL618660,Intermediate,,,A,N,1,7538,,Rattus norvegicus,,,50597,,5202,10116.0,,,BAO_0000218,
In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,,1,CHEMBL618661,Intermediate,,,A,N,1,7539,,Rattus norvegicus,,,50597,,1088,10116.0,,,BAO_0000218,
Half life in rats,,1,CHEMBL873807,Intermediate,,,A,N,1,7540,,Rattus norvegicus,,,50597,,3169,10116.0,,,BAO_0000218,
Half life in Dawley rat,,1,CHEMBL618662,Intermediate,,,A,N,1,7541,,Rattus norvegicus,,,50597,,5353,10116.0,,,BAO_0000218,
Half life period after 3 mg/kg iv administration,,1,CHEMBL618663,Intermediate,,,A,N,1,7542,,Rattus norvegicus,In vivo,,50597,,2864,10116.0,,,BAO_0000218,
Half life period after 3 mg/kg iv administration in rat,,1,CHEMBL618664,Intermediate,,,A,N,1,7543,,Rattus norvegicus,In vivo,,50597,,2864,10116.0,,,BAO_0000218,
Half life period after 3 mg/kg iv administration in the rat,,1,CHEMBL618665,Intermediate,,,A,N,1,7544,,Rattus norvegicus,In vivo,,50597,,2864,10116.0,,,BAO_0000218,
Half life period in female Sprague-Dawley rats,,1,CHEMBL876498,Intermediate,,,A,N,1,7545,,Rattus norvegicus,,,50597,,6362,10116.0,,,BAO_0000218,
Half life period in rat,,1,CHEMBL618666,Intermediate,,,A,N,1,7546,,Rattus norvegicus,,,50597,,6249,10116.0,,,BAO_0000218,
Half-life in rats was determined,,1,CHEMBL620440,Intermediate,,,A,N,1,7547,,Rattus norvegicus,,,50597,,3169,10116.0,,,BAO_0000218,
Half-life in rats with metabolic oxidation,,1,CHEMBL620441,Intermediate,,,A,N,1,7548,,Rattus norvegicus,,,50597,,3169,10116.0,,,BAO_0000218,
Half-life in rats,,1,CHEMBL620442,Intermediate,,,A,N,1,7549,,Rattus norvegicus,,,50597,,3169,10116.0,,,BAO_0000218,
T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,,1,CHEMBL620443,Intermediate,,,A,N,1,7550,,Rattus norvegicus,In vivo,,50597,,17260,10116.0,,,BAO_0000218,
T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,,1,CHEMBL620444,Intermediate,,,A,N,1,7551,,Rattus norvegicus,In vivo,,50597,,17260,10116.0,,,BAO_0000218,
T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,,1,CHEMBL620445,Intermediate,,,A,N,1,7552,,Rattus norvegicus,In vivo,,50597,,17260,10116.0,,,BAO_0000218,
T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,,1,CHEMBL620446,Intermediate,,,A,N,1,7553,,Rattus norvegicus,In vivo,,50597,,17260,10116.0,,,BAO_0000218,
Biological half-life measured in plasma of rat,,1,CHEMBL620447,Intermediate,,,A,N,1,7554,1969.0,Rattus norvegicus,,,50597,,2879,10116.0,,Plasma,BAO_0000218,
Biological half-life measured in plasma of rat; 22-25,,1,CHEMBL621129,Intermediate,,,A,N,1,7555,1969.0,Rattus norvegicus,,,50597,,2879,10116.0,,Plasma,BAO_0000218,
Biological half-life measured in plasma of rat; 9-16,,1,CHEMBL621130,Intermediate,,,A,N,1,7556,1969.0,Rattus norvegicus,,,50597,,2879,10116.0,,Plasma,BAO_0000218,
Compound was evaluated for its half life when administered intravenously in rat,,1,CHEMBL873808,Intermediate,,,A,N,1,7557,,Rattus norvegicus,In vivo,,50597,,3184,10116.0,,,BAO_0000218,
Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,,1,CHEMBL876598,Intermediate,,,A,N,1,7558,,Rattus norvegicus,In vivo,,50597,,4891,10116.0,,,BAO_0000218,
Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,,1,CHEMBL621131,Intermediate,,,A,N,1,7559,,Rattus norvegicus,In vivo,,50597,,429,10116.0,,,BAO_0000218,
Half life (T1/2) after oral administration in rat,,1,CHEMBL621132,Intermediate,,,A,N,1,7560,,Rattus norvegicus,In vivo,,50597,,5656,10116.0,,,BAO_0000218,
Half life of compound after iv administration of 20 mg/kg dose in rat,,1,CHEMBL621133,Intermediate,,,A,N,1,7561,,Rattus norvegicus,In vivo,,50597,,4413,10116.0,,,BAO_0000218,
Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,,1,CHEMBL621312,Expert,,,A,N,1,7562,,Rattus norvegicus,In vivo,,50597,,3598,10116.0,,,BAO_0000218,
Half life of compound was determined in rat,,1,CHEMBL621313,Intermediate,,,A,N,1,7563,,Rattus norvegicus,,,50597,,17267,10116.0,,,BAO_0000218,
Half life of compound was determined in rat blood,,1,CHEMBL621314,Intermediate,,,A,N,1,7564,178.0,Rattus norvegicus,,,50597,,4727,10116.0,,Blood,BAO_0000218,
Half life at 1 mg/kg was determined in rat,,1,CHEMBL621315,Intermediate,,,A,N,1,7565,,Rattus norvegicus,In vivo,,50597,,17651,10116.0,,,BAO_0000218,
Half life at 10 mg/kg was determined in rat,,1,CHEMBL621316,Intermediate,,,A,N,1,7566,,Rattus norvegicus,In vivo,,50597,,17651,10116.0,,,BAO_0000218,
Half life in rats,,1,CHEMBL621317,Intermediate,,,A,N,1,7567,,Rattus norvegicus,,,50597,,401,10116.0,,,BAO_0000218,
Half life in rats in hours,,1,CHEMBL621318,Intermediate,,,A,N,1,7568,,Rattus norvegicus,,,50597,,4942,10116.0,,,BAO_0000218,
Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,,1,CHEMBL621319,Intermediate,,,A,N,1,7569,,Rattus norvegicus,In vivo,,50597,,17735,10116.0,,,BAO_0000218,
Half life was calculated at a single intravenous administration of 20 mg/kg in rat,,1,CHEMBL621377,Intermediate,,,A,N,1,7570,,Rattus norvegicus,In vivo,,50597,,6056,10116.0,,,BAO_0000218,
Half life was determined,,1,CHEMBL621378,Intermediate,,,A,N,1,7571,,Rattus norvegicus,,,50597,,5213,10116.0,,,BAO_0000218,
Half life after i.v. administration,,1,CHEMBL876599,Intermediate,,,A,N,1,7572,,Rattus norvegicus,In vivo,,50597,,6616,10116.0,,,BAO_0000218,
Half life in rat after intravenous administration at a concentration 0.5 mg/kg,,1,CHEMBL621379,Intermediate,,,A,N,1,7573,,Rattus norvegicus,In vivo,,50597,,5937,10116.0,,,BAO_0000218,
