assays_ASI,assays_ASCA,assays_ASTIS,assays_VAI,assays_ASSOR,assays_CHI,assays_DI,assays_ASSTR,assays_Ti,assays_CURAB,assays_ASSTAI,assays_CONFISCO,assays_SRI,assays_SRASI,assays_CEI,assays_BAFOR,assays_TII
1,,,,,CHEMBL615117,11087,,12052,Autocuration,,8,1,,,BAO_0000019,
2,,,,,CHEMBL615118,684,,22226,Autocuration,,0,1,,,BAO_0000219,
3,,,,,CHEMBL615119,15453,,22226,Autocuration,,0,1,,,BAO_0000019,
4,,,,Bos taurus,CHEMBL615120,17841,,104729,Autocuration,9913.0,4,1,,,BAO_0000249,
5,,,,Homo sapiens,CHEMBL615121,17430,,80001,Intermediate,9606.0,1,1,,163.0,BAO_0000219,
6,,,,Homo sapiens,CHEMBL615122,17430,,80001,Intermediate,9606.0,1,1,,163.0,BAO_0000219,
7,,,,Mus musculus,CHEMBL615123,13799,,80001,Intermediate,10090.0,1,1,,163.0,BAO_0000219,
8,,,,Homo sapiens,CHEMBL615124,17774,,80001,Expert,9606.0,1,1,,163.0,BAO_0000219,
9,,,,Homo sapiens,CHEMBL615125,3801,,80001,Intermediate,9606.0,1,1,,163.0,BAO_0000219,
10,,,,Homo sapiens,CHEMBL615126,17430,,80001,Intermediate,9606.0,1,1,,163.0,BAO_0000219,
11,,,,Homo sapiens,CHEMBL615127,17430,,80001,Intermediate,9606.0,1,1,,163.0,BAO_0000219,
12,,,,Homo sapiens,CHEMBL615128,17774,,80001,Expert,9606.0,1,1,,163.0,BAO_0000219,
13,,,,Staphylococcus aureus,CHEMBL857900,11324,,50185,Intermediate,1280.0,1,1,,,BAO_0000218,
14,,,,Staphylococcus aureus,CHEMBL615129,11324,,50185,Intermediate,1280.0,1,1,,,BAO_0000218,
15,,,,Staphylococcus aureus,CHEMBL615130,11324,,50185,Intermediate,1280.0,1,1,,,BAO_0000218,
16,,,,Staphylococcus aureus,CHEMBL615131,11324,,50185,Intermediate,1280.0,1,1,,,BAO_0000218,
17,,,,Rattus norvegicus,CHEMBL884521,11347,,100122,Expert,10116.0,9,1,,,BAO_0000357,
18,,,,,CHEMBL615132,16474,,12054,Autocuration,,8,1,,,BAO_0000357,
