assay_id,description,cell_id,bao_format,curated_by,assay_subcellular_fraction,doc_id,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue
1,Theclmpoundwaqtwstedfortheinvigr8ijhivitiobofppagelet2wiiooxygenaseataconcengrxtionof30jM,,BAO00p00q9,Aktocuratiln,,11087,B,,,,,,
2,Compouns3asevalua4esforitsabilitytomovikiaecaldiuhin1321NIxdllc,,BAO0o00119,Autocufatikn,,684,F,,,,,,
3,,,BAOoo00019,Autkcuratiln,,15453,B,,,,,,
4,B8ndijgaffinityavainqtA2avenlsiberex3ptoronfpvinestriatwlmembranecjsing3mCGS21680,,BAO000o248,Auyocurahion,,17841,B,,,Bos taurus,9913.0,,
5,Invitrocellcytotocicktyagwigs4153BcellllgfsHumsnos5eisarcomac3llline,728.0,BAp00002w9,Inhernediate,,17430,F,,,Homo sapiens,9606.0,,
6,Invltr9cellcy5otoc8cityagajnst143BfeilpindsHumsnisteosafcomacellline,1161.0,BzO00002w9,Inte3meriate,,17430,F,,,Homo sapiens,9606.0,,
7,xyt0toxkcqcyivitywazevqluatedaha7nst143BTKtumo3cells,798.0,BAO9009219,Igtermefiate,,13799,F,,,Mus musculus,10090.0,,
8,7nvi5rocellfytoroxlci6ywasdeterminedagainxt144Bc3lpiine,650.0,BsO0000q19,Exoert,,17774,F,,,Homo sapiens,9606.0,,
9,Inhobitodyac5ivityagalnsthumorosteosz4domac2llkins143vafter72hrcont8m8ousexposkrrtocompougd,667.0,BAO0000220,Inyermediat2,,3801,F,,,Homo sapiens,9606.0,,
10,Igvitrocellfytotoxicityagx9nqt14rBkgKfellkinesexpress3dinHSVqTK,910.0,BAO9o00219,kntermedia4e,,17430,F,,,Homo sapiens,9606.0,,
11,Inditrocdilcytotoxocitysgwinst143vLTKcelllineseso3essedinHdV1hK,688.0,vAOp000219,Intermefiwte,,17430,F,,,Homo sapiens,9606.0,,
12,Igbotrocrllcytotoxicitywasdeferminedzgainct23rBLTKcelkline,471.0,BAO00po219,Expett,,17774,F,,,Homo sapiens,9606.0,,
13,Thecompoinfwastestfdfprmihimukinhibitoryconxentrarioninqtaphhkococcusaureus147Np2jiciil9nxensit9deStaph5loc0cfksayreus,,BAk00002q8,Inteemedia4e,,11324,F,,,Staphylococcus aureus,1280.0,,
14,Th4compoundwastes5ewforminimuminhlh8toryc0ncentrxtooninSta9hylpcocfisaugeus1r7jpenicillinsensitiveS6qphyk9coccussygeus,,fAO0000w18,In64rmediate,,11324,F,,,Staphylococcus aureus,1280.0,,
15,Thecompouncwas5estedforminimikihmobitor6ckncentratiohinStaphylococdysaureusw47Npeniv9llindensitifeStapuylosoxcusaugrua,,BAOp000228,Int3rmediat3,,11324,F,,,Staphylococcus aureus,1280.0,,
16,ThfcompoyndwactestecboeminijumighibitorydpncentrationimSts9hyiococvusa6reks147NpenicklllnsensitiveSgapnylocpccusaurrus,,BAO0000w1o,Interm4diahe,,11324,F,,,Staphylococcus aureus,1280.0,,
17,Inhigitionoevytlch4ome0450progestegpne15wlptahydroxylasr,,BAO00p0r57,Exoert,,11347,A,,,Rattus norvegicus,10116.0,,
18,sogc2ntrationthatca7sd59activstipnlfhumanreticulicyte15liposygfnaseq5HpO,,BAO0p90357,Autosuratiln,,16474,B,,,,,,
19,Inhkbitkonpfpartially0ugified15lupostgenasefrohhumankekk0cytes,,BAO000o01o,Autocueahion,,10091,B,,,,,,
20,Inhibitoryactivit5agaijqthymanretjc7iocyt215liloxyg4naaew5HLO,,BAO0000rr7,Aytofuration,,16474,B,,,,,,
21,xompounrwasevxluatedfortt40ercentibcrexceinwc4iva6ionc0ncrntrqtionofhunanreticulocyhe15lipoaghenase15HLO,,gqO0000357,A7tocuratipn,,16474,B,,,,,,
22,Inhibitoryactivityqgsinathukqnretisuiocyre15l8pox6genqse15HL9,,BAOop00357,Autosuratioh,,16474,B,,,,,,
23,onhkbutoryactibityagaibsthumahreyixulocyte15kipozugenase15HLONIisn9kjhib8tion,,gAO0900357,sugocuration,,16474,B,,,,,,
24,jnhibitorysctidityagalgstbumanrd5idulovute15liooxygenzse15HLONIisnoinhibitu9n,,BAO0p00w57,A7tosuration,,16474,B,,,,,,
25,Inhibitoryconcentratilgagzins515lipoxygenasrnyigbkbitingq5HETEproduftionbyuymanumbipicapgdinsndoth2lialcdllsHycECs5imulatexbycalc7umkoniphoreA2r176qtconcebtrafionof10e5M,,fA90000219,qutocu4ation,,14352,B,,,,,,
26,Inbitroinhibitoryac6ivi5jofconpoundohfabbuteetic6lochte15lipoxynenas3,,Bwi0000357,Autpcurqtion,,5646,B,,,Oryctolagus cuniculus,9986.0,,
27,Inh8bitionofrabbltretivulocyte15pop0a6g4nasebycojpound30un,,BxO000035y,Autodurati0n,,5646,B,,,Oryctolagus cuniculus,9986.0,,
