assay_strain,assays_ASSTAI,assays_VARII,assays_ASORGA,assays_ASTI,assays_ASCTY,assays_ASSUBCEFRA,assays_CEI,assays_RELT,assays_ASCATE,assays_SASI,assays_Ti,assays_CHI,assays_SI,assays_ASST,assays_Descr,assays_CURAB,assays_ASTETY,assays_TISI,assays_CONSCO,assays_ASSI,assays_BAFOR,assays_DOI
,10116.0,,Rattus norvegicus,Kidney,,,,N,,,50597,CHEMBL618647,1,A,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Intermediate,In vivo,2113.0,1,7524,BAO_0000218,9866
,10116.0,,Rattus norvegicus,Kidney,,,,N,,,50597,CHEMBL618648,1,A,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,Intermediate,In vivo,2113.0,1,7525,BAO_0000218,9866
,10116.0,,Rattus norvegicus,Kidney,,,,N,,,50597,CHEMBL618649,1,A,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,Intermediate,In vivo,2113.0,1,7526,BAO_0000218,9866
,10116.0,,Rattus norvegicus,Liver,,,,N,,,50597,CHEMBL618650,1,A,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Intermediate,In vivo,2107.0,1,7527,BAO_0000218,9866
,10116.0,,Rattus norvegicus,Liver,,,,N,,,50597,CHEMBL618651,1,A,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,Intermediate,In vivo,2107.0,1,7528,BAO_0000218,9866
,10116.0,,Rattus norvegicus,Liver,,,,N,,,50597,CHEMBL876497,1,A,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,Intermediate,In vivo,2107.0,1,7529,BAO_0000218,9866
,10116.0,,Rattus norvegicus,Lung,,,,N,,,50597,CHEMBL618652,1,A,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Intermediate,In vivo,2048.0,1,7530,BAO_0000218,9866
,10116.0,,Rattus norvegicus,Lung,,,,N,,,50597,CHEMBL618653,1,A,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,Intermediate,In vivo,2048.0,1,7531,BAO_0000218,9866
,10116.0,,Rattus norvegicus,Lung,,,,N,,,50597,CHEMBL618654,1,A,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,Intermediate,In vivo,2048.0,1,7532,BAO_0000218,9866
,10116.0,,Rattus norvegicus,,,,,N,,,50597,CHEMBL618655,1,A,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,Intermediate,,,1,7533,BAO_0000218,6351
,10116.0,,Rattus norvegicus,,,,,N,,,50597,CHEMBL618656,1,A,Compound was tested for solubility in water,Intermediate,,,1,7534,BAO_0000218,1465
,,,,,,,,U,,,22229,CHEMBL618657,1,P,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),Intermediate,,,0,7535,BAO_0000100,5182
,10116.0,,Rattus norvegicus,,,,,N,,,50597,CHEMBL618658,1,A,Solubility was determined,Intermediate,,,1,7536,BAO_0000218,17847
,10116.0,,Rattus norvegicus,,,,,N,,,50597,CHEMBL618659,1,A,solubility in water (ug/mL) at 37 degree C.,Intermediate,,,1,7537,BAO_0000218,15339
,10116.0,,Rattus norvegicus,,,,,N,,,50597,CHEMBL618660,1,A,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,Intermediate,,,1,7538,BAO_0000218,5202
,10116.0,,Rattus norvegicus,,,,,N,,,50597,CHEMBL618661,1,A,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,Intermediate,,,1,7539,BAO_0000218,1088
,10116.0,,Rattus norvegicus,,,,,N,,,50597,CHEMBL873807,1,A,Half life in rats,Intermediate,,,1,7540,BAO_0000218,3169
,10116.0,,Rattus norvegicus,,,,,N,,,50597,CHEMBL618662,1,A,Half life in Dawley rat,Intermediate,,,1,7541,BAO_0000218,5353
,10116.0,,Rattus norvegicus,,,,,N,,,50597,CHEMBL618663,1,A,Half life period after 3 mg/kg iv administration,Intermediate,In vivo,,1,7542,BAO_0000218,2864
,10116.0,,Rattus norvegicus,,,,,N,,,50597,CHEMBL618664,1,A,Half life period after 3 mg/kg iv administration in rat,Intermediate,In vivo,,1,7543,BAO_0000218,2864
