assay_type,curated_by,src_id,cell_id,assay_subcellular_fraction,assay_organism,assay_test_type,assay_category,assay_tax_id,description,variant_id,assay_id,confidence_score,src_assay_id,assay_strain,doc_id,assay_cell_type,assay_tissue,relationship_type,tid,chembl_id,bao_format,tissue_id
A,Intermediate,1,,,Rattus norvegicus,In vivo,,10116.0,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,7524,1,,,9866,,Kidney,N,50597,CHEMBL618647,BAO_0000218,2113.0
A,Intermediate,1,,,Rattus norvegicus,In vivo,,10116.0,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,,7525,1,,,9866,,Kidney,N,50597,CHEMBL618648,BAO_0000218,2113.0
A,Intermediate,1,,,Rattus norvegicus,In vivo,,10116.0,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,,7526,1,,,9866,,Kidney,N,50597,CHEMBL618649,BAO_0000218,2113.0
A,Intermediate,1,,,Rattus norvegicus,In vivo,,10116.0,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,7527,1,,,9866,,Liver,N,50597,CHEMBL618650,BAO_0000218,2107.0
A,Intermediate,1,,,Rattus norvegicus,In vivo,,10116.0,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,,7528,1,,,9866,,Liver,N,50597,CHEMBL618651,BAO_0000218,2107.0
A,Intermediate,1,,,Rattus norvegicus,In vivo,,10116.0,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,,7529,1,,,9866,,Liver,N,50597,CHEMBL876497,BAO_0000218,2107.0
A,Intermediate,1,,,Rattus norvegicus,In vivo,,10116.0,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,7530,1,,,9866,,Lung,N,50597,CHEMBL618652,BAO_0000218,2048.0
A,Intermediate,1,,,Rattus norvegicus,In vivo,,10116.0,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,,7531,1,,,9866,,Lung,N,50597,CHEMBL618653,BAO_0000218,2048.0
A,Intermediate,1,,,Rattus norvegicus,In vivo,,10116.0,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,,7532,1,,,9866,,Lung,N,50597,CHEMBL618654,BAO_0000218,2048.0
A,Intermediate,1,,,Rattus norvegicus,,,10116.0,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,,7533,1,,,6351,,,N,50597,CHEMBL618655,BAO_0000218,
A,Intermediate,1,,,Rattus norvegicus,,,10116.0,Compound was tested for solubility in water,,7534,1,,,1465,,,N,50597,CHEMBL618656,BAO_0000218,
P,Intermediate,1,,,,,,,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),,7535,0,,,5182,,,U,22229,CHEMBL618657,BAO_0000100,
A,Intermediate,1,,,Rattus norvegicus,,,10116.0,Solubility was determined,,7536,1,,,17847,,,N,50597,CHEMBL618658,BAO_0000218,
A,Intermediate,1,,,Rattus norvegicus,,,10116.0,solubility in water (ug/mL) at 37 degree C.,,7537,1,,,15339,,,N,50597,CHEMBL618659,BAO_0000218,
A,Intermediate,1,,,Rattus norvegicus,,,10116.0,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,,7538,1,,,5202,,,N,50597,CHEMBL618660,BAO_0000218,
A,Intermediate,1,,,Rattus norvegicus,,,10116.0,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,,7539,1,,,1088,,,N,50597,CHEMBL618661,BAO_0000218,
