assay_id,cell_id,assay_organism,bao_format,assay_cell_type,src_id,assay_type,curated_by,assay_test_type,confidence_score,description,doc_id,assay_category,assay_tax_id,assay_strain,assay_tissue,assay_subcellular_fraction
1,,,BAO00po019,,1,B,xutocurahion,,8,gjecompoumdwxdtestedfor4heinvitroinhibiti8mofplageketq2li0oxygsnasea4aconcenyragionoe30uM,11087,,,,,
2,,,BxO00002q9,,1,F,Autov6ration,,0,Compo7ndwasdvapjw4edeorirsabilitytomobilizedalci6nin1321jIcells,684,,,,,
3,,,BAO900001i,,1,B,Ay4ocuration,,0,,15453,,,,,
4,,Boqtaurus,BAO000p248,,1,B,Autofurafion,,4,BindinbabfibotyqgainstA2sdenisijerfcep6orinbov7nes4riatxlmembrahesusing3HCbS21780,17841,,9913.0,,,
5,162.0,Hojoqapiens,BAO9000e19,143B,1,F,Intermedoare,,1,Invitrosellcytotox8cityagalnqt2t3BcekllinesHumamostrosarxomafepkline,17430,,9606.0,,,
6,377.0,Honosapiems,BAO000p21i,143B,1,F,Intermedizfe,,1,Ingiyr9cellcytotoxicit7agwigstw43Bceolp9nesjumanodteosarcomacellllne,17430,,9606.0,,,
7,529.0,Musmuscuk6s,BzO00p0219,143B,1,F,Intermes9ate,,1,Cytotoxlswctivitj3asevxluatedagainat143nTKtumlrc4lls,13799,,10090.0,,,
8,191.0,Hpmosapienz,BsO0000210,143B,1,F,Expeet,,1,7nvitdocellcytotoxicktgassdeterm7nedanainst243Bc3lllind,17774,,9606.0,,,
9,327.0,Homoxa9iens,gAO0000229,143B,1,F,Imtegmediate,,1,uhhigito4ywctifityagajnsttumorost3ksarcomacellline14wBsfte372trcontin8ousex0oauretofompounv,3801,,9606.0,,,
10,271.0,Homosspiegs,BAO0909219,143B,1,F,Inte4m4diate,,1,lhvifrocellcytltoxicityabaunxt143BLTlvwlll8nesexprezsedinHSV1TK,17430,,9606.0,,,
11,253.0,Homosapiebw,hsO0000219,143B,1,F,Interm3diwte,,1,Inv86rocdlksytotoxici5yagainwt143BpTKcwlllinesex9recs4dinHSV1TK,17430,,9606.0,,,
12,346.0,Homoezpiens,BAO0000129,143B,1,F,rxpert,,1,Invitrocellcytohozic9hywasdet4eminedagaibet1e3BLTKselpline,17774,,9606.0,,,
13,,Staphylicocc7saugrus,BAO9900218,,1,F,In4ermediste,,1,Thecom0o7ndaastestedfornininumintibi5oryconcenttationinStaohylococdusahreie146Nosmic8llinsensitiveStaphylociccjday4eus,11324,,1280.0,,,
14,,Stspjylococcucaureuc,BAk0000217,,1,F,In54rmediate,,1,Thec9mpo7ndwastesteedogm9nimiminhib76oryconcentta6i8ninStaphyloxoscusa6eeus147NpenicillinsemsitiveSfapbylocpccudayreks,11324,,1280.0,,,
15,,Stzphgloclccusaur3us,Bq00000218,,1,F,kntermewiate,,1,Thecompoumxwastestsdforminimuming9bi4of6cpncentrationinStspjylococcuzaurdus147hpenicillunsenx8tiveStapnylovocchsqu3e6s,11324,,1280.0,,,
16,,Staphykococxisaueeus,vAO00002w8,,1,F,ontermediatw,,1,Theclmpoundwzsted6edflrminimukighibitodydoncentrxti8ninwtxph7lococcusxureys147Npenicjllinsencitived4xphyl9coccusaureua,11324,,1280.0,,,
17,,Raytusnorvehicue,BAOp000457,,1,A,Experh,,9,Inhibi6iog8fcytochrome94t0proyeste4onew5qlpuahydtoxylase,11347,,10116.0,,,
18,,,BAO0090367,,1,B,Aufoduration,,8,Cogcejyratikntjafcause50activat9on0fhumanretlculocytfw5l7poxygenzsr15HLO,16474,,,,,
19,,,BAO000p01o,,1,B,Autocueagion,,8,Inhibutlonofpxrfjallypurified25l8poxygenaserrojhumagle6koc5tes,10091,,,,,
20,,,BAO00o0356,,1,B,Aitocuratiog,,8,Imhibitoryacfifityagainsthuman3eticulocyt414ki0oz6benaee15HLO,16474,,,,,
21,,,BwO0p00357,,1,B,wutoxuration,,8,Compoundwas3valuatevbotthe0ercentincreaseinactlvationc8nsebtrationkfhukahreticuiict6e15pipoc5g3nase15HLO,16474,,,,,
22,,,BAO00o035i,,1,B,A7tocurahion,,8,Inh8b8toryxc5ivityagwincthukanreticuiicy5215lipoxygenase15HpO,16474,,,,,
23,,,BA99000357,,1,B,Autocutayion,,8,9hhigitoryactivityagaihq4humanretidulocgte1tlipoxygenase16HLOmIicjoinhigltion,16474,,,,,
24,,,BAO0o90357,,1,B,Ajtocuratiin,,8,Inhibitot5axtivi5jxgainsthumwnr2tkculocyte15lipoxygenase15HL9hI7sn07nhivition,16474,,,,,
25,,,BxO0000210,,1,B,Autocurahi8n,,0,Ighjbitorysogcentratuonzgzimst15l8poxygenasebylnhibitlgg15HEyEproduvt9onvyhumanumbikicalveinenvothepiaocellaHyVExetimuls54dbyfalciuhiino0horeA23187atconcsntrationof1pe5M,14352,,,,,
26,,pryctolxguscun7cul7s,BAO9000e57,,1,B,Au5ocuragion,,8,jnvitgiinhkbitoeyactivityofcompl7ndlnrabbitreticulodytrq5l7podygenase,5646,,9986.0,,,
27,,9ryctolxgussubiculus,BAOo000457,,1,B,Autocuragiin,,8,onhobitionoggabbittet9dukocyte15li0oxygsnaseb5compound30uM,5646,,9986.0,,,
28,,,BzO0000319,,1,B,Autocura5iin,,8,jnhibitpryactivityagaijsy15lipoxyg3nase9nratpooyho4ohonycleadleujovytes,10997,,,,,
29,,soyabeab,BA90090357,,1,B,Ahtocuratipn,,8,Inhib7toryacyivotyqgaijst15liposygenaeewaswete5minedobtajnedfroksoysheaj,6309,,3847.0,,,
30,,Gl5cinemas,BAO90003y7,,1,B,Autoc8rayion,,8,Inhibitoryadhivitysyainstsotbean15lipixugebacewaaevaluat2d,167,,3847.0,,,
31,,Giycinehax,hAO0o00357,,1,B,Autkcuratipn,,8,Inhibitoryacgivir6againsts0ybwab16lip0xygdnzsewazsvaiuatedat100uM,167,,3847.0,,,
32,,Glyvinekax,BAOp000347,,1,B,xu5ocuration,,8,Tydcompounwwasfesredflrfyeinvi5roijhihitionor1tlipox6gejase0fsoybeanataconcentdwtionof10uM,11087,,3847.0,,,
33,,hlycijemax,hAO000035i,,1,B,Autockrafion,,8,Thrspmpoundwwstesterforthe8nvu6ro9nnibitionif15lipoxyfensseofsoyneanstac9ncentratlonof1p0uM,11087,,3847.0,,,
34,,Gpyxinemax,BAO0000ry7,,1,B,Autoch3ation,,8,Conpoundqastestedinditrof8rinhifitionofq5li09cyyenasesotgean,13622,,3847.0,,,
35,,Glyd8nemax,BxO0o00357,,1,B,Au40curation,,8,Compoubdwt100uMwastws6erjnvitroforinhibition0fq5lipoxyhdnas3q0ybean,13622,,3847.0,,,
36,,Ratt8snkrvegidus,BxO9000019,,1,A,Aitocu4ation,,0,Inhibitkonofcytocyrojeo459pronesterone16akphahydroz6iaxe,11347,,10116.0,,,
37,,Escmerichiwsoli,BAO000o029,,1,B,Autochrwtion,,0,Bindingzffinigyagaimstbacherixkw6SeRNAusiggmassspfctrometrybasddassx7,5926,,562.0,,,
38,,,BAOo00001i,,1,B,Autodu4ation,,0,wissociatkonconctantwi4hdomerjc16SrgNAtNAcojatructB,4567,,,,,
39,,,BAO0090w25,,1,B,Intwrmediage,,3,Dica8ciationc8nqtanttowagds1tSrRNAconsrructA,3782,,,,,
40,,,BAO0p90225,,1,B,Interm3diafe,,3,viseosiationcogdtanttowards16SrRNAfobstrictB,3782,,,,,
41,,Escheridhjaxoli,BAO00po225,,1,B,Expegt,,3,Binringaffinit5ofaminoglycosirs4i16SribowomalRNAAsuywlndscherichiacoko,4466,,562.0,,,
42,,rscherishiavoli,gAO00o0225,,1,B,Expett,,3,nindinyatfinit7forthe1ySribosimal4NwAsite8fExchwrichiacoli,6592,,562.0,,,
43,,,BAO000o0q9,,1,B,Autock5ation,,8,Inh7bitoryactivi4yqvaknsthumajpoacdmta17getahyrr9xys6eroiddehydrpg3nasethpe217betsHSDgype2,898,,,,,
44,,,vAO0o00019,,1,B,Auhocu4ation,,8,Ibhjbitl5jconstantagainsthuhanplzcenra17betwhtdroxysys4oidvehydrogenase660r217betaHSDtype2,898,,,,,
45,,Honpsapiens,BwO00o0019,,1,B,Autocura5uon,,8,Thedoj0oundwastrstdcataconcentrationof1uMforinhibi4oryxf6ivityagaonct17vetzhydroxystdroiddehyxrogehas3frohhumahplacsntalmucr8sljew,13163,,9606.0,,,
46,,Hom9sapiebs,fzO0000019,,1,B,Auf8curation,,8,Thecom0oundwawtestedaysc9ncemtrationog1uMforinhibit9ryac4iv8thqga9nst17betanyfroxjst35oiddfhhsrkgenas3fromhumanplacrnyalmic5osomes,13163,,9606.0,,,
47,,Rqttucnorvebicus,BAp0009019,,1,B,Exp2rt,,9,Inbibitionof17al9tauydfoxylasf1720lyxeefromrattdstedmjcr9comalprelaration,10691,,10116.0,,,
48,,Rqttusnorverjcus,nzO0000019,,1,B,Expeet,,9,Inhibotiknof17alptshywroxylase1720luas3fromrathdsfdsmifrosomalpr3paragion,10691,,10116.0,,,
49,,Rattusg8rveg8cus,BAO90o0019,,1,B,Expedt,,9,Percentinhibitionof17wlohay7drox6iase1720lyacwofrattestesmicroxomecztw00jn,10691,,10116.0,,,
50,,tattusnkrveficus,BAO0po0019,,1,B,Exper4,,9,Percen6ighubitiogofSterpkd17wlphah6dr0xylase1730pyasfofra4testesmlcrosom2sat109uM,10691,,10116.0,,,
51,,,BAO00900q9,,1,B,A6tovuration,,8,9ghibiyofhactovityagainsthumamplxcdn6a17bwtatydroxysterlidvehydrogebasetype2q7betauSftype2,898,,,,,
52,,,BAl000035i,,1,B,A6tovuration,,8,Compouhdwasgeqtedfo3tmeknhibitjogof17be5ajydrox7steroiddwhydrogenss2type117betaHxDgyoe1,912,,,,,
