ss_tst_tp,vrnt_d,ss_tp,src_ss_d,crtd_b,cnfdnc_scr,ss_ctgr,td,chmbl_d,tss_d,ss_d,ss_rgnsm,ss_cll_tp,ss_tx_d,rltnshp_tp,ss_tss,src_d,cll_d,dscrptn,ss_sbclllr_frctn,b_frmt,dc_d,ss_strn
In vivo,,A,,Intermediate,1,,50597,CHEMBL618647,2113.0,7524,Rattus norvegicus,,10116.0,N,Kidney,1,,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,BAO_0000218,9866,
In vivo,,A,,Intermediate,1,,50597,CHEMBL618648,2113.0,7525,Rattus norvegicus,,10116.0,N,Kidney,1,,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,,BAO_0000218,9866,
In vivo,,A,,Intermediate,1,,50597,CHEMBL618649,2113.0,7526,Rattus norvegicus,,10116.0,N,Kidney,1,,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,,BAO_0000218,9866,
In vivo,,A,,Intermediate,1,,50597,CHEMBL618650,2107.0,7527,Rattus norvegicus,,10116.0,N,Liver,1,,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,BAO_0000218,9866,
In vivo,,A,,Intermediate,1,,50597,CHEMBL618651,2107.0,7528,Rattus norvegicus,,10116.0,N,Liver,1,,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,,BAO_0000218,9866,
In vivo,,A,,Intermediate,1,,50597,CHEMBL876497,2107.0,7529,Rattus norvegicus,,10116.0,N,Liver,1,,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,,BAO_0000218,9866,
In vivo,,A,,Intermediate,1,,50597,CHEMBL618652,2048.0,7530,Rattus norvegicus,,10116.0,N,Lung,1,,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,BAO_0000218,9866,
In vivo,,A,,Intermediate,1,,50597,CHEMBL618653,2048.0,7531,Rattus norvegicus,,10116.0,N,Lung,1,,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,,BAO_0000218,9866,
In vivo,,A,,Intermediate,1,,50597,CHEMBL618654,2048.0,7532,Rattus norvegicus,,10116.0,N,Lung,1,,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,,BAO_0000218,9866,
,,A,,Intermediate,1,,50597,CHEMBL618655,,7533,Rattus norvegicus,,10116.0,N,,1,,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,,BAO_0000218,6351,
,,A,,Intermediate,1,,50597,CHEMBL618656,,7534,Rattus norvegicus,,10116.0,N,,1,,Compound was tested for solubility in water,,BAO_0000218,1465,
,,P,,Intermediate,0,,22229,CHEMBL618657,,7535,,,,U,,1,,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),,BAO_0000100,5182,
,,A,,Intermediate,1,,50597,CHEMBL618658,,7536,Rattus norvegicus,,10116.0,N,,1,,Solubility was determined,,BAO_0000218,17847,
,,A,,Intermediate,1,,50597,CHEMBL618659,,7537,Rattus norvegicus,,10116.0,N,,1,,solubility in water (ug/mL) at 37 degree C.,,BAO_0000218,15339,
