assay_strain,bao_format,assay_type,assay_test_type,assay_cell_type,tid,relationship_type,assay_organism,curated_by,doc_id,assay_subcellular_fraction,assay_tax_id,chembl_id,src_id,assay_category,confidence_score,assay_tissue,src_assay_id,variant_id,tissue_id,cell_id,assay_id,description
,BAO_0000019,B,,,12052.0,H,,Autocuration,11087.0,,,CHEMBL615117,1.0,,8.0,,,,,,1.0,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM
,BAO_0000219,F,,,22226.0,U,,Autocuration,684.0,,,CHEMBL615118,1.0,,0.0,,,,,,2.0,Compound was evaluated for its ability to mobilize calcium in 1321NI cells
,BAO_0000019,B,,,22226.0,U,,Autocuration,15453.0,,,CHEMBL615119,1.0,,0.0,,,,,,3.0,
,BAO_0000249,B,,,104729.0,H,Bos taurus,Autocuration,17841.0,,9913.0,CHEMBL615120,1.0,,4.0,,,,,,4.0,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680
,BAO_0000219,F,,143B,80001.0,N,Homo sapiens,Intermediate,17430.0,,9606.0,CHEMBL615121,1.0,,1.0,,,,,163.0,5.0,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line)
,BAO_0000219,F,,143B,80001.0,N,Homo sapiens,Intermediate,17430.0,,9606.0,CHEMBL615122,1.0,,1.0,,,,,163.0,6.0,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line)
,BAO_0000219,F,,143B,80001.0,N,Mus musculus,Intermediate,13799.0,,10090.0,CHEMBL615123,1.0,,1.0,,,,,163.0,7.0,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells
,BAO_0000219,F,,143B,80001.0,N,Homo sapiens,Expert,17774.0,,9606.0,CHEMBL615124,1.0,,1.0,,,,,163.0,8.0,In vitro cell cytotoxicity was determined against 143B cell line
,BAO_0000219,F,,143B,80001.0,N,Homo sapiens,Intermediate,3801.0,,9606.0,CHEMBL615125,1.0,,1.0,,,,,163.0,9.0,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound
,BAO_0000219,F,,143B,80001.0,N,Homo sapiens,Intermediate,17430.0,,9606.0,CHEMBL615126,1.0,,1.0,,,,,163.0,10.0,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK
