assay_id,variant_id,src_id,assay_subcellular_fraction,assay_organism,cell_id,doc_id,description,assay_type,assay_test_type,assay_category,assay_tax_id,assay_strain,assay_tissue
1,,1,,,,11087,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,B,,,,,
2,,1,,,,684,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,F,,,,,
3,,1,,,,15453,,B,,,,,
4,,1,,Bos taurus,,17841,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,B,,,9913.0,,
5,,1,,Homo sapiens,163.0,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,,9606.0,,
6,,1,,Homo sapiens,163.0,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,,9606.0,,
7,,1,,Mus musculus,163.0,13799,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,F,,,10090.0,,
8,,1,,Homo sapiens,163.0,17774,In vitro cell cytotoxicity was determined against 143B cell line,F,,,9606.0,,
9,,1,,Homo sapiens,163.0,3801,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,F,,,9606.0,,
10,,1,,Homo sapiens,163.0,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,,9606.0,,
11,,1,,Homo sapiens,163.0,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,,9606.0,,
12,,1,,Homo sapiens,163.0,17774,In vitro cell cytotoxicity was determined against 143B-LTK cell line,F,,,9606.0,,
13,,1,,Staphylococcus aureus,,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,1280.0,,
14,,1,,Staphylococcus aureus,,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,1280.0,,
15,,1,,Staphylococcus aureus,,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,1280.0,,
16,,1,,Staphylococcus aureus,,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,1280.0,,
17,,1,,Rattus norvegicus,,11347,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,A,,,10116.0,,
18,,1,,,,16474,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
19,,1,,,,10091,Inhibition of partially purified 15-lipoxygenase from human leukocytes,B,,,,,
20,,1,,,,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
21,,1,,,,16474,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
22,,1,,,,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
23,,1,,,,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,,,
24,,1,,,,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,,,
25,,1,,,,14352,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",B,,,,,
26,,1,,Oryctolagus cuniculus,,5646,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,B,,,9986.0,,
27,,1,,Oryctolagus cuniculus,,5646,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),B,,,9986.0,,
28,,1,,,,10997,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,B,,,,,
29,,1,,soya bean,,6309,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,B,,,3847.0,,
30,,1,,Glycine max,,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated,B,,,3847.0,,
31,,1,,Glycine max,,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,B,,,3847.0,,
32,,1,,Glycine max,,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,B,,,3847.0,,
33,,1,,Glycine max,,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,B,,,3847.0,,
34,,1,,Glycine max,,13622,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,,3847.0,,
35,,1,,Glycine max,,13622,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,,3847.0,,
36,,1,,Rattus norvegicus,,11347,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,A,,,10116.0,,
37,,1,,Escherichia coli,,5926,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,B,,,562.0,,
38,,1,,,,4567,Dissociation constant with dimeric 16S rRNA RNA construct B,B,,,,,
39,,1,,,,3782,Dissociation constant towards 16S rRNA construct A,B,,,,,
40,,1,,,,3782,Dissociation constant towards 16S rRNA construct B,B,,,,,
41,,1,,Escherichia coli,,4466,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,B,,,562.0,,
42,,1,,Escherichia coli,,6592,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,B,,,562.0,,
43,,1,,,,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,
44,,1,,,,898,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,
45,,1,,Homo sapiens,,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,,9606.0,,
46,,1,,Homo sapiens,,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,,9606.0,,
47,,1,,Rattus norvegicus,,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,,10116.0,,
48,,1,,Rattus norvegicus,,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,,10116.0,,
49,,1,,Rattus norvegicus,,10691,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,,10116.0,,
50,,1,,Rattus norvegicus,,10691,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,,10116.0,,
51,,1,,,,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,
52,,1,,,,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),B,,,,,
53,,1,,,,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,B,,,,,
54,,1,,,,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,B,,,,,
55,,1,Membranes,Rattus norvegicus,,15103,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,B,,,10116.0,,
56,,1,,Homo sapiens,506.0,5116,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,F,,,9606.0,,
57,,1,,Rattus norvegicus,,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,F,,,10116.0,,
58,,1,,Rattus norvegicus,,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,F,,,10116.0,,
59,,1,,Rattus norvegicus,,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,F,,,10116.0,,
60,,1,,Homo sapiens,506.0,4787,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,F,,,9606.0,,
61,,1,,Homo sapiens,506.0,4787,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,F,,,9606.0,,
62,,1,,Homo sapiens,506.0,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line,F,,,9606.0,,
63,,1,,Homo sapiens,506.0,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,F,,,9606.0,,
64,,1,,Homo sapiens,506.0,6726,Effective dose of compound against replication of 1A9 cell line was evaluated,F,,,9606.0,,
65,,1,,Homo sapiens,506.0,3455,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,F,,,9606.0,,
66,,1,,Homo sapiens,506.0,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),F,,,9606.0,,
67,,1,,Homo sapiens,506.0,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,F,,,9606.0,,
68,,1,,Homo sapiens,506.0,5726,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,F,,,9606.0,,
69,,1,,Homo sapiens,506.0,3395,Inhibitory activity against Taxol resistant 1A9 cell lines,F,,,9606.0,,
70,,1,,Homo sapiens,506.0,3415,Cytotoxicity against human ovarian cancer (1A9) cell lines.,F,,,9606.0,,
71,,1,,Homo sapiens,506.0,3415,Percentage inhibition of human ovarian cancer (1A9) cell lines.,F,,,9606.0,,
72,,1,,Homo sapiens,506.0,17099,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,F,,,9606.0,,
73,,1,,Homo sapiens,506.0,17099,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,F,,,9606.0,,
74,,1,,Homo sapiens,506.0,17099,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,F,,,9606.0,,
75,,1,,Homo sapiens,506.0,17099,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,F,,,9606.0,,
76,,1,,Homo sapiens,503.0,17721,Inhibitory concentration against Jurkat cells,F,,,9606.0,,
77,,1,,,,1229,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,F,,,,,
78,,1,,Rattus norvegicus,,11347,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,A,,,10116.0,,
79,,1,,,,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,,
80,,1,,,,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,,
81,,1,,,,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",B,,,,,
82,,1,Microsomes,Candida albicans,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",B,,,5476.0,,
83,,1,Microsomes,Candida albicans,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",B,,,5476.0,,
84,,1,Microsomes,Saccharomyces cerevisiae,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",B,,,4932.0,,
