district,city_id,address,postal_code,address_id,address2,phone
Alberta,300,23 Workhaven Lane,,3,,14033335568
QLD,576,1411 Lillydale Drive,,4,,6172235589
Nagasaki,463,1913 Hanoi Way,35200.0,5,,28303384290
California,449,1121 Loja Avenue,17886.0,6,,838635286649
Attika,38,692 Joliet Street,83579.0,7,,448477190408
Mandalay,349,1566 Inegöl Manor,53561.0,8,,705814003527
Nantou,361,53 Idfu Parkway,42399.0,9,,10655648674
Texas,295,1795 Santiago de Compostela Way,18743.0,10,,860452626434
Central Serbia,280,900 Santiago de Compostela Parkway,93896.0,11,,716571220373
Hamilton,200,478 Joliet Way,77948.0,12,,657282285970
Masqat,329,613 Korolev Drive,45844.0,13,,380657522649
Esfahan,162,1531 Salé Drive,53628.0,14,,648856936185
Kanagawa,440,1542 Tarlac Parkway,1027.0,15,,635297277345
Haryana,582,808 Bhopal Manor,10672.0,16,,465887807014
Osmaniye,384,270 Amroha Parkway,29610.0,17,,695479687538
California,120,770 Bydgoszcz Avenue,16266.0,18,,517338314235
Madhya Pradesh,76,419 Iligan Lane,72878.0,19,,990911107354
England,495,360 Toulouse Parkway,54308.0,20,,949312333307
Kalmykia,156,270 Toulon Boulevard,81766.0,21,,407752414682
Kaduna,252,320 Brest Avenue,43331.0,22,,747791594069
Northern Cape,267,1417 Lancaster Avenue,72192.0,23,,272572357893
Nothwest Border Prov,327,1688 Okara Way,21954.0,24,,144453869132
Dhaka,525,262 A Coruña (La Coruña) Parkway,34418.0,25,,892775750063
Rabat-Sal-Zammour-Z,443,28 Charlotte Amalie Street,37551.0,26,,161968374323
Liepaja,303,1780 Hino Boulevard,7716.0,27,,902731229323
Córdoba,128,96 Tafuna Way,99865.0,28,,934730187245
Sind,472,934 San Felipe de Puerto Plata Street,99780.0,29,,196495945706
,121,18 Duisburg Boulevard,58327.0,30,,998009777982
Southern Mindanao,138,217 Botshabelo Place,49521.0,31,,665356572025
Bihar,346,1425 Shikarpur Manor,65599.0,32,,678220867005
Yamaguchi,474,786 Aurora Avenue,65750.0,33,,18461860151
Taipei,316,1668 Anápolis Street,50199.0,34,,525255540978
West Bengali,257,33 Gorontalo Way,30348.0,35,,745994947458
Uttar Pradesh,239,176 Mandaluyong Place,65213.0,36,,627705991774
Piemonte,17,127 Purnea (Purnia) Manor,79388.0,37,,911872220378
Okayama,284,61 Tama Street,94065.0,38,,708403338270
Midi-Pyrnes,544,391 Callao Drive,34021.0,39,,440512153169
Markazi,31,334 Munger (Monghyr) Lane,38145.0,40,,481183273622
Henan,362,1440 Fukuyama Loop,47929.0,41,,912257250465
Chisinau,115,269 Cam Ranh Parkway,34689.0,42,,489783829737
Esprito Santo,569,306 Antofagasta Place,3989.0,43,,378318851631
Oriental,353,671 Graz Street,94399.0,44,,680768868518
Yerevan,586,42 Brindisi Place,16744.0,45,,42384721397
Nonthaburi,394,1632 Bislig Avenue,61117.0,46,,471675840679
Tahiti,167,1447 Imus Way,48942.0,47,,539758313890
Lipetsk,308,1998 Halifax Drive,76022.0,48,,177727722820
Antofagasta,27,1718 Valencia Street,37359.0,49,,675292816413
Moscow (City),343,46 Pjatigorsk Lane,23616.0,50,,262076994845
Cear,247,686 Garland Manor,52535.0,51,,69493378813
Tatarstan,367,909 Garland Manor,69367.0,52,,705800322606
Mekka,237,725 Isesaki Place,74428.0,53,,876295323994
Khartum,379,115 Hidalgo Parkway,80168.0,54,,307703950263
California,171,1135 Izumisano Parkway,48150.0,55,,171822533480
Galicia,1,939 Probolinggo Loop,4166.0,56,,680428310138
Chiba,355,17 Kabul Boulevard,38594.0,57,,697760867968
Yamaguchi,227,1964 Allappuzha (Alleppey) Street,48980.0,58,,920811325222
Moskova,49,1697 Kowloon and New Kowloon Loop,57807.0,59,,499352017190
Tahiti,397,1668 Saint Louis Place,39072.0,60,,347487831378
Vaduz,560,943 Tokat Street,45428.0,61,,889318963672
Sarawak,282,1114 Liepaja Street,69226.0,62,,212869228936
Karnataka,350,1213 Ranchi Parkway,94352.0,63,,800024380485
Rajasthan,231,81 Hodeida Way,55561.0,64,,250767749542
Basel-Stadt,56,915 Ponce Place,83980.0,65,,1395251317
Missouri,441,1717 Guadalajara Lane,85505.0,66,,914090181665
Nebraska,306,1214 Hanoi Way,67055.0,67,,491001136577
Sichuan,139,1966 Amroha Avenue,70385.0,68,,333489324603
Cayenne,105,698 Otsu Street,71110.0,69,,409983924481
Skne ln,321,1150 Kimchon Manor,96109.0,70,,663449333709
Hunan,579,1586 Guarujá Place,5135.0,71,,947233365992
Madhya Pradesh,475,57 Arlington Manor,48960.0,72,,990214419142
Béchar,63,1031 Daugavpils Parkway,59025.0,73,,107137400143
Mekka,13,1124 Buenaventura Drive,6856.0,74,,407733804223
Eastern Visayas,61,492 Cam Ranh Street,50805.0,75,,565018274456
National Capital Reg,517,89 Allappuzha (Alleppey) Manor,75444.0,76,,255800440636
Chiayi,114,1947 Poços de Caldas Boulevard,60951.0,77,,427454485876
São Paulo,431,1206 Dos Quebradas Place,20207.0,78,,241832790687
Changhwa,108,1551 Rampur Lane,72394.0,79,,251164340471
Pavlodar,402,602 Paarl Street,98889.0,80,,896314772871
São Paulo,30,1692 Ede Loop,9223.0,81,,918711376618
Uttar Pradesh,425,936 Salzburg Lane,96709.0,82,,875756771675
Kanagawa,256,586 Tete Way,1079.0,83,,18581624103
Oyo & Osun,217,1888 Kabul Drive,20936.0,84,,701457319790
Mahajanga,319,320 Baiyin Parkway,37307.0,85,,223664661973
Krim,479,927 Bahía Blanca Parkway,9495.0,86,,821972242086
Gauteng,497,929 Tallahassee Loop,74671.0,87,,800716535041
Puebla,40,125 Città del Vaticano Boulevard,67912.0,88,,48417642933
England,88,1557 Kütahya Boulevard,88002.0,89,,720998247660
Songkhla,489,870 Ashqelon Loop,84931.0,90,,135117278909
Sucre,480,1740 Portoviejo Avenue,29932.0,91,,198123170793
Cheju,113,1942 Ciparay Parkway,82624.0,92,,978987363654
Buenos Aires,289,1926 El Alto Avenue,75543.0,93,,846225459260
Guangdong,332,1952 Chatsworth Drive,25958.0,94,,991562402283
Brunei and Muara,53,1370 Le Mans Avenue,52163.0,95,,345679835036
Gois,183,984 Effon-Alaiye Avenue,17119.0,96,,132986892228
Inner Mongolia,592,832 Nakhon Sawan Manor,49021.0,97,,275595571388
Caraga,82,152 Kitwe Parkway,53182.0,98,,835433605312
Punjab,399,1697 Tanauan Lane,22870.0,99,,4764773857
Georgia,41,1308 Arecibo Way,30695.0,100,,6171054059
Tete,534,1599 Plock Drive,71986.0,101,,817248913162
Abu Dhabi,12,669 Firozabad Loop,92265.0,102,,412903167998
Kyongsangbuk,268,588 Vila Velha Manor,51540.0,103,,333339908719
Lipetsk,238,1913 Kamakura Place,97287.0,104,,942570536750
Asir,2,733 Mandaluyong Place,77459.0,105,,196568435814
Ha Darom,34,659 Vaduz Drive,49708.0,106,,709935135487
Kwara & Kogi,220,1177 Jelets Way,3305.0,107,,484292626944
Provence-Alpes-Cte,543,1386 Yangor Avenue,80720.0,108,,449216226468
Funafuti,173,454 Nakhon Sawan Boulevard,76383.0,109,,963887147572
Ivanovo,225,1867 San Juan Bautista Tuxtepec Avenue,78311.0,110,,547003310357
Buenos Aires,334,1532 Dzerzinsk Way,9599.0,111,,330838016880
Mxico,213,1002 Ahmadnagar Manor,93026.0,112,,371490777743
North West,273,682 Junan Way,30418.0,113,,622255216127
Hubei,159,804 Elista Drive,61069.0,114,,379804592943
Distrito Federal,102,1378 Alvorada Avenue,75834.0,115,,272234298332
California,292,793 Cam Ranh Avenue,87057.0,116,,824370924746
