rental_duration,description,film_id,title,rental_rate,rating,length,original_language_id,replacement_cost,release_year,language
6,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,1,ACADEMY DINOSAUR,0.99,PG,86,,20.99,2006,English
7,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,3,ADAPTATION HOLES,2.99,NC-17,50,,18.99,2006,English
6,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,5,AFRICAN EGG,2.99,G,130,,22.99,2006,English
3,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,6,AGENT TRUMAN,2.99,PG,169,,17.99,2006,English
6,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,7,AIRPLANE SIERRA,4.99,PG-13,62,,28.99,2006,English
6,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,8,AIRPORT POLLOCK,4.99,R,54,,15.99,2006,English
3,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,9,ALABAMA DEVIL,2.99,PG-13,114,,21.99,2006,English
6,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,10,ALADDIN CALENDAR,4.99,NC-17,63,,24.99,2006,English
6,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,12,ALASKA PHANTOM,0.99,PG,136,,22.99,2006,English
6,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,14,ALICE FANTASIA,0.99,NC-17,94,,23.99,2006,English
5,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,15,ALIEN CENTER,2.99,NC-17,46,,10.99,2006,English
3,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,17,ALONE TRIP,0.99,R,82,,14.99,2006,English
6,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,18,ALTER VICTORY,0.99,PG-13,57,,27.99,2006,English
6,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,19,AMADEUS HOLY,0.99,PG,113,,20.99,2006,English
4,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,20,AMELIE HELLFIGHTERS,4.99,R,79,,23.99,2006,English
3,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,21,AMERICAN CIRCUS,4.99,R,129,,17.99,2006,English
3,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,23,ANACONDA CONFESSIONS,0.99,R,92,,9.99,2006,English
6,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,24,ANALYZE HOOSIERS,2.99,R,181,,19.99,2006,English
3,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,25,ANGELS LIFE,2.99,G,74,,15.99,2006,English
7,A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank,27,ANONYMOUS HUMAN,0.99,NC-17,179,,12.99,2006,English
5,A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India,29,ANTITRUST TOMATOES,2.99,NC-17,168,,11.99,2006,English
4,A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House,30,ANYTHING SAVANNAH,2.99,R,82,,27.99,2006,English
5,A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat,31,APACHE DIVINE,4.99,NC-17,92,,16.99,2006,English
5,A Action-Packed Reflection of a Crocodile And a Explorer who must Find a Sumo Wrestler in An Abandoned Mine Shaft,33,APOLLO TEEN,2.99,PG-13,153,,15.99,2006,English
6,A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria,34,ARABIA DOGMA,0.99,NC-17,62,,29.99,2006,English
4,A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station,35,ARACHNOPHOBIA ROLLERCOASTER,2.99,PG-13,147,,24.99,2006,English
7,A Emotional Epistle of a Forensic Psychologist And a Butler who must Challenge a Waitress in An Abandoned Mine Shaft,36,ARGONAUTS TOWN,0.99,PG-13,127,,12.99,2006,English
3,A Brilliant Panorama of a Mad Scientist And a Mad Cow who must Meet a Pioneer in A Monastery,37,ARIZONA BANG,2.99,PG,121,,28.99,2006,English
6,A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert,38,ARK RIDGEMONT,0.99,NC-17,68,,25.99,2006,English
5,A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft,39,ARMAGEDDON LOST,0.99,G,99,,10.99,2006,English
4,A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria,40,ARMY FLINTSTONES,0.99,R,148,,22.99,2006,English
4,A Fanciful Documentary of a Mad Cow And a Womanizer who must Find a Dentist in Berlin,41,ARSENIC INDEPENDENCE,0.99,PG,137,,17.99,2006,English
5,A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California,42,ARTIST COLDBLOODED,2.99,NC-17,170,,10.99,2006,English
