country,country_id
Afghanistan,1
Algeria,2
American Samoa,3
Angola,4
Anguilla,5
Argentina,6
Armenia,7
Australia,8
Austria,9
Azerbaijan,10
Bahrain,11
Bangladesh,12
Belarus,13
Bolivia,14
Brazil,15
Brunei,16
Bulgaria,17
Cambodia,18
Cameroon,19
Canada,20
Chad,21
Chile,22
China,23
Colombia,24
"Congo, The Democratic Republic of the",25
Czech Republic,26
Dominican Republic,27
Ecuador,28
Egypt,29
Estonia,30
Ethiopia,31
Faroe Islands,32
Finland,33
France,34
French Guiana,35
French Polynesia,36
Gambia,37
Germany,38
Greece,39
Greenland,40
Holy See (Vatican City State),41
Hong Kong,42
Hungary,43
India,44
Indonesia,45
Iran,46
Iraq,47
Israel,48
Italy,49
Japan,50
Kazakstan,51
Kenya,52
Kuwait,53
Latvia,54
Liechtenstein,55
Lithuania,56
Madagascar,57
Malawi,58
Malaysia,59
Mexico,60
Moldova,61
Morocco,62
Mozambique,63
Myanmar,64
Nauru,65
Nepal,66
Netherlands,67
New Zealand,68
Nigeria,69
North Korea,70
Oman,71
Pakistan,72
Paraguay,73
Peru,74
Philippines,75
Poland,76
Puerto Rico,77
Romania,78
Réunion,79
Russian Federation,80
Saint Vincent and the Grenadines,81
Saudi Arabia,82
Senegal,83
Slovakia,84
South Africa,85
South Korea,86
Spain,87
Sri Lanka,88
Sudan,89
Sweden,90
Switzerland,91
Taiwan,92
Tanzania,93
Thailand,94
Tonga,95
Tunisia,96
Turkey,97
Turkmenistan,98
Tuvalu,99
Ukraine,100
United Arab Emirates,101
United Kingdom,102
United States,103
Venezuela,104
Vietnam,105
"Virgin Islands, U.S.",106
Yemen,107
Yugoslavia,108
Zambia,109
