first_name,last_name,actor_id,film_id
SANDRA,PECK,30,286
GARY,PENN,73,467
DARYL,CRAWFORD,129,166
MAE,HOFFMAN,79,646
HENRY,BERRY,60,971
CHRISTIAN,AKROYD,58,306
GINA,DEGENERES,107,606
GRACE,MOSTEL,7,67
AUDREY,OLIVIER,34,43
SUSAN,DAVIS,101,928
BURT,DUKAKIS,36,956
KEVIN,BLOOM,25,871
FRED,COSTNER,16,758
LAURA,BRODY,159,248
WOODY,JOLIE,82,33
JAYNE,SILVERSTONE,195,658
BEN,WILLIS,83,135
MEG,HAWKE,97,312
SUSAN,DAVIS,101,568
RUSSELL,BACALL,112,188
WARREN,JACKMAN,119,394
ALAN,DREYFUSS,173,857
REESE,KILMER,45,680
LAURA,BRODY,159,344
FAY,WOOD,156,593
JAYNE,NEESON,62,211
GEOFFREY,HESTON,151,170
CAMERON,STREEP,24,256
JAYNE,NEESON,62,6
DEBBIE,AKROYD,182,324
ED,GUINESS,179,463
ELLEN,PRESLEY,93,856
GENE,HOPKINS,134,413
TOM,MCKELLEN,38,547
GRACE,MOSTEL,7,218
NICK,STALLONE,44,322
AUDREY,OLIVIER,34,389
FAY,WOOD,156,349
JON,CHASE,176,802
MINNIE,ZELLWEGER,85,14
KENNETH,PALTROW,69,396
LUCILLE,DEE,138,376
MILLA,KEITEL,74,836
IAN,TANDY,155,407
MARY,KEITEL,198,843
KIM,ALLEN,145,155
JIM,MOSTEL,99,636
NICK,STALLONE,44,699
KIM,ALLEN,145,494
ALEC,WAYNE,29,547
ELLEN,PRESLEY,93,473
BEN,WILLIS,83,247
GROUCHO,WILLIAMS,172,529
WARREN,JACKMAN,119,570
WHOOPI,HURT,140,112
BEN,WILLIS,83,249
CHRISTIAN,GABLE,10,477
DARYL,CRAWFORD,129,962
MARY,TANDY,66,871
KIRSTEN,AKROYD,92,889
JAYNE,SILVERSTONE,195,141
EWAN,GOODING,139,605
JOHNNY,LOLLOBRIGIDA,5,571
SPENCER,DEPP,100,944
UMA,WOOD,13,162
MILLA,KEITEL,74,44
ANGELA,WITHERSPOON,144,99
WARREN,JACKMAN,119,87
JOHNNY,CAGE,40,494
HELEN,VOIGHT,17,478
RENEE,TRACY,117,707
EWAN,GOODING,139,282
CARMEN,HUNT,52,388
LAURA,BRODY,159,127
PENELOPE,GUINESS,1,25
SPENCER,PECK,87,706
HUMPHREY,WILLIS,164,681
MARY,TANDY,66,697
JOHNNY,CAGE,40,396
CHARLIZE,DENCH,89,976
FAY,KILMER,55,27
TOM,MCKELLEN,38,335
NICK,WAHLBERG,2,47
JOHNNY,CAGE,40,933
GREG,CHAPLIN,86,249
VAL,BOLGER,37,204
RIP,CRAWFORD,26,635
RENEE,TRACY,117,15
TOM,MIRANDA,42,932
WALTER,TORN,102,123
EMILY,DEE,148,772
SALMA,NOLTE,122,29
ROCK,DUKAKIS,188,146
ANGELA,HUDSON,65,577
CATE,MCQUEEN,128,912
WHOOPI,HURT,140,370
GROUCHO,WILLIAMS,172,423
MINNIE,ZELLWEGER,85,290
CUBA,BIRCH,189,882
BOB,FAWCETT,19,182
ED,CHASE,3,685
ANNE,CRONYN,49,469
BOB,FAWCETT,19,673
KIRSTEN,AKROYD,92,338
PENELOPE,CRONYN,104,136
JODIE,DEGENERES,41,544
DAN,HARRIS,56,769
ANGELA,HUDSON,65,938
CHRISTIAN,NEESON,61,780
ANGELA,WITHERSPOON,144,125
MAE,HOFFMAN,79,40
RUSSELL,TEMPLE,149,761
JULIA,MCQUEEN,27,889
MERYL,ALLEN,194,9
SCARLETT,DAMON,81,579
AUDREY,BAILEY,190,959
MINNIE,ZELLWEGER,85,72
BURT,POSEY,75,870
ROCK,DUKAKIS,188,1
DAN,HARRIS,56,462
LAURENCE,BULLOCK,167,794
JANE,JACKMAN,131,515
MORGAN,WILLIAMS,137,564
VIVIEN,BASINGER,158,824
KARL,BERRY,12,92
MORGAN,MCDORMAND,114,961
CHARLIZE,DENCH,89,103
SUSAN,DAVIS,101,608
WARREN,NOLTE,108,733
ROCK,DUKAKIS,188,51
SCARLETT,BENING,124,785
TOM,MCKELLEN,38,705
MENA,TEMPLE,53,447
PARKER,GOLDBERG,46,829
RUSSELL,BACALL,112,865
HUMPHREY,GARLAND,184,492
GRETA,KEITEL,130,452
RENEE,TRACY,117,710
WARREN,JACKMAN,119,592
SEAN,GUINESS,90,858
CUBA,ALLEN,118,136
CUBA,BIRCH,189,628
WARREN,JACKMAN,119,782
BELA,WALKEN,196,303
BURT,DUKAKIS,36,590
CHRISTOPHER,WEST,163,45
KIRSTEN,AKROYD,92,470
GREGORY,GOODING,191,296
GENE,MCKELLEN,177,237
CHRISTIAN,NEESON,61,639
NICK,STALLONE,44,902
JULIANNE,DENCH,123,530
ZERO,CAGE,11,453
KENNETH,PALTROW,69,292
FRED,COSTNER,16,271
JENNIFER,DAVIS,4,355
MATTHEW,LEIGH,103,639
MENA,HOPPER,170,139
LIZA,BERGMAN,121,161
KIM,ALLEN,145,923
DUSTIN,TAUTOU,59,943
BOB,FAWCETT,19,510
JOE,SWANK,9,889
MILLA,PECK,33,306
MICHELLE,MCCONAUGHEY,70,953
WOODY,JOLIE,82,17
MARY,TANDY,66,676
GENE,HOPKINS,134,386
RICHARD,PENN,133,868
DEBBIE,AKROYD,182,301
KIRSTEN,AKROYD,92,436
RENEE,BALL,187,25
LUCILLE,DEE,138,879
HUMPHREY,GARLAND,184,597
NICK,WAHLBERG,2,958
GRETA,KEITEL,130,525
FAY,KILMER,55,827
KEVIN,GARLAND,127,366
GRETA,MALDEN,157,574
ANGELINA,ASTAIRE,76,781
GROUCHO,WILLIAMS,172,649
KIRSTEN,AKROYD,92,553
CHRIS,DEPP,160,455
KIRSTEN,AKROYD,92,929
WALTER,TORN,102,124
PENELOPE,MONROE,120,722
KARL,BERRY,12,540
BURT,DUKAKIS,36,875
ANGELINA,ASTAIRE,76,464
NICK,STALLONE,44,176
SISSY,SOBIESKI,31,146
MORGAN,WILLIAMS,137,56
RUSSELL,BACALL,112,700
BURT,DUKAKIS,36,231
PENELOPE,PINKETT,54,636
MATTHEW,JOHANSSON,8,115
WOODY,HOFFMAN,28,96
CHARLIZE,DENCH,89,266
RAY,JOHANSSON,64,646
RALPH,CRUZ,80,343
CHRISTIAN,GABLE,10,966
MILLA,PECK,33,489
