assays_ASSI,assays_CEI,assays_ASORG,assays_BFO,assays_ASCT,assays_SI,assays_AST,assays_CURAB,assays_ASTET,assays_CONSCO,assays_Des,assays_T,assays_RELTY,assays_SASSI,assays_CHEI,assays_TISI,assays_VARI
1,,,BAO_0000019,,1,B,Autocuration,,8,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,12052,H,,CHEMBL615117,,
2,,,BAO_0000219,,1,F,Autocuration,,0,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,22226,U,,CHEMBL615118,,
3,,,BAO_0000019,,1,B,Autocuration,,0,,22226,U,,CHEMBL615119,,
4,,Bos taurus,BAO_0000249,,1,B,Autocuration,,4,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,104729,H,,CHEMBL615120,,
5,163.0,Homo sapiens,BAO_0000219,143B,1,F,Intermediate,,1,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),80001,N,,CHEMBL615121,,
6,163.0,Homo sapiens,BAO_0000219,143B,1,F,Intermediate,,1,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),80001,N,,CHEMBL615122,,
7,163.0,Mus musculus,BAO_0000219,143B,1,F,Intermediate,,1,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,80001,N,,CHEMBL615123,,
8,163.0,Homo sapiens,BAO_0000219,143B,1,F,Expert,,1,In vitro cell cytotoxicity was determined against 143B cell line,80001,N,,CHEMBL615124,,
9,163.0,Homo sapiens,BAO_0000219,143B,1,F,Intermediate,,1,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,80001,N,,CHEMBL615125,,
10,163.0,Homo sapiens,BAO_0000219,143B,1,F,Intermediate,,1,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,80001,N,,CHEMBL615126,,
11,163.0,Homo sapiens,BAO_0000219,143B,1,F,Intermediate,,1,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,80001,N,,CHEMBL615127,,
12,163.0,Homo sapiens,BAO_0000219,143B,1,F,Expert,,1,In vitro cell cytotoxicity was determined against 143B-LTK cell line,80001,N,,CHEMBL615128,,
13,,Staphylococcus aureus,BAO_0000218,,1,F,Intermediate,,1,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",50185,N,,CHEMBL857900,,
14,,Staphylococcus aureus,BAO_0000218,,1,F,Intermediate,,1,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",50185,N,,CHEMBL615129,,
15,,Staphylococcus aureus,BAO_0000218,,1,F,Intermediate,,1,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",50185,N,,CHEMBL615130,,
16,,Staphylococcus aureus,BAO_0000218,,1,F,Intermediate,,1,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",50185,N,,CHEMBL615131,,
17,,Rattus norvegicus,BAO_0000357,,1,A,Expert,,9,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,100122,D,,CHEMBL884521,,
18,,,BAO_0000357,,1,B,Autocuration,,8,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),12054,H,,CHEMBL615132,,
