assays_ss_d,assays_tss_d,assays_src_d,assays_ss_tss,assays_dc_d,assays_ss_sbclllr_frctn,assays_td,assays_rltnshp_tp,assays_cnfdnc_scr,assays_crtd_b,assays_src_ss_d,assays_chmbl_d,assays_cll_d,assays_b_frmt,assays_vrnt_d
7524,2113.0,1,Kidney,9866,,50597,N,1,Intermediate,,CHEMBL618647,,BAO_0000218,
7525,2113.0,1,Kidney,9866,,50597,N,1,Intermediate,,CHEMBL618648,,BAO_0000218,
7526,2113.0,1,Kidney,9866,,50597,N,1,Intermediate,,CHEMBL618649,,BAO_0000218,
7527,2107.0,1,Liver,9866,,50597,N,1,Intermediate,,CHEMBL618650,,BAO_0000218,
7528,2107.0,1,Liver,9866,,50597,N,1,Intermediate,,CHEMBL618651,,BAO_0000218,
7529,2107.0,1,Liver,9866,,50597,N,1,Intermediate,,CHEMBL876497,,BAO_0000218,
7530,2048.0,1,Lung,9866,,50597,N,1,Intermediate,,CHEMBL618652,,BAO_0000218,
7531,2048.0,1,Lung,9866,,50597,N,1,Intermediate,,CHEMBL618653,,BAO_0000218,
7532,2048.0,1,Lung,9866,,50597,N,1,Intermediate,,CHEMBL618654,,BAO_0000218,
7533,,1,,6351,,50597,N,1,Intermediate,,CHEMBL618655,,BAO_0000218,
7534,,1,,1465,,50597,N,1,Intermediate,,CHEMBL618656,,BAO_0000218,
7535,,1,,5182,,22229,U,0,Intermediate,,CHEMBL618657,,BAO_0000100,
7536,,1,,17847,,50597,N,1,Intermediate,,CHEMBL618658,,BAO_0000218,
7537,,1,,15339,,50597,N,1,Intermediate,,CHEMBL618659,,BAO_0000218,
7538,,1,,5202,,50597,N,1,Intermediate,,CHEMBL618660,,BAO_0000218,
7539,,1,,1088,,50597,N,1,Intermediate,,CHEMBL618661,,BAO_0000218,
7540,,1,,3169,,50597,N,1,Intermediate,,CHEMBL873807,,BAO_0000218,
7541,,1,,5353,,50597,N,1,Intermediate,,CHEMBL618662,,BAO_0000218,
7542,,1,,2864,,50597,N,1,Intermediate,,CHEMBL618663,,BAO_0000218,
7543,,1,,2864,,50597,N,1,Intermediate,,CHEMBL618664,,BAO_0000218,
7544,,1,,2864,,50597,N,1,Intermediate,,CHEMBL618665,,BAO_0000218,
7545,,1,,6362,,50597,N,1,Intermediate,,CHEMBL876498,,BAO_0000218,
7546,,1,,6249,,50597,N,1,Intermediate,,CHEMBL618666,,BAO_0000218,
7547,,1,,3169,,50597,N,1,Intermediate,,CHEMBL620440,,BAO_0000218,
7548,,1,,3169,,50597,N,1,Intermediate,,CHEMBL620441,,BAO_0000218,
7549,,1,,3169,,50597,N,1,Intermediate,,CHEMBL620442,,BAO_0000218,
7550,,1,,17260,,50597,N,1,Intermediate,,CHEMBL620443,,BAO_0000218,
7551,,1,,17260,,50597,N,1,Intermediate,,CHEMBL620444,,BAO_0000218,
7552,,1,,17260,,50597,N,1,Intermediate,,CHEMBL620445,,BAO_0000218,
7553,,1,,17260,,50597,N,1,Intermediate,,CHEMBL620446,,BAO_0000218,
7554,1969.0,1,Plasma,2879,,50597,N,1,Intermediate,,CHEMBL620447,,BAO_0000218,
7555,1969.0,1,Plasma,2879,,50597,N,1,Intermediate,,CHEMBL621129,,BAO_0000218,
7556,1969.0,1,Plasma,2879,,50597,N,1,Intermediate,,CHEMBL621130,,BAO_0000218,
7557,,1,,3184,,50597,N,1,Intermediate,,CHEMBL873808,,BAO_0000218,
7558,,1,,4891,,50597,N,1,Intermediate,,CHEMBL876598,,BAO_0000218,
7559,,1,,429,,50597,N,1,Intermediate,,CHEMBL621131,,BAO_0000218,
7560,,1,,5656,,50597,N,1,Intermediate,,CHEMBL621132,,BAO_0000218,
7561,,1,,4413,,50597,N,1,Intermediate,,CHEMBL621133,,BAO_0000218,
7562,,1,,3598,,50597,N,1,Expert,,CHEMBL621312,,BAO_0000218,
7563,,1,,17267,,50597,N,1,Intermediate,,CHEMBL621313,,BAO_0000218,
7564,178.0,1,Blood,4727,,50597,N,1,Intermediate,,CHEMBL621314,,BAO_0000218,
7565,,1,,17651,,50597,N,1,Intermediate,,CHEMBL621315,,BAO_0000218,
7566,,1,,17651,,50597,N,1,Intermediate,,CHEMBL621316,,BAO_0000218,
7567,,1,,401,,50597,N,1,Intermediate,,CHEMBL621317,,BAO_0000218,
7568,,1,,4942,,50597,N,1,Intermediate,,CHEMBL621318,,BAO_0000218,
7569,,1,,17735,,50597,N,1,Intermediate,,CHEMBL621319,,BAO_0000218,
7570,,1,,6056,,50597,N,1,Intermediate,,CHEMBL621377,,BAO_0000218,
7571,,1,,5213,,50597,N,1,Intermediate,,CHEMBL621378,,BAO_0000218,
7572,,1,,6616,,50597,N,1,Intermediate,,CHEMBL876599,,BAO_0000218,
7573,,1,,5937,,50597,N,1,Intermediate,,CHEMBL621379,,BAO_0000218,
7574,1969.0,1,Plasma,5819,,50597,N,1,Intermediate,,CHEMBL621380,,BAO_0000218,
7575,1969.0,1,Plasma,5819,,50597,N,1,Intermediate,,CHEMBL621381,,BAO_0000218,
7576,,1,,6803,,50597,N,1,Intermediate,,CHEMBL618515,,BAO_0000218,
7577,,1,,17804,,50597,N,1,Intermediate,,CHEMBL618516,,BAO_0000218,
7578,,1,,17804,,50597,N,1,Intermediate,,CHEMBL618517,,BAO_0000218,
7579,,1,,5948,,50597,N,1,Intermediate,,CHEMBL618518,,BAO_0000218,
7580,,1,,1916,,50597,N,1,Intermediate,,CHEMBL618519,,BAO_0000218,
7581,,1,,1916,,50597,N,1,Intermediate,,CHEMBL618698,,BAO_0000218,
7582,,1,,1916,,50597,N,1,Intermediate,,CHEMBL618862,,BAO_0000218,
7583,,1,,4890,,50597,N,1,Intermediate,,CHEMBL618863,,BAO_0000218,
7584,,1,,17764,,50597,N,1,Intermediate,,CHEMBL618864,,BAO_0000218,
7585,,1,,4727,,50597,N,1,Intermediate,,CHEMBL618865,,BAO_0000218,
7586,,1,,17509,,50597,N,1,Intermediate,,CHEMBL618866,,BAO_0000218,
7587,,1,,17509,,50597,N,1,Intermediate,,CHEMBL618867,,BAO_0000218,
7588,,1,,6597,,50597,N,1,Intermediate,,CHEMBL875828,,BAO_0000218,
7589,,1,,17735,,50597,N,1,Intermediate,,CHEMBL618868,,BAO_0000218,
7590,,1,,6597,,50597,N,1,Intermediate,,CHEMBL618869,,BAO_0000218,
7591,,1,,17670,,50597,N,1,Intermediate,,CHEMBL618870,,BAO_0000218,
7592,1969.0,1,Plasma,1696,,50597,N,1,Intermediate,,CHEMBL618871,,BAO_0000218,
7593,1969.0,1,Plasma,1742,,50597,N,1,Intermediate,,CHEMBL618872,,BAO_0000218,
7594,,1,,17800,,50597,N,1,Intermediate,,CHEMBL873816,,BAO_0000218,
7595,,1,,12923,,22224,U,0,Autocuration,,CHEMBL618873,,BAO_0000218,
7596,,1,,11954,,22224,U,0,Autocuration,,CHEMBL621602,,BAO_0000019,
7597,,1,,11954,,22224,U,0,Autocuration,,CHEMBL621603,,BAO_0000218,
7598,,1,,11954,,22224,U,0,Autocuration,,CHEMBL621604,,BAO_0000218,
7599,,1,,11954,,22224,U,0,Autocuration,,CHEMBL621605,,BAO_0000218,
7600,,1,,11954,,22224,U,0,Autocuration,,CHEMBL621606,,BAO_0000218,
7601,,1,,11954,,22224,U,0,Autocuration,,CHEMBL621607,,BAO_0000218,
7602,,1,,11954,,22224,U,0,Autocuration,,CHEMBL621608,,BAO_0000218,
7603,,1,,5237,,22224,U,0,Autocuration,,CHEMBL621609,,BAO_0000019,
7604,,1,,4026,,22224,U,0,Autocuration,,CHEMBL621610,,BAO_0000218,
7605,,1,,5237,,50597,N,1,Intermediate,,CHEMBL621611,,BAO_0000218,
7606,,1,,14793,,50597,N,1,Intermediate,,CHEMBL621612,,BAO_0000218,
7607,,1,,14793,,50597,N,1,Intermediate,,CHEMBL622308,,BAO_0000218,
7608,,1,,14793,,50597,N,1,Intermediate,,CHEMBL622309,,BAO_0000218,
7609,,1,,14793,,50597,N,1,Intermediate,,CHEMBL622310,,BAO_0000218,
7610,,1,,14793,,50597,N,1,Intermediate,,CHEMBL622311,,BAO_0000218,
7611,,1,,14793,,50597,N,1,Intermediate,,CHEMBL622312,,BAO_0000218,
7612,,1,,14793,,50597,N,1,Intermediate,,CHEMBL622931,,BAO_0000218,
7613,,1,,14793,,50597,N,1,Intermediate,,CHEMBL622932,,BAO_0000218,
7614,1969.0,1,Plasma,14793,,50597,N,1,Intermediate,,CHEMBL622736,,BAO_0000218,
7615,1969.0,1,Plasma,14793,,50597,N,1,Intermediate,,CHEMBL622737,,BAO_0000218,
7616,1969.0,1,Plasma,14793,,50597,N,1,Intermediate,,CHEMBL622738,,BAO_0000218,
7617,1969.0,1,Plasma,14793,,50597,N,1,Intermediate,,CHEMBL622739,,BAO_0000218,
7618,1969.0,1,Plasma,14793,,50597,N,1,Intermediate,,CHEMBL622740,,BAO_0000218,
7619,1969.0,1,Plasma,14793,,50597,N,1,Intermediate,,CHEMBL622741,,BAO_0000218,
7620,1969.0,1,Plasma,14793,,50597,N,1,Intermediate,,CHEMBL622742,,BAO_0000218,
7621,1969.0,1,Plasma,14793,,50597,N,1,Intermediate,,CHEMBL622743,,BAO_0000218,
7622,1969.0,1,Plasma,11637,,50594,N,1,Intermediate,,CHEMBL622744,,BAO_0000218,
7623,,1,,11149,,22224,U,0,Autocuration,,CHEMBL624134,,BAO_0000019,
7624,,1,,10016,,22224,U,0,Autocuration,,CHEMBL624135,,BAO_0000019,
7625,,1,,17796,,50597,N,1,Intermediate,,CHEMBL624136,,BAO_0000218,
7626,,1,,17796,,50597,N,1,Intermediate,,CHEMBL624137,,BAO_0000218,
7627,,1,,17796,,50597,N,1,Intermediate,,CHEMBL624320,,BAO_0000218,
7628,,1,,12923,,50588,N,1,Intermediate,,CHEMBL624321,,BAO_0000218,
7629,,1,,15372,,50597,N,1,Intermediate,,CHEMBL624322,,BAO_0000218,
7630,,1,,15372,,50597,N,1,Intermediate,,CHEMBL624323,,BAO_0000218,
7631,,1,,15372,,50597,N,1,Intermediate,,CHEMBL624324,,BAO_0000218,
7632,,1,,15372,,50597,N,1,Intermediate,,CHEMBL624325,,BAO_0000218,
7633,,1,,15372,,50597,N,1,Intermediate,,CHEMBL624326,,BAO_0000218,
