assay_tissue,bao_format,assay_id,relationship_type,description,curated_by,cell_id,tid,variant_id,doc_id,tissue_id,assay_tax_id,assay_organism,assay_category,chembl_id,assay_cell_type,src_assay_id,assay_test_type,assay_subcellular_fraction,assay_type,src_id,confidence_score,assay_strain
,BAO_0000019,1,H,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,Autocuration,,12052,,11087,,,,,CHEMBL615117,,,,,B,1,8,
,BAO_0000219,2,U,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,Autocuration,,22226,,684,,,,,CHEMBL615118,,,,,F,1,0,
,BAO_0000019,3,U,,Autocuration,,22226,,15453,,,,,CHEMBL615119,,,,,B,1,0,
,BAO_0000249,4,H,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,Autocuration,,104729,,17841,,9913.0,Bos taurus,,CHEMBL615120,,,,,B,1,4,
,BAO_0000219,5,N,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),Intermediate,163.0,80001,,17430,,9606.0,Homo sapiens,,CHEMBL615121,143B,,,,F,1,1,
,BAO_0000219,6,N,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),Intermediate,163.0,80001,,17430,,9606.0,Homo sapiens,,CHEMBL615122,143B,,,,F,1,1,
,BAO_0000219,7,N,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,Intermediate,163.0,80001,,13799,,10090.0,Mus musculus,,CHEMBL615123,143B,,,,F,1,1,
,BAO_0000219,8,N,In vitro cell cytotoxicity was determined against 143B cell line,Expert,163.0,80001,,17774,,9606.0,Homo sapiens,,CHEMBL615124,143B,,,,F,1,1,
,BAO_0000219,9,N,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,Intermediate,163.0,80001,,3801,,9606.0,Homo sapiens,,CHEMBL615125,143B,,,,F,1,1,
,BAO_0000219,10,N,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,Intermediate,163.0,80001,,17430,,9606.0,Homo sapiens,,CHEMBL615126,143B,,,,F,1,1,
,BAO_0000219,11,N,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,Intermediate,163.0,80001,,17430,,9606.0,Homo sapiens,,CHEMBL615127,143B,,,,F,1,1,
,BAO_0000219,12,N,In vitro cell cytotoxicity was determined against 143B-LTK cell line,Expert,163.0,80001,,17774,,9606.0,Homo sapiens,,CHEMBL615128,143B,,,,F,1,1,
,BAO_0000218,13,N,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",Intermediate,,50185,,11324,,1280.0,Staphylococcus aureus,,CHEMBL857900,,,,,F,1,1,
,BAO_0000218,14,N,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",Intermediate,,50185,,11324,,1280.0,Staphylococcus aureus,,CHEMBL615129,,,,,F,1,1,
,BAO_0000218,15,N,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",Intermediate,,50185,,11324,,1280.0,Staphylococcus aureus,,CHEMBL615130,,,,,F,1,1,
,BAO_0000218,16,N,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",Intermediate,,50185,,11324,,1280.0,Staphylococcus aureus,,CHEMBL615131,,,,,F,1,1,
,BAO_0000357,17,D,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,Expert,,100122,,11347,,10116.0,Rattus norvegicus,,CHEMBL884521,,,,,A,1,9,
,BAO_0000357,18,H,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),Autocuration,,12054,,16474,,,,,CHEMBL615132,,,,,B,1,8,
,BAO_0000019,19,H,Inhibition of partially purified 15-lipoxygenase from human leukocytes,Autocuration,,12054,,10091,,,,,CHEMBL615133,,,,,B,1,8,
,BAO_0000357,20,H,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),Autocuration,,12054,,16474,,,,,CHEMBL615134,,,,,B,1,8,
,BAO_0000357,21,H,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),Autocuration,,12054,,16474,,,,,CHEMBL615135,,,,,B,1,8,
,BAO_0000357,22,H,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),Autocuration,,12054,,16474,,,,,CHEMBL615136,,,,,B,1,8,
,BAO_0000357,23,H,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,Autocuration,,12054,,16474,,,,,CHEMBL615137,,,,,B,1,8,
,BAO_0000357,24,H,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,Autocuration,,12054,,16474,,,,,CHEMBL615138,,,,,B,1,8,
,BAO_0000219,25,U,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",Autocuration,,22226,,14352,,,,,CHEMBL836324,,,,,B,1,0,
,BAO_0000357,26,H,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,Autocuration,,12054,,5646,,9986.0,Oryctolagus cuniculus,,CHEMBL615139,,,,,B,1,8,
,BAO_0000357,27,H,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),Autocuration,,12054,,5646,,9986.0,Oryctolagus cuniculus,,CHEMBL615140,,,,,B,1,8,
,BAO_0000219,28,H,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,Autocuration,,12426,,10997,,,,,CHEMBL615141,,,,,B,1,8,
,BAO_0000357,29,H,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,Autocuration,,12054,,6309,,3847.0,soya bean,,CHEMBL615142,,,,,B,1,8,
,BAO_0000357,30,H,Inhibitory activity against soybean 15-lipoxygenase was evaluated,Autocuration,,12054,,167,,3847.0,Glycine max,,CHEMBL615143,,,,,B,1,8,
,BAO_0000357,31,H,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,Autocuration,,12054,,167,,3847.0,Glycine max,,CHEMBL615144,,,,,B,1,8,
,BAO_0000357,32,H,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,Autocuration,,12054,,11087,,3847.0,Glycine max,,CHEMBL872867,,,,,B,1,8,
