film_id,nome_categoria,categoria_id
830,Horror,11
528,Family,8
801,Children,3
589,Documentary,6
521,Drama,7
577,Sports,15
175,Family,8
228,Classics,4
244,Music,12
648,Travel,16
59,Children,3
706,Drama,7
204,Drama,7
903,Travel,16
555,Comedy,5
945,Documentary,6
802,Action,1
575,Documentary,6
610,Family,8
540,Music,12
560,Games,10
658,Horror,11
769,Foreign,9
897,Drama,7
456,Animation,2
41,Travel,16
576,Documentary,6
63,Family,8
756,Comedy,5
814,Comedy,5
458,Family,8
747,Games,10
507,Games,10
309,Family,8
715,Family,8
693,Animation,2
529,Comedy,5
961,Foreign,9
743,Animation,2
595,Foreign,9
651,Animation,2
474,Sports,15
664,Action,1
491,Children,3
671,Sports,15
216,New,13
465,New,13
593,Horror,11
198,Foreign,9
227,Games,10
194,Action,1
702,Horror,11
700,Family,8
979,Drama,7
746,Games,10
344,Children,3
636,Music,12
644,Animation,2
277,Horror,11
241,Animation,2
670,Documentary,6
410,Comedy,5
169,Travel,16
902,Sports,15
776,Documentary,6
1000,Comedy,5
379,Drama,7
433,Animation,2
900,Foreign,9
863,Sci-Fi,14
821,Foreign,9
217,Games,10
788,Documentary,6
933,New,13
785,Travel,16
770,Foreign,9
35,Horror,11
569,Animation,2
638,Comedy,5
727,Family,8
336,Documentary,6
402,Animation,2
655,Sci-Fi,14
751,New,13
89,Animation,2
498,Family,8
57,Travel,16
494,Horror,11
293,Sports,15
115,Action,1
877,Music,12
360,Action,1
374,Sci-Fi,14
894,Travel,16
124,Children,3
139,Family,8
415,Horror,11
272,Drama,7
450,Children,3
652,Classics,4
859,Animation,2
841,Sports,15
56,Action,1
386,Travel,16
341,Classics,4
586,Action,1
235,Sci-Fi,14
777,Sports,15
316,Games,10
484,Classics,4
27,Sports,15
909,Horror,11
862,Classics,4
267,New,13
460,Foreign,9
151,Sci-Fi,14
847,New,13
539,Drama,7
606,Sports,15
820,Animation,2
459,Foreign,9
696,Animation,2
137,Sci-Fi,14
618,Drama,7
893,Sci-Fi,14
247,Comedy,5
594,Action,1
481,New,13
926,Documentary,6
383,Sports,15
219,Documentary,6
243,Animation,2
613,Comedy,5
147,Family,8
20,Music,12
603,Family,8
660,Comedy,5
71,Family,8
326,Animation,2
656,Travel,16
975,Family,8
487,Classics,4
723,Sci-Fi,14
957,Foreign,9
37,Classics,4
624,Games,10
892,Animation,2
192,Foreign,9
628,Sports,15
489,Animation,2
686,New,13
761,Children,3
915,Action,1
510,Animation,2
372,Sports,15
478,Comedy,5
345,Family,8
285,Sci-Fi,14
852,Children,3
8,Horror,11
549,Action,1
684,Games,10
337,Foreign,9
369,Sci-Fi,14
853,Children,3
506,Horror,11
111,Action,1
26,Sci-Fi,14
582,Animation,2
324,Comedy,5
332,Comedy,5
993,Children,3
969,Drama,7
878,Travel,16
768,Children,3
43,Family,8
73,Sci-Fi,14
813,Sports,15
825,Action,1
343,Children,3
363,Music,12
245,Animation,2
159,Comedy,5
490,New,13
499,Family,8
760,New,13
829,Family,8
417,Action,1
22,New,13
4,Horror,11
438,Games,10
83,Family,8
451,Travel,16
354,Children,3
805,Animation,2
154,Animation,2
726,Foreign,9
806,New,13
86,Music,12
730,New,13
312,Sci-Fi,14
112,Foreign,9
883,Children,3
291,Sports,15
141,Games,10
271,Action,1
390,Sci-Fi,14
889,Children,3
359,Family,8
854,Horror,11
816,Animation,2
349,Animation,2
195,Sci-Fi,14
310,Games,10
574,Action,1
333,Music,12
150,Documentary,6
437,Family,8
401,Drama,7
472,Travel,16
874,Classics,4
163,New,13
888,Documentary,6
981,Travel,16
932,Comedy,5
6,Foreign,9
486,Foreign,9
248,Documentary,6
556,Games,10
522,Comedy,5
100,Foreign,9
929,Foreign,9
694,Classics,4
667,Sports,15
775,Drama,7
107,Drama,7
752,Music,12
557,Family,8
864,Children,3
948,New,13
836,Sports,15
254,Sports,15
480,Classics,4
231,Family,8
120,Sports,15
583,Animation,2
82,Family,8
551,New,13
544,Documentary,6
50,Family,8
