film_id,durata,durata_noleggio,tariffa_noleggio,voto,data_rilascio,descrizione,costo_sostituzione,lingua_originale_id,titolo,lingua
1,86,6,0.99,PG,2006,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,20.99,,ACADEMY DINOSAUR,English
2,48,3,4.99,G,2006,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,12.99,,ACE GOLDFINGER,English
3,50,7,2.99,NC-17,2006,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,18.99,,ADAPTATION HOLES,English
4,117,5,2.99,G,2006,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,26.99,,AFFAIR PREJUDICE,English
5,130,6,2.99,G,2006,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,22.99,,AFRICAN EGG,English
6,169,3,2.99,PG,2006,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,17.99,,AGENT TRUMAN,English
7,62,6,4.99,PG-13,2006,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,28.99,,AIRPLANE SIERRA,English
8,54,6,4.99,R,2006,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,15.99,,AIRPORT POLLOCK,English
9,114,3,2.99,PG-13,2006,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,21.99,,ALABAMA DEVIL,English
10,63,6,4.99,NC-17,2006,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,24.99,,ALADDIN CALENDAR,English
11,126,6,0.99,G,2006,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,16.99,,ALAMO VIDEOTAPE,English
12,136,6,0.99,PG,2006,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,22.99,,ALASKA PHANTOM,English
13,150,4,4.99,PG,2006,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,21.99,,ALI FOREVER,English
14,94,6,0.99,NC-17,2006,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,23.99,,ALICE FANTASIA,English
15,46,5,2.99,NC-17,2006,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,10.99,,ALIEN CENTER,English
16,180,6,2.99,NC-17,2006,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,23.99,,ALLEY EVOLUTION,English
