pagamento_id,cliente_id,ppersonale_id,ammontare,data_pagamento,noleggio_id,data_noleggio,inventario_id,data_restituzione,npersonale_id
4075,149,1,6.99,2005-07-28 14:39:05,7989,2005-07-28 14:39:05,3196,2005-08-05 13:58:05,2
12212,452,2,2.99,2005-07-27 00:07:51,6959,2005-07-27 00:07:51,1618,2005-07-27 20:45:51,2
253,9,1,4.99,2006-02-14 15:16:03,15813,2006-02-14 15:16:03,981,,1
13091,485,2,3.99,2005-07-07 08:17:06,4137,2005-07-07 08:17:06,2065,2005-07-11 10:52:06,2
3285,122,1,0.99,2005-06-18 05:11:43,2253,2005-06-18 05:11:43,3719,2005-06-25 03:30:43,2
2375,87,2,8.99,2005-07-30 18:44:44,9364,2005-07-30 18:44:44,306,2005-08-08 23:55:44,2
14093,523,1,4.99,2005-08-17 12:44:27,11827,2005-08-17 12:44:27,3064,2005-08-24 13:31:27,1
7186,266,1,4.99,2005-06-20 13:38:41,3059,2005-06-20 13:38:41,2911,2005-06-21 10:13:41,2
12474,462,2,3.99,2005-07-08 12:59:01,4728,2005-07-08 12:59:01,3687,2005-07-13 13:00:01,1
10598,391,1,5.99,2005-07-07 10:45:29,4188,2005-07-07 10:45:29,3243,2005-07-16 09:39:29,1
14665,546,1,5.99,2005-06-18 13:19:05,2361,2005-06-18 13:19:05,3547,2005-06-23 07:59:05,1
14788,551,1,1.99,2005-07-09 10:52:53,5201,2005-07-09 10:52:53,2453,2005-07-16 12:41:53,2
11306,418,2,10.99,2005-07-30 00:36:31,8886,2005-07-30 00:36:31,1469,2005-08-08 06:18:31,1
13114,486,1,8.99,2005-05-30 10:43:38,909,2005-05-30 10:43:38,3775,2005-06-08 12:07:38,1
8399,309,1,2.99,2005-07-29 16:12:01,8681,2005-07-29 16:12:01,4004,2005-08-01 18:14:01,2
12776,472,2,5.99,2005-08-22 15:52:50,15185,2005-08-22 15:52:50,2948,2005-08-31 20:38:50,1
3184,118,2,5.99,2005-08-21 10:23:10,14394,2005-08-21 10:23:10,4555,2005-08-28 09:33:10,1
6005,222,2,0.99,2005-05-27 15:02:10,416,2005-05-27 15:02:10,2371,2005-05-29 10:34:10,2
7981,295,1,2.99,2005-06-15 11:23:27,1328,2005-06-15 11:23:27,3665,2005-06-19 12:42:27,2
5010,184,1,0.99,2005-07-30 11:21:56,9162,2005-07-30 11:21:56,4198,2005-08-02 15:32:56,1
14106,524,1,6.99,2005-07-11 14:32:41,6240,2005-07-11 14:32:41,640,2005-07-20 18:38:41,1
11677,433,2,4.99,2005-07-28 11:32:00,7907,2005-07-28 11:32:00,3252,2005-07-30 15:27:00,1
9818,363,2,4.99,2005-07-12 20:37:13,6878,2005-07-12 20:37:13,2428,2005-07-19 20:13:13,2
12078,447,1,2.99,2005-08-19 10:03:30,13072,2005-08-19 10:03:30,2313,2005-08-22 14:27:30,2
8827,327,1,4.99,2005-06-15 09:09:27,1294,2005-06-15 09:09:27,339,2005-06-19 04:43:27,1
16022,598,2,0.99,2005-07-29 07:21:20,8436,2005-07-29 07:21:20,2702,2005-07-31 12:56:20,2
1686,62,2,0.99,2005-05-30 06:54:28,885,2005-05-30 06:54:28,646,2005-06-03 07:03:28,2
15812,590,1,4.99,2005-08-01 16:38:44,10657,2005-08-01 16:38:44,3075,2005-08-06 16:05:44,2
5830,214,2,2.99,2005-08-23 08:03:25,15639,2005-08-23 08:03:25,42,2005-08-24 10:21:25,2
8137,300,1,3.99,2005-05-29 14:18:32,780,2005-05-29 14:18:32,1919,2005-06-06 20:14:32,1
3070,114,1,2.99,2005-07-10 05:44:02,5625,2005-07-10 05:44:02,1751,2005-07-12 00:03:02,2
1490,54,1,4.99,2005-06-19 09:57:56,2647,2005-06-19 09:57:56,1954,2005-06-22 15:55:56,1
7412,274,2,2.99,2005-07-08 06:09:09,4582,2005-07-08 06:09:09,688,2005-07-14 02:23:09,1
10407,384,2,4.99,2005-07-10 14:43:52,5797,2005-07-10 14:43:52,1880,2005-07-13 16:12:52,2
7892,291,1,5.99,2005-08-20 08:19:20,13665,2005-08-20 08:19:20,117,2005-08-28 06:26:20,1
5164,190,2,6.99,2005-08-02 09:58:28,11158,2005-08-02 09:58:28,530,2005-08-10 13:54:28,2
11555,427,1,3.99,2005-08-21 06:53:59,14287,2005-08-21 06:53:59,2426,2005-08-25 03:10:59,2
5141,189,2,0.99,2005-07-30 19:26:21,9386,2005-07-30 19:26:21,1123,2005-08-05 21:00:21,2
7721,285,1,9.99,2005-07-28 05:46:28,7745,2005-07-28 05:46:28,1014,2005-08-06 07:44:28,2
11110,410,1,6.99,2005-08-17 06:57:30,11694,2005-08-17 06:57:30,3540,2005-08-24 07:52:30,1
10699,395,1,6.99,2005-06-21 14:37:55,3389,2005-06-21 14:37:55,727,2005-06-28 18:13:55,1
4973,182,1,1.99,2005-08-22 09:49:32,15043,2005-08-22 09:49:32,3797,2005-08-28 13:50:32,1
7485,276,2,2.99,2005-08-02 07:36:44,11085,2005-08-02 07:36:44,3207,2005-08-04 03:32:44,1
14764,550,1,0.99,2005-07-31 09:17:56,9748,2005-07-31 09:17:56,3308,2005-08-02 14:54:56,1
7174,265,1,1.99,2005-08-18 02:24:07,12207,2005-08-18 02:24:07,3745,2005-08-22 07:53:07,1
8391,309,2,8.99,2005-07-09 15:55:36,5305,2005-07-09 15:55:36,625,2005-07-18 15:59:36,1
1572,57,1,4.99,2005-07-06 11:16:43,3727,2005-07-06 11:16:43,2886,2005-07-07 15:39:43,1
177,7,1,4.99,2005-05-30 21:07:15,975,2005-05-30 21:07:15,3109,2005-06-03 01:48:15,2
13758,511,1,3.99,2005-05-29 21:00:32,819,2005-05-29 21:00:32,623,2005-06-02 15:15:32,2
11673,433,1,5.99,2005-07-12 15:30:47,6765,2005-07-12 15:30:47,2571,2005-07-19 14:19:47,2
11960,443,1,4.99,2005-08-02 20:44:43,11449,2005-08-02 20:44:43,3279,2005-08-07 23:47:43,2
4322,158,1,5.99,2005-08-23 14:12:22,15796,2005-08-23 14:12:22,1425,2005-08-28 17:03:22,2
12545,465,1,8.99,2005-06-17 23:37:29,2159,2005-06-17 23:37:29,3095,2005-06-25 00:18:29,2
8831,327,2,5.99,2005-06-18 08:30:15,2304,2005-06-18 08:30:15,3543,2005-06-23 06:17:15,1
5909,218,2,0.99,2005-07-10 11:50:04,5737,2005-07-10 11:50:04,1118,2005-07-13 10:37:04,1
3823,141,1,0.99,2005-08-19 07:36:42,13000,2005-08-19 07:36:42,2341,2005-08-22 08:50:42,1
5096,187,1,7.99,2005-08-18 14:04:41,12534,2005-08-18 14:04:41,995,2005-08-25 16:57:41,1
15234,569,2,3.99,2005-05-31 05:22:25,1037,2005-05-31 05:22:25,810,2005-06-09 04:52:25,1
12026,446,1,0.99,2005-05-26 11:53:49,236,2005-05-26 11:53:49,1265,2005-05-28 13:55:49,1
8455,312,2,4.99,2005-05-26 11:19:20,229,2005-05-26 11:19:20,1131,2005-05-31 11:56:20,2
9321,345,2,4.99,2005-07-07 23:20:05,4450,2005-07-07 23:20:05,1252,2005-07-13 19:50:05,2
5679,209,1,0.99,2005-07-31 15:00:15,9923,2005-07-31 15:00:15,1635,2005-08-05 11:09:15,2
8896,329,1,6.99,2005-07-31 11:56:55,9827,2005-07-31 11:56:55,3840,2005-08-09 16:29:55,1
2708,100,1,0.99,2005-08-18 19:02:16,12657,2005-08-18 19:02:16,3621,2005-08-21 14:59:16,1
10237,378,2,1.99,2005-07-11 14:10:47,6233,2005-07-11 14:10:47,3731,2005-07-15 15:13:47,2
1252,45,2,4.99,2005-08-19 22:05:19,13394,2005-08-19 22:05:19,2597,2005-08-21 23:53:19,1
14594,542,2,9.99,2005-08-22 07:20:55,14982,2005-08-22 07:20:55,2333,2005-08-31 04:35:55,2
14090,523,1,2.99,2005-07-30 07:40:58,9071,2005-07-30 07:40:58,3151,2005-08-01 06:59:58,2
10601,391,2,7.99,2005-07-10 04:08:48,5583,2005-07-10 04:08:48,1242,2005-07-19 07:59:48,1
7488,276,2,5.99,2005-08-18 01:17:32,12178,2005-08-18 01:17:32,1152,2005-08-25 19:32:32,1
8030,296,1,5.99,2005-07-11 22:34:49,6398,2005-07-11 22:34:49,1409,2005-07-17 17:58:49,2
2046,75,2,4.99,2005-07-30 23:59:21,9501,2005-07-30 23:59:21,4398,2005-08-05 19:50:21,2
9463,350,1,4.99,2005-05-25 02:53:02,24,2005-05-25 02:53:02,3273,2005-05-27 01:15:02,1
849,30,1,4.99,2005-08-22 10:39:51,15063,2005-08-22 10:39:51,1159,2005-08-25 16:03:51,2
15531,579,2,0.99,2005-08-23 06:33:26,15601,2005-08-23 06:33:26,3643,2005-08-24 04:10:26,1
3282,122,1,0.99,2005-06-15 03:01:20,1211,2005-06-15 03:01:20,3360,2005-06-18 07:52:20,2
9059,335,1,0.99,2005-07-30 21:18:37,9428,2005-07-30 21:18:37,1948,2005-08-05 16:09:37,1
8530,314,2,3.99,2005-08-20 04:07:21,13553,2005-08-20 04:07:21,4407,2005-08-28 09:55:21,1
4022,148,1,4.99,2005-07-09 02:48:15,5034,2005-07-09 02:48:15,340,2005-07-11 23:13:15,2
7156,265,1,2.99,2005-07-06 15:41:27,3823,2005-07-06 15:41:27,124,2005-07-09 09:48:27,1
13736,510,2,0.99,2005-06-17 06:16:47,1925,2005-06-17 06:16:47,3995,2005-06-21 06:03:47,1
10078,372,1,0.99,2005-08-18 02:59:09,12224,2005-08-18 02:59:09,1781,2005-08-19 06:22:09,1
4575,168,2,4.99,2005-08-20 03:29:28,13532,2005-08-20 03:29:28,1433,2005-08-23 22:53:28,2
1720,63,2,3.99,2005-07-31 01:57:04,9549,2005-07-31 01:57:04,2409,2005-08-07 21:00:04,2
1998,74,2,7.99,2005-06-21 20:40:28,3445,2005-06-21 20:40:28,2381,2005-06-29 00:47:28,2
8497,313,2,2.99,2005-08-17 13:42:52,11854,2005-08-17 13:42:52,137,2005-08-26 14:04:52,1
3766,139,1,0.99,2005-07-27 15:07:58,7369,2005-07-27 15:07:58,3889,2005-07-30 09:16:58,2
1023,37,1,3.99,2005-08-02 10:39:43,11176,2005-08-02 10:39:43,1448,2005-08-09 14:42:43,2
15039,561,2,2.99,2005-08-01 04:35:34,10317,2005-08-01 04:35:34,110,2005-08-06 02:27:34,2
14364,533,1,8.99,2005-08-17 09:33:02,11758,2005-08-17 09:33:02,11,2005-08-24 05:03:02,2
7345,271,2,4.99,2005-08-21 09:08:29,14355,2005-08-21 09:08:29,649,2005-08-27 10:08:29,2
