prospect_AgencyID,prospect_State,prospect_AddressLine2,prospect_Country,prospect_Employer,prospect_CreditRating,prospect_Income,prospect_NumberCars,prospect_NumberChildren,prospect_MaritalStatus,prospect_Age,prospect_OwnOrRentFlag,prospect_NumberCreditCards,prospect_NetWorth
PEL0,MA,,United States of America,Brink's,760.0,368776.0,,3.0,W,20.0,O,,1058868.0
LED1,PA,APT. 624,United States of America,,555.0,177967.0,5.0,1.0,U,3.0,U,6.0,1988185.0
lat2,Alberta,,United States of America,,566.0,321772.0,2.0,1.0,S,,O,6.0,3673128.0
RUD3,AR,,Canada,Air Products & Chemicals,,25449.0,2.0,1.0,W,77.0,O,3.0,2005895.0
JAY4,OR,Apt. 619,Canada,Oshkosh,815.0,166567.0,0.0,3.0,M,21.0,O,4.0,624736.0
tod5,VA,,United States of America,,333.0,43631.0,1.0,4.0,M,77.0,R,10.0,3064615.0
Kan6,OH,,Canada,VeraSun Energy,528.0,466230.0,4.0,0.0,,23.0,O,1.0,3489129.0
Din7,Prince Edward Island,,United States of America,IDT,680.0,420243.0,2.0,2.0,M,9.0,U,7.0,3430744.0
Thi8,NV,,United States of America,Adams Resources & Energy,761.0,141862.0,3.0,,U,63.0,O,10.0,1743614.0
May9,Ontario,,United States of America,MGIC Investment,416.0,402011.0,0.0,2.0,M,32.0,O,,216299.0
mah10,TX,,Canada,Iasis Healthcare,493.0,79928.0,2.0,2.0,M,96.0,O,9.0,1528641.0
Siz11,NE,,United States of America,AMR,564.0,109496.0,1.0,0.0,M,46.0,R,0.0,3752907.0
cra12,AR,,United States of America,Embarq,817.0,267901.0,1.0,4.0,U,6.0,U,0.0,582378.0
dac13,MI,,United States of America,Advanced Micro Devices,653.0,487273.0,3.0,5.0,U,39.0,R,8.0,3458824.0
HIV14,MA,,United States of America,Cenveo,587.0,34013.0,3.0,4.0,M,73.0,O,2.0,469408.0
Pes15,TN,Apt. 290,United States of America,Kelly Services,472.0,473462.0,0.0,2.0,S,26.0,O,6.0,1504480.0
CHI16,TN,,Canada,Viacom,817.0,499493.0,5.0,4.0,M,54.0,O,4.0,2763009.0
Din17,OK,,United States of America,Macy's,441.0,266928.0,5.0,4.0,M,87.0,R,0.0,2787199.0
De 18,Ontario,,United States of America,Gardner Denver,848.0,72444.0,2.0,3.0,M,85.0,O,6.0,2789368.0
Mck19,KY,,United States of America,Family Dollar Stores,843.0,77290.0,3.0,3.0,U,86.0,R,8.0,2784776.0
WIN20,PA,,United States of America,,,395066.0,2.0,0.0,U,59.0,R,,288747.0
BIT21,MD,,United States of America,Sun Microsystems,300.0,119283.0,5.0,3.0,U,94.0,O,0.0,876575.0
luz22,TX,,United States of America,Costco Wholesale,795.0,330991.0,1.0,1.0,U,,O,8.0,2041224.0
don23,IN,,United States of America,Illinois Tool Works,367.0,,4.0,0.0,,5.0,U,5.0,2231509.0
Gia24,MD,,United States of America,Southern Union,507.0,252031.0,1.0,5.0,M,23.0,O,1.0,3206409.0
SPR25,KY,,United States of America,Moog,362.0,101800.0,3.0,1.0,M,61.0,O,9.0,3850037.0
SKA26,CA,,United States of America,Old Republic International,527.0,436977.0,0.0,1.0,D,,O,7.0,528440.0
