ss_d,chmbl_d,cnfdnc_scr,dc_d,crtd_b,ss_ctgr,ss_sbclllr_frctn,td,rltnshp_tp,src_d,src_ss_d,cll_d,b_frmt,tss_d,vrnt_d
7524,CHEMBL618647,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,2113.0,
7525,CHEMBL618648,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,2113.0,
7526,CHEMBL618649,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,2113.0,
7527,CHEMBL618650,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,2107.0,
7528,CHEMBL618651,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,2107.0,
7529,CHEMBL876497,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,2107.0,
7530,CHEMBL618652,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,2048.0,
7531,CHEMBL618653,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,2048.0,
7532,CHEMBL618654,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,2048.0,
7533,CHEMBL618655,1,6351,Intermediate,,,50597,N,1,,,BAO_0000218,,
7534,CHEMBL618656,1,1465,Intermediate,,,50597,N,1,,,BAO_0000218,,
7535,CHEMBL618657,0,5182,Intermediate,,,22229,U,1,,,BAO_0000100,,
7536,CHEMBL618658,1,17847,Intermediate,,,50597,N,1,,,BAO_0000218,,
7537,CHEMBL618659,1,15339,Intermediate,,,50597,N,1,,,BAO_0000218,,
7538,CHEMBL618660,1,5202,Intermediate,,,50597,N,1,,,BAO_0000218,,
7539,CHEMBL618661,1,1088,Intermediate,,,50597,N,1,,,BAO_0000218,,
7540,CHEMBL873807,1,3169,Intermediate,,,50597,N,1,,,BAO_0000218,,
7541,CHEMBL618662,1,5353,Intermediate,,,50597,N,1,,,BAO_0000218,,
7542,CHEMBL618663,1,2864,Intermediate,,,50597,N,1,,,BAO_0000218,,
7543,CHEMBL618664,1,2864,Intermediate,,,50597,N,1,,,BAO_0000218,,
7544,CHEMBL618665,1,2864,Intermediate,,,50597,N,1,,,BAO_0000218,,
7545,CHEMBL876498,1,6362,Intermediate,,,50597,N,1,,,BAO_0000218,,
7546,CHEMBL618666,1,6249,Intermediate,,,50597,N,1,,,BAO_0000218,,
7547,CHEMBL620440,1,3169,Intermediate,,,50597,N,1,,,BAO_0000218,,
7548,CHEMBL620441,1,3169,Intermediate,,,50597,N,1,,,BAO_0000218,,
7549,CHEMBL620442,1,3169,Intermediate,,,50597,N,1,,,BAO_0000218,,
7550,CHEMBL620443,1,17260,Intermediate,,,50597,N,1,,,BAO_0000218,,
7551,CHEMBL620444,1,17260,Intermediate,,,50597,N,1,,,BAO_0000218,,
7552,CHEMBL620445,1,17260,Intermediate,,,50597,N,1,,,BAO_0000218,,
7553,CHEMBL620446,1,17260,Intermediate,,,50597,N,1,,,BAO_0000218,,
7554,CHEMBL620447,1,2879,Intermediate,,,50597,N,1,,,BAO_0000218,1969.0,
7555,CHEMBL621129,1,2879,Intermediate,,,50597,N,1,,,BAO_0000218,1969.0,
7556,CHEMBL621130,1,2879,Intermediate,,,50597,N,1,,,BAO_0000218,1969.0,
7557,CHEMBL873808,1,3184,Intermediate,,,50597,N,1,,,BAO_0000218,,
7558,CHEMBL876598,1,4891,Intermediate,,,50597,N,1,,,BAO_0000218,,
7559,CHEMBL621131,1,429,Intermediate,,,50597,N,1,,,BAO_0000218,,
7560,CHEMBL621132,1,5656,Intermediate,,,50597,N,1,,,BAO_0000218,,
7561,CHEMBL621133,1,4413,Intermediate,,,50597,N,1,,,BAO_0000218,,
7562,CHEMBL621312,1,3598,Expert,,,50597,N,1,,,BAO_0000218,,
7563,CHEMBL621313,1,17267,Intermediate,,,50597,N,1,,,BAO_0000218,,
7564,CHEMBL621314,1,4727,Intermediate,,,50597,N,1,,,BAO_0000218,178.0,
7565,CHEMBL621315,1,17651,Intermediate,,,50597,N,1,,,BAO_0000218,,
7566,CHEMBL621316,1,17651,Intermediate,,,50597,N,1,,,BAO_0000218,,
7567,CHEMBL621317,1,401,Intermediate,,,50597,N,1,,,BAO_0000218,,
7568,CHEMBL621318,1,4942,Intermediate,,,50597,N,1,,,BAO_0000218,,
7569,CHEMBL621319,1,17735,Intermediate,,,50597,N,1,,,BAO_0000218,,
7570,CHEMBL621377,1,6056,Intermediate,,,50597,N,1,,,BAO_0000218,,
7571,CHEMBL621378,1,5213,Intermediate,,,50597,N,1,,,BAO_0000218,,
7572,CHEMBL876599,1,6616,Intermediate,,,50597,N,1,,,BAO_0000218,,
