miller2_fsclr,miller2_brnchd,miller2_rgnstnsb-clss,miller2_cntnntd,miller2_sctrprcnt,miller2_sctrnm,miller2_stts,miller2_prjctnmbr,miller2_clmtchngmtgtn(mrkr),miller2_gndrqlt(mrkr),miller2_prtcptrdvlpmntndgdgvrnnc,miller2_mxmmcdcntrbtn(prjct-lvl),miller2_rgnlprgrm(mrkr),miller2_sctnd,miller2_ntdmnt(prjct-lvlbdgt),miller2_rbnsss(mrkr),miller2_chldrnsss(mrkr),miller2_thsss(mrkr),miller2_ndgnssss(mrkr),miller2_dsbltsss(mrkr),miller2_ctstlfrdvlpmnt(mrkr),miller2_knwldgfrdvlpmnt(mrkr),miller2_rgnstnd,miller2_rgnstnnm,miller2_rgnstntp,miller2_rgnstnclss,miller2_cntnntnm,miller2_prjctbrwsrcntrd,miller2_cntrrgnd,miller2_cntrrgnnm,miller2_cntrrgnprcnt,miller2_sctrd,miller2_mntspnt
2009/2010,B5100,UNITED NATIONS,3,0.14,Multilateral trade negotiations,Closed,M013170001,0,0,1,2460000.0,0,S5602,2460000.0,0,0,0,0,0,1,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,Multilateral,Asia,X3,X3,Asia MC,0.22,33140,75768.0
2009/2010,B5100,UNITED NATIONS,3,0.505,Sectors not specified,Closed,M013170001,0,0,1,2460000.0,0,S5602,2460000.0,0,0,0,0,0,1,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,Multilateral,Asia,X3,X3,Asia MC,0.22,99810,273306.0
2009/2010,B5100,UNITED NATIONS,5,0.268,Medical services,Closed,M013170001,0,0,1,2460000.0,0,S5602,2460000.0,0,0,0,0,0,1,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,Multilateral,Europe,X4,X4,Europe MC,0.32,12191,210969.6
2009/2010,B5100,UNITED NATIONS,5,0.047,Water resources conservation (including data collection),Closed,M013170001,0,0,1,2460000.0,0,S5602,2460000.0,0,0,0,0,0,1,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,Multilateral,Europe,X4,X4,Europe MC,0.32,14015,36998.4
2009/2010,B5100,UNITED NATIONS,5,0.04,Nuclear energy electric power plants,Closed,M013170001,0,0,1,2460000.0,0,S5602,2460000.0,0,0,0,0,0,1,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,Multilateral,Europe,X4,X4,Europe MC,0.32,23510,31488.0
2009/2010,B5100,UNITED NATIONS,5,0.14,Multilateral trade negotiations,Closed,M013170001,0,0,1,2460000.0,0,S5602,2460000.0,0,0,0,0,0,1,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,Multilateral,Europe,X4,X4,Europe MC,0.32,33140,110208.0
2009/2010,B5100,UNITED NATIONS,5,0.505,Sectors not specified,Closed,M013170001,0,0,1,2460000.0,0,S5602,2460000.0,0,0,0,0,0,1,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,Multilateral,Europe,X4,X4,Europe MC,0.32,99810,397536.0
2009/2010,B5100,REGIONAL ORGANIZATION,1,1.0,Material relief assistance and services,Closed,M013171001,0,0,0,300000.0,0,S5320,300000.0,0,0,0,0,0,0,0,1001300,PAHO - Pan American Health Organization,Foreign Non-Profit Making,Multilateral,America,SV,SV,El Salvador,1.0,72010,300000.0
2009/2010,B5100,INTERNATIONAL NGO,2,1.0,Material relief assistance and services,Terminating,M013172001,0,1,0,3000000.0,0,S5330,3000000.0,0,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,Civil Society,Africa,X1,X1,Africa MC,0.5,72010,1500000.0
2009/2010,B5100,INTERNATIONAL NGO,1,1.0,Material relief assistance and services,Terminating,M013172001,0,1,0,3000000.0,0,S5330,3000000.0,0,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,Civil Society,America,X2,X2,Americas MC,0.15,72010,450000.0
2009/2010,B5100,INTERNATIONAL NGO,3,1.0,Material relief assistance and services,Terminating,M013172001,0,1,0,3000000.0,0,S5330,3000000.0,0,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,Civil Society,Asia,X3,X3,Asia MC,0.3,72010,900000.0
2009/2010,B5100,INTERNATIONAL NGO,5,1.0,Material relief assistance and services,Terminating,M013172001,0,1,0,3000000.0,0,S5330,3000000.0,0,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,Civil Society,Europe,X4,X4,Europe MC,0.05,72010,150000.0
2009/2010,B5100,INTERNATIONAL NGO,2,1.0,Material relief assistance and services,Terminating,M013173001,0,1,0,3000000.0,0,S5330,3000000.0,0,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,Civil Society,Africa,X1,X1,Africa MC,0.5,72010,1500000.0
