description,rental_duration,rental_rate,original_language_id,language,replacement_cost,film_id,release_year,title,length,rating
A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,6,0.99,,English,20.99,1,2006,ACADEMY DINOSAUR,86,PG
A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,7,2.99,,English,18.99,3,2006,ADAPTATION HOLES,50,NC-17
A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,6,2.99,,English,22.99,5,2006,AFRICAN EGG,130,G
A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,3,2.99,,English,17.99,6,2006,AGENT TRUMAN,169,PG
A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,6,4.99,,English,28.99,7,2006,AIRPLANE SIERRA,62,PG-13
A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,6,4.99,,English,15.99,8,2006,AIRPORT POLLOCK,54,R
A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,3,2.99,,English,21.99,9,2006,ALABAMA DEVIL,114,PG-13
A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,6,4.99,,English,24.99,10,2006,ALADDIN CALENDAR,63,NC-17
A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,6,0.99,,English,22.99,12,2006,ALASKA PHANTOM,136,PG
A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,6,0.99,,English,23.99,14,2006,ALICE FANTASIA,94,NC-17
A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,5,2.99,,English,10.99,15,2006,ALIEN CENTER,46,NC-17
A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,3,0.99,,English,14.99,17,2006,ALONE TRIP,82,R
A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,6,0.99,,English,27.99,18,2006,ALTER VICTORY,57,PG-13
A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,6,0.99,,English,20.99,19,2006,AMADEUS HOLY,113,PG
A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,4,4.99,,English,23.99,20,2006,AMELIE HELLFIGHTERS,79,R
A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,3,4.99,,English,17.99,21,2006,AMERICAN CIRCUS,129,R
A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,3,0.99,,English,9.99,23,2006,ANACONDA CONFESSIONS,92,R
A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,6,2.99,,English,19.99,24,2006,ANALYZE HOOSIERS,181,R
A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,3,2.99,,English,15.99,25,2006,ANGELS LIFE,74,G
A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank,7,0.99,,English,12.99,27,2006,ANONYMOUS HUMAN,179,NC-17
A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India,5,2.99,,English,11.99,29,2006,ANTITRUST TOMATOES,168,NC-17
A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House,4,2.99,,English,27.99,30,2006,ANYTHING SAVANNAH,82,R
A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat,5,4.99,,English,16.99,31,2006,APACHE DIVINE,92,NC-17
A Action-Packed Reflection of a Crocodile And a Explorer who must Find a Sumo Wrestler in An Abandoned Mine Shaft,5,2.99,,English,15.99,33,2006,APOLLO TEEN,153,PG-13
A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria,6,0.99,,English,29.99,34,2006,ARABIA DOGMA,62,NC-17
A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station,4,2.99,,English,24.99,35,2006,ARACHNOPHOBIA ROLLERCOASTER,147,PG-13
A Emotional Epistle of a Forensic Psychologist And a Butler who must Challenge a Waitress in An Abandoned Mine Shaft,7,0.99,,English,12.99,36,2006,ARGONAUTS TOWN,127,PG-13
A Brilliant Panorama of a Mad Scientist And a Mad Cow who must Meet a Pioneer in A Monastery,3,2.99,,English,28.99,37,2006,ARIZONA BANG,121,PG
A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert,6,0.99,,English,25.99,38,2006,ARK RIDGEMONT,68,NC-17
A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft,5,0.99,,English,10.99,39,2006,ARMAGEDDON LOST,99,G
A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria,4,0.99,,English,22.99,40,2006,ARMY FLINTSTONES,148,R
A Fanciful Documentary of a Mad Cow And a Womanizer who must Find a Dentist in Berlin,4,0.99,,English,17.99,41,2006,ARSENIC INDEPENDENCE,137,PG
A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California,5,2.99,,English,10.99,42,2006,ARTIST COLDBLOODED,170,NC-17
A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank,6,2.99,,English,15.99,43,2006,ATLANTIS CAUSE,170,G
A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft,5,4.99,,English,21.99,44,2006,ATTACKS HATE,113,PG-13
A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan,5,4.99,,English,14.99,45,2006,ATTRACTION NEWTON,83,PG-13
A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert,3,4.99,,English,13.99,46,2006,AUTUMN CROW,108,G
A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft,5,4.99,,English,23.99,47,2006,BABY HALL,153,NC-17
A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery,3,4.99,,English,24.99,48,2006,BACKLASH UNDEFEATED,118,PG-13
A Emotional Panorama of a Pioneer And a Composer who must Escape a Mad Scientist in A Jet Boat,6,2.99,,English,22.99,49,2006,BADMAN DAWN,162,R
A Insightful Panorama of a Forensic Psychologist And a Mad Cow who must Build a Mad Scientist in The First Manned Space Station,5,2.99,,English,10.99,51,2006,BALLOON HOMEWARD,75,NC-17
A Thrilling Documentary of a Composer And a Monkey who must Find a Feminist in California,6,0.99,,English,29.99,52,2006,BALLROOM MOCKINGBIRD,173,G
A Epic Drama of a Madman And a Cat who must Face a A Shark in An Abandoned Amusement Park,5,2.99,,English,25.99,53,2006,BANG KWAI,87,NC-17
A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery,6,2.99,,English,27.99,55,2006,BARBARELLA STREETCAR,65,G
A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park,6,2.99,,English,15.99,56,2006,BAREFOOT MANCHURIAN,129,G
A Stunning Epistle of a Man And a Husband who must Reach a Mad Scientist in A Jet Boat,4,2.99,,English,18.99,57,2006,BASIC EASY,90,PG-13
A Fateful Display of a Womanizer And a Mad Scientist who must Outgun a A Shark in Soviet Georgia,6,2.99,,English,16.99,58,2006,BEACH HEARTBREAKERS,122,G
