variant_id,relationship_type,bao_format,assay_category,description,assay_id,curated_by,tissue_id,confidence_score,assay_subcellular_fraction,assay_test_type,cell_id,src_assay_id,assay_tax_id,src_id,assay_cell_type,tid,assay_type,assay_organism,assay_strain,chembl_id,doc_id,assay_tissue
,H,BAO_0000019,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,1,Autocuration,,8,,,,,,1,,12052,B,,,CHEMBL615117,11087,
,U,BAO_0000219,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,2,Autocuration,,0,,,,,,1,,22226,F,,,CHEMBL615118,684,
,U,BAO_0000019,,,3,Autocuration,,0,,,,,,1,,22226,B,,,CHEMBL615119,15453,
,H,BAO_0000249,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,4,Autocuration,,4,,,,,9913.0,1,,104729,B,Bos taurus,,CHEMBL615120,17841,
,N,BAO_0000219,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),5,Intermediate,,1,,,163.0,,9606.0,1,143B,80001,F,Homo sapiens,,CHEMBL615121,17430,
,N,BAO_0000219,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),6,Intermediate,,1,,,163.0,,9606.0,1,143B,80001,F,Homo sapiens,,CHEMBL615122,17430,
,N,BAO_0000219,,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,7,Intermediate,,1,,,163.0,,10090.0,1,143B,80001,F,Mus musculus,,CHEMBL615123,13799,
,N,BAO_0000219,,In vitro cell cytotoxicity was determined against 143B cell line,8,Expert,,1,,,163.0,,9606.0,1,143B,80001,F,Homo sapiens,,CHEMBL615124,17774,
,N,BAO_0000219,,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,9,Intermediate,,1,,,163.0,,9606.0,1,143B,80001,F,Homo sapiens,,CHEMBL615125,3801,
,N,BAO_0000219,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,10,Intermediate,,1,,,163.0,,9606.0,1,143B,80001,F,Homo sapiens,,CHEMBL615126,17430,
,N,BAO_0000219,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,11,Intermediate,,1,,,163.0,,9606.0,1,143B,80001,F,Homo sapiens,,CHEMBL615127,17430,
,N,BAO_0000219,,In vitro cell cytotoxicity was determined against 143B-LTK cell line,12,Expert,,1,,,163.0,,9606.0,1,143B,80001,F,Homo sapiens,,CHEMBL615128,17774,
,N,BAO_0000218,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",13,Intermediate,,1,,,,,1280.0,1,,50185,F,Staphylococcus aureus,,CHEMBL857900,11324,
,N,BAO_0000218,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",14,Intermediate,,1,,,,,1280.0,1,,50185,F,Staphylococcus aureus,,CHEMBL615129,11324,
,N,BAO_0000218,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",15,Intermediate,,1,,,,,1280.0,1,,50185,F,Staphylococcus aureus,,CHEMBL615130,11324,
,N,BAO_0000218,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",16,Intermediate,,1,,,,,1280.0,1,,50185,F,Staphylococcus aureus,,CHEMBL615131,11324,
,D,BAO_0000357,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,17,Expert,,9,,,,,10116.0,1,,100122,A,Rattus norvegicus,,CHEMBL884521,11347,
,H,BAO_0000357,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),18,Autocuration,,8,,,,,,1,,12054,B,,,CHEMBL615132,16474,
,H,BAO_0000019,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,19,Autocuration,,8,,,,,,1,,12054,B,,,CHEMBL615133,10091,
,H,BAO_0000357,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),20,Autocuration,,8,,,,,,1,,12054,B,,,CHEMBL615134,16474,
,H,BAO_0000357,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),21,Autocuration,,8,,,,,,1,,12054,B,,,CHEMBL615135,16474,
,H,BAO_0000357,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),22,Autocuration,,8,,,,,,1,,12054,B,,,CHEMBL615136,16474,
,H,BAO_0000357,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,23,Autocuration,,8,,,,,,1,,12054,B,,,CHEMBL615137,16474,
,H,BAO_0000357,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,24,Autocuration,,8,,,,,,1,,12054,B,,,CHEMBL615138,16474,
,U,BAO_0000219,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",25,Autocuration,,0,,,,,,1,,22226,B,,,CHEMBL836324,14352,
,H,BAO_0000357,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,26,Autocuration,,8,,,,,9986.0,1,,12054,B,Oryctolagus cuniculus,,CHEMBL615139,5646,
,H,BAO_0000357,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),27,Autocuration,,8,,,,,9986.0,1,,12054,B,Oryctolagus cuniculus,,CHEMBL615140,5646,
,H,BAO_0000219,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,28,Autocuration,,8,,,,,,1,,12426,B,,,CHEMBL615141,10997,
,H,BAO_0000357,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,29,Autocuration,,8,,,,,3847.0,1,,12054,B,soya bean,,CHEMBL615142,6309,
,H,BAO_0000357,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,30,Autocuration,,8,,,,,3847.0,1,,12054,B,Glycine max,,CHEMBL615143,167,
,H,BAO_0000357,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,31,Autocuration,,8,,,,,3847.0,1,,12054,B,Glycine max,,CHEMBL615144,167,
,H,BAO_0000357,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,32,Autocuration,,8,,,,,3847.0,1,,12054,B,Glycine max,,CHEMBL872867,11087,
,H,BAO_0000357,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,33,Autocuration,,8,,,,,3847.0,1,,12054,B,Glycine max,,CHEMBL615145,11087,
,H,BAO_0000357,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,34,Autocuration,,8,,,,,3847.0,1,,12054,B,Glycine max,,CHEMBL615146,13622,
,H,BAO_0000357,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,35,Autocuration,,8,,,,,3847.0,1,,12054,B,Glycine max,,CHEMBL615147,13622,
,U,BAO_0000019,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,36,Autocuration,,0,,,,,10116.0,1,,22226,A,Rattus norvegicus,,CHEMBL615148,11347,
,U,BAO_0000019,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,37,Autocuration,,0,,,,,562.0,1,,22226,B,Escherichia coli,,CHEMBL615149,5926,
,U,BAO_0000019,,Dissociation constant with dimeric 16S rRNA RNA construct B,38,Autocuration,,0,,,,,,1,,22226,B,,,CHEMBL615150,4567,
,M,BAO_0000225,,Dissociation constant towards 16S rRNA construct A,39,Intermediate,,3,,,,,,1,,22222,B,,,CHEMBL615151,3782,
,M,BAO_0000225,,Dissociation constant towards 16S rRNA construct B,40,Intermediate,,3,,,,,,1,,22222,B,,,CHEMBL615152,3782,
,M,BAO_0000225,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,41,Expert,,3,,,,,562.0,1,,100263,B,Escherichia coli,,CHEMBL615153,4466,
,M,BAO_0000225,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,42,Expert,,3,,,,,562.0,1,,100263,B,Escherichia coli,,CHEMBL615154,6592,
,H,BAO_0000019,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),43,Autocuration,,8,,,,,,1,,13053,B,,,CHEMBL615155,898,
,H,BAO_0000019,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),44,Autocuration,,8,,,,,,1,,13053,B,,,CHEMBL615156,898,
,H,BAO_0000019,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,45,Autocuration,,8,,,,,9606.0,1,,20001,B,Homo sapiens,,CHEMBL615157,13163,
,H,BAO_0000019,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,46,Autocuration,,8,,,,,9606.0,1,,20001,B,Homo sapiens,,CHEMBL615158,13163,
