assay_id,assay_subcellular_fraction,assay_cell_type,assay_type,confidence_score,curated_by,assay_test_type,doc_id,assay_organism,bao_format,cell_id,assay_tissue,assay_category,variant_id,tid,src_id,description,assay_tax_id,assay_strain
1,,,B,8,Autocuration,,11087,,BAO_0000019,,,,,12052,1,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,
2,,,F,0,Autocuration,,684,,BAO_0000219,,,,,22226,1,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,
3,,,B,0,Autocuration,,15453,,BAO_0000019,,,,,22226,1,,,
4,,,B,4,Autocuration,,17841,Bos taurus,BAO_0000249,,,,,104729,1,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,9913.0,
5,,143B,F,1,Intermediate,,17430,Homo sapiens,BAO_0000219,163.0,,,,80001,1,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),9606.0,
6,,143B,F,1,Intermediate,,17430,Homo sapiens,BAO_0000219,163.0,,,,80001,1,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),9606.0,
7,,143B,F,1,Intermediate,,13799,Mus musculus,BAO_0000219,163.0,,,,80001,1,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,10090.0,
8,,143B,F,1,Expert,,17774,Homo sapiens,BAO_0000219,163.0,,,,80001,1,In vitro cell cytotoxicity was determined against 143B cell line,9606.0,
9,,143B,F,1,Intermediate,,3801,Homo sapiens,BAO_0000219,163.0,,,,80001,1,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,9606.0,
10,,143B,F,1,Intermediate,,17430,Homo sapiens,BAO_0000219,163.0,,,,80001,1,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,9606.0,
11,,143B,F,1,Intermediate,,17430,Homo sapiens,BAO_0000219,163.0,,,,80001,1,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,9606.0,
12,,143B,F,1,Expert,,17774,Homo sapiens,BAO_0000219,163.0,,,,80001,1,In vitro cell cytotoxicity was determined against 143B-LTK cell line,9606.0,
13,,,F,1,Intermediate,,11324,Staphylococcus aureus,BAO_0000218,,,,,50185,1,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",1280.0,
14,,,F,1,Intermediate,,11324,Staphylococcus aureus,BAO_0000218,,,,,50185,1,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",1280.0,
15,,,F,1,Intermediate,,11324,Staphylococcus aureus,BAO_0000218,,,,,50185,1,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",1280.0,
16,,,F,1,Intermediate,,11324,Staphylococcus aureus,BAO_0000218,,,,,50185,1,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",1280.0,
17,,,A,9,Expert,,11347,Rattus norvegicus,BAO_0000357,,,,,100122,1,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,10116.0,
18,,,B,8,Autocuration,,16474,,BAO_0000357,,,,,12054,1,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,
19,,,B,8,Autocuration,,10091,,BAO_0000019,,,,,12054,1,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,
20,,,B,8,Autocuration,,16474,,BAO_0000357,,,,,12054,1,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,
21,,,B,8,Autocuration,,16474,,BAO_0000357,,,,,12054,1,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,
22,,,B,8,Autocuration,,16474,,BAO_0000357,,,,,12054,1,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,
23,,,B,8,Autocuration,,16474,,BAO_0000357,,,,,12054,1,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,
24,,,B,8,Autocuration,,16474,,BAO_0000357,,,,,12054,1,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,
25,,,B,0,Autocuration,,14352,,BAO_0000219,,,,,22226,1,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,
26,,,B,8,Autocuration,,5646,Oryctolagus cuniculus,BAO_0000357,,,,,12054,1,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,9986.0,
27,,,B,8,Autocuration,,5646,Oryctolagus cuniculus,BAO_0000357,,,,,12054,1,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),9986.0,
28,,,B,8,Autocuration,,10997,,BAO_0000219,,,,,12426,1,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,
29,,,B,8,Autocuration,,6309,soya bean,BAO_0000357,,,,,12054,1,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,3847.0,
30,,,B,8,Autocuration,,167,Glycine max,BAO_0000357,,,,,12054,1,Inhibitory activity against soybean 15-lipoxygenase was evaluated,3847.0,
31,,,B,8,Autocuration,,167,Glycine max,BAO_0000357,,,,,12054,1,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,3847.0,
32,,,B,8,Autocuration,,11087,Glycine max,BAO_0000357,,,,,12054,1,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,3847.0,
33,,,B,8,Autocuration,,11087,Glycine max,BAO_0000357,,,,,12054,1,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,3847.0,
34,,,B,8,Autocuration,,13622,Glycine max,BAO_0000357,,,,,12054,1,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,3847.0,
35,,,B,8,Autocuration,,13622,Glycine max,BAO_0000357,,,,,12054,1,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,3847.0,
36,,,A,0,Autocuration,,11347,Rattus norvegicus,BAO_0000019,,,,,22226,1,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,10116.0,
37,,,B,0,Autocuration,,5926,Escherichia coli,BAO_0000019,,,,,22226,1,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,562.0,
38,,,B,0,Autocuration,,4567,,BAO_0000019,,,,,22226,1,Dissociation constant with dimeric 16S rRNA RNA construct B,,
39,,,B,3,Intermediate,,3782,,BAO_0000225,,,,,22222,1,Dissociation constant towards 16S rRNA construct A,,
40,,,B,3,Intermediate,,3782,,BAO_0000225,,,,,22222,1,Dissociation constant towards 16S rRNA construct B,,
41,,,B,3,Expert,,4466,Escherichia coli,BAO_0000225,,,,,100263,1,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,562.0,
42,,,B,3,Expert,,6592,Escherichia coli,BAO_0000225,,,,,100263,1,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,562.0,
43,,,B,8,Autocuration,,898,,BAO_0000019,,,,,13053,1,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,
44,,,B,8,Autocuration,,898,,BAO_0000019,,,,,13053,1,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,
45,,,B,8,Autocuration,,13163,Homo sapiens,BAO_0000019,,,,,20001,1,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,9606.0,
