assays_assay_id,assays_src_id,assays_description,assays_assay_tissue,assays_bao_format,assays_src_assay_id,assays_assay_organism,assays_assay_category,assays_curated_by,assays_doc_id,assays_assay_test_type,assays_relationship_type,assays_confidence_score,assays_chembl_id,assays_cell_id,assays_tissue_id,assays_variant_id
1,1,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,BAO_0000019,,,,Autocuration,11087,,H,8,CHEMBL615117,,,
2,1,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,BAO_0000219,,,,Autocuration,684,,U,0,CHEMBL615118,,,
3,1,,,BAO_0000019,,,,Autocuration,15453,,U,0,CHEMBL615119,,,
4,1,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,BAO_0000249,,Bos taurus,,Autocuration,17841,,H,4,CHEMBL615120,,,
5,1,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,BAO_0000219,,Homo sapiens,,Intermediate,17430,,N,1,CHEMBL615121,163.0,,
6,1,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,BAO_0000219,,Homo sapiens,,Intermediate,17430,,N,1,CHEMBL615122,163.0,,
7,1,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,BAO_0000219,,Mus musculus,,Intermediate,13799,,N,1,CHEMBL615123,163.0,,
8,1,In vitro cell cytotoxicity was determined against 143B cell line,,BAO_0000219,,Homo sapiens,,Expert,17774,,N,1,CHEMBL615124,163.0,,
9,1,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,BAO_0000219,,Homo sapiens,,Intermediate,3801,,N,1,CHEMBL615125,163.0,,
10,1,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,BAO_0000219,,Homo sapiens,,Intermediate,17430,,N,1,CHEMBL615126,163.0,,
11,1,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,BAO_0000219,,Homo sapiens,,Intermediate,17430,,N,1,CHEMBL615127,163.0,,
12,1,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,BAO_0000219,,Homo sapiens,,Expert,17774,,N,1,CHEMBL615128,163.0,,
13,1,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,BAO_0000218,,Staphylococcus aureus,,Intermediate,11324,,N,1,CHEMBL857900,,,
14,1,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,BAO_0000218,,Staphylococcus aureus,,Intermediate,11324,,N,1,CHEMBL615129,,,
15,1,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,BAO_0000218,,Staphylococcus aureus,,Intermediate,11324,,N,1,CHEMBL615130,,,
16,1,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,BAO_0000218,,Staphylococcus aureus,,Intermediate,11324,,N,1,CHEMBL615131,,,
17,1,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,BAO_0000357,,Rattus norvegicus,,Expert,11347,,D,9,CHEMBL884521,,,
18,1,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,BAO_0000357,,,,Autocuration,16474,,H,8,CHEMBL615132,,,
19,1,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,BAO_0000019,,,,Autocuration,10091,,H,8,CHEMBL615133,,,
20,1,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,BAO_0000357,,,,Autocuration,16474,,H,8,CHEMBL615134,,,
21,1,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,BAO_0000357,,,,Autocuration,16474,,H,8,CHEMBL615135,,,
22,1,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,BAO_0000357,,,,Autocuration,16474,,H,8,CHEMBL615136,,,
23,1,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,BAO_0000357,,,,Autocuration,16474,,H,8,CHEMBL615137,,,
24,1,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,BAO_0000357,,,,Autocuration,16474,,H,8,CHEMBL615138,,,
25,1,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,BAO_0000219,,,,Autocuration,14352,,U,0,CHEMBL836324,,,
26,1,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,BAO_0000357,,Oryctolagus cuniculus,,Autocuration,5646,,H,8,CHEMBL615139,,,
27,1,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,BAO_0000357,,Oryctolagus cuniculus,,Autocuration,5646,,H,8,CHEMBL615140,,,
28,1,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,BAO_0000219,,,,Autocuration,10997,,H,8,CHEMBL615141,,,
29,1,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,BAO_0000357,,soya bean,,Autocuration,6309,,H,8,CHEMBL615142,,,
30,1,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,BAO_0000357,,Glycine max,,Autocuration,167,,H,8,CHEMBL615143,,,
31,1,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,BAO_0000357,,Glycine max,,Autocuration,167,,H,8,CHEMBL615144,,,
32,1,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,BAO_0000357,,Glycine max,,Autocuration,11087,,H,8,CHEMBL872867,,,
