film_id,category_id
968,1
178,5
120,15
550,8
83,8
77,13
888,6
801,3
46,10
695,8
904,11
206,6
797,12
784,16
827,7
627,6
857,5
662,7
424,3
994,13
649,2
764,15
306,10
140,14
48,3
11,9
358,4
144,13
886,2
43,8
571,6
3,6
240,14
712,6
112,9
774,5
229,1
568,5
831,14
349,2
771,7
759,13
940,15
165,14
132,14
715,8
392,3
973,6
328,3
135,15
266,4
620,14
41,16
227,10
44,14
939,5
308,5
69,14
917,15
950,4
870,11
936,12
79,7
396,7
655,14
89,2
963,2
957,9
817,14
742,10
296,14
123,16
786,3
781,10
976,10
194,1
421,9
991,1
852,3
99,5
548,4
129,6
67,1
902,15
682,8
889,3
804,11
672,5
911,1
929,9
688,3
207,9
766,7
109,13
544,6
312,14
192,9
974,13
91,4
483,10
300,2
201,9
68,3
386,16
812,6
153,14
506,11
247,5
411,12
173,7
446,15
146,7
681,15
431,9
235,14
514,7
184,4
219,6
913,13
62,6
342,16
598,15
538,13
498,8
363,12
139,8
57,16
984,9
922,11
196,4
504,7
879,12
166,4
981,16
404,5
621,8
480,4
21,1
84,16
383,15
821,9
614,10
187,15
758,7
707,1
773,15
611,4
997,12
714,14
489,2
526,16
255,12
920,13
779,15
704,5
33,7
658,11
256,15
767,12
340,13
289,13
157,3
482,4
422,14
615,2
117,10
601,16
562,12
534,8
565,9
941,10
155,13
468,3
989,16
18,2
962,4
175,8
246,9
937,13
573,3
868,16
765,5
491,3
705,9
780,8
716,11
741,12
186,7
228,4
636,12
563,10
121,2
250,1
664,1
722,11
145,8
234,14
430,2
471,4
651,2
745,15
964,1
357,4
449,14
521,7
799,11
698,6
837,5
267,13
461,2
34,11
613,5
259,2
362,10
458,8
666,7
189,10
885,11
883,3
261,6
204,7
949,10
200,10
945,6
87,16
12,12
713,6
934,10
507,10
525,4
532,15
373,3
638,5
687,6
245,2
739,7
105,1
74,12
143,7
546,10
923,7
260,15
836,15
975,8
284,12
588,3
150,6
702,11
536,4
942,7
183,8
863,14
127,5
273,8
398,12
17,12
558,13
915,1
757,6
149,3
677,13
813,15
465,13
274,6
960,6
176,15
27,15
542,1
604,5
5,8
282,7
552,6
609,16
947,9
85,6
310,10
325,2
203,14
701,10
972,14
324,5
379,7
108,13
744,4
467,9
223,2
50,8
678,15
51,12
756,5
590,13
522,5
128,9
323,15
316,10
591,10
457,6
816,2
142,6
169,16
134,2
271,1
330,2
829,8
726,9
415,11
443,5
644,2
684,10
706,7
967,14
391,8
463,15
355,2
243,2
925,6
369,14
199,6
156,6
732,1
76,12
763,15
988,16
652,4
905,5
418,7
53,8
233,16
13,11
721,12
708,6
72,6
650,6
861,10
309,8
776,6
73,14
216,13
800,11
321,13
485,3
65,11
268,2
338,14
881,11
719,15
665,11
185,9
341,4
435,9
871,5
148,9
348,8
980,12
429,15
107,7
451,16
70,2
182,5
625,14
633,4
635,13
992,6
545,9
999,3
414,9
337,9
669,9
654,10
419,8
673,12
493,9
438,10
333,12
303,1
327,1
403,7
226,13
492,13
916,2
9,11
645,16
572,14
575,6
101,6
384,12
592,12
723,14
152,3
965,11
648,16
38,1
292,1
35,11
914,16
674,9
624,10
440,9
377,8
82,8
737,11
116,4
195,14
659,1
529,5
844,15
205,1
305,13
761,3
785,16
890,15
903,16
484,4
356,3
740,11
982,1
884,12
270,13
497,6
130,1
841,15
402,2
311,9
810,8
567,9
909,11
416,9
138,14
933,13
699,10
352,10
639,8
447,10
211,10
503,15
368,7
455,9
632,13
798,14
607,9
437,8
986,2
612,15
823,1
459,9
895,4
830,11
753,8
524,5
375,1
531,9
892,2
768,3
603,8
891,4
464,2
898,15
977,16
872,16
675,13
825,1
276,5
806,13
520,14
628,15
462,12
985,14
711,14
858,5
848,16
578,4
679,8
511,1
283,13
307,16
198,9
718,12
847,13
37,4
557,8
501,1
959,3
775,7
750,13
22,13
653,11
549,1
32,13
585,7
45,13
97,1
439,7
445,4
133,12
237,15
190,4
209,7
299,16
81,14
24,11
954,13
876,11
646,10
442,8
320,13
476,8
75,16
668,15
995,11
28,5
794,1
114,14
98,7
887,2
747,10
938,5
805,2
824,8
401,7
729,15
344,3
193,2
314,2
760,13
657,5
512,4
249,4
16,9
730,13
90,13
95,13
239,2
944,7
473,7
551,13
875,15
543,16
453,15
254,15
387,10
663,4
990,11
10,15
413,5
257,16
313,11
380,9
1,6
926,6
808,4
850,1
862,4
220,12
30,11
956,10
569,2
533,9
353,9
516,12
746,10
560,10
733,15
147,8
159,5
513,16
115,1
420,15
487,4
92,11
1000,5
253,1
553,3
397,14
894,16
378,12
961,9
217,10
371,1
717,1
819,12
971,9
906,5
606,15
272,7
619,15
537,4
125,16
983,12
897,7
641,9
475,11
791,6
634,8
215,10
40,6
864,3
409,3
581,12
709,7
281,10
425,4
290,9
322,15
336,6
221,6
802,1
390,14
248,6
167,16
623,9
395,1
103,16
856,11
20,12
280,3
527,11
232,10
874,4
539,7
724,8
291,15
54,12
93,13
626,3
367,14
577,15
277,11
345,8
731,4
643,7
637,14
735,3
807,10
517,15
49,14
376,9
4,11
792,9
23,2
104,9
602,14
618,7
106,10
953,2
782,15
919,10
486,9
670,6
111,1
595,9
910,7
52,9
346,4
996,6
366,7
555,5
56,1
828,4
351,11
88,16
36,2
113,15
334,11
793,1
264,10
372,15
570,15
19,1
417,1
631,15
921,12
616,6
466,6
814,5
331,10
131,4
136,13
608,3
162,1
907,7
580,13
502,5
436,13
212,1
951,4
640,9
686,13
295,6
629,6
789,9
842,10
564,2
294,16
301,11
696,2
840,10
433,2
809,15
478,5
561,13
161,12
510,2
790,7
