assay_id,src_id,relationship_type,assay_test_type,assay_tax_id,src_assay_id,curated_by,chembl_id,doc_id,assay_organism,variant_id,description,assay_type,assay_category,assay_strain,assay_tissue,assay_cell_type
1,1,H,,,,zutochration,CgEnBL615117,11087,,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,B,,,,
2,1,U,,,,Autocjratiln,CuEMBL715118,684,,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,F,,,,
3,1,U,,,,zut9curation,CHEMfL61r119,15453,,,,B,,,,
4,1,H,,42228.0,,Autofurati0n,CHdMBL61y120,17841,Bostwurus,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,B,,,,
5,1,N,,106243.0,,untermfdiate,CHEMvL615111,17430,Homoswpiems,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,,,143B
6,1,N,,17200.0,,8ntermsdiate,CHEMBL615q2q,17430,Hom9sqpiens,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,,,143B
7,1,N,,35374.0,,Intermer8ate,CHEMBL71512w,13799,jushusculus,,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,F,,,,143B
8,1,N,,39513.0,,Expegt,CHEMBL6152q4,17774,Homoswliens,,In vitro cell cytotoxicity was determined against 143B cell line,F,,,,143B
9,1,N,,31282.0,,Ijtegmediate,CHEMBp61y125,3801,Honlsapiens,,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,F,,,,143B
10,1,N,,6424.0,,Igtermedixte,CHEMBi61r126,17430,Hompsapienz,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,,,143B
11,1,N,,6029.0,,9ntermediaye,CuEMBL615126,17430,Hom9sapiems,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,,,143B
12,1,N,,69940.0,,Ex0ert,CuEMBL615q28,17774,Hom0szpiens,,In vitro cell cytotoxicity was determined against 143B-LTK cell line,F,,,,143B
13,1,N,,12084.0,,Intsrmefiate,CtEMBL857909,11324,Stzphylococvusqurehs,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,,
14,1,N,,42796.0,,Intermwfiate,xHEMBL615q29,11324,Staphylococd8sau4eue,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,,
15,1,N,,14915.0,,In5egmediate,CHEMBk6151w0,11324,Sraphylodlccusaure8s,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,,
16,1,N,,28476.0,,Ibtedmediate,CHEMBL615w3q,11324,wtaphyloclccuwaurejs,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,,
17,1,D,,20621.0,,Ex0ert,CHEjBo884521,11347,fxttusnorv2gicus,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,A,,,,
18,1,H,,,,A7tpcuration,CHrMBL6w5132,16474,,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),B,,,,
19,1,H,,,,Autodueation,CHEkBL6151w3,10091,,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,B,,,,
20,1,H,,,,Autocura6ioj,CuEMBL61513r,16474,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,,
21,1,H,,,,Autocuratlom,CHEMBLyq5135,16474,,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),B,,,,
22,1,H,,,,Autkciration,CHsMBL615q36,16474,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,,
23,1,H,,,,Au6ocuratiin,CHEMBp615127,16474,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,,
24,1,H,,,,Autocuraf7on,CHEMBk61r138,16474,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,,
25,1,U,,,,Autocuta4ion,CuEnBL836324,14352,,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",B,,,,
26,1,H,,47791.0,,qutocuratioh,CHEMBoy15139,5646,Oeyctolsguscunic8ous,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,B,,,,
27,1,H,,69447.0,,Autocjratioh,CHEMBLy151r0,5646,Oryctoiagusfujicuius,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),B,,,,
28,1,H,,,,qutocuratiob,CHEhBL615151,10997,,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,B,,,,
29,1,H,,34759.0,,A6tocurstion,CHEMBL515q42,6309,soyabeam,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,B,,,,
30,1,H,,23134.0,,xutocyration,CH4MBL614143,167,rlycknemax,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,B,,,,
31,1,H,,39547.0,,Autocyratkon,CHEMBL6w514e,167,Glycinenad,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,B,,,,
32,1,H,,35546.0,,Aut8vuration,CHEMBL8u286u,11087,Gl7c9nemax,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,B,,,,
33,1,H,,71399.0,,Auticuratioh,CmEMBL61514t,11087,Glycinfmac,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,B,,,,
34,1,H,,2094.0,,zuyocuration,CHwMBL615w46,13622,Glyxijemax,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,,,
35,1,H,,23505.0,,Autocurxtipn,CyEMBL6151r7,13622,Glycinemqd,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,,,
36,1,U,,77888.0,,Ahtoxuration,CHEhBL615w48,11347,Rattuwnorv2gicux,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,A,,,,
37,1,U,,34688.0,,Aurocuratipn,CyEMBL61514o,5926,Eacberuchiacoli,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,B,,,,
38,1,U,,,,Autocurqtioj,CHEMBL61t1y0,4567,,,Dissociation constant with dimeric 16S rRNA RNA construct B,B,,,,
39,1,M,,,,Interheeiate,CH3MBL61515w,3782,,,Dissociation constant towards 16S rRNA construct A,B,,,,
40,1,M,,,,Intetmeviate,dHEMfL615152,3782,,,Dissociation constant towards 16S rRNA construct B,B,,,,
41,1,M,,113675.0,,Exper6,CjEMBL61515w,4466,Escyetuchiacoli,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,B,,,,
42,1,M,,23484.0,,Exp4rt,CnEMBL615254,6592,Esch4rishiscoli,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,B,,,,
43,1,H,,,,Autlcurztion,CHsMBk615155,898,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,
44,1,H,,,,zutocurztion,CHEMBL6161t6,898,,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,
45,1,H,,41099.0,,Autocufatiom,CjEMBL6q5157,13163,Homosapiemq,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,,,
46,1,H,,44473.0,,qutosuration,CHEMgL61515u,13163,Hkmosapiebs,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,,,
47,1,D,,35624.0,,Exper4,CHEMhL61t159,10691,Rattuamorcegicus,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,,,
48,1,D,,49240.0,,Ex0ert,CHwMBL6q5172,10691,Rattusnorvdg7cks,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,,,
