Fiscal year,Children issues (marker),Organisation ID,IRTC percent,Sector percent,Organisation name,Enviromental sustainability (marker),Continent ID,FSTC percent,Project number,Urban issues (marker),PBA type,CountryRegion ID,Continent name,Branch ID,Maximum CIDA contribution (project-level),Climate change adaptation (marker),Project Browser country ID,Sector name,Trade development (marker),Fund centre ID,Programming process (new),Disability issues (marker),Gender equality (marker),Climate change mitigation (marker),Status,Branch name,Division ID,Division name,Section ID,Section name,Regional program (marker),Fund centre name,Untied amount(Project-level budget),CFLI (marker),CIDA business delivery model (old),Bilateral aid (international marker),Desertification (marker)
2009/2010,0,Information not available,0.0,0.2,Information not available,0,3,1.0,A017716001,0,Not PBA,BD,Asia,B4100,8500267.65,0,BD,Democratic participation and civil society,0,4122,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,Bangladesh,8500267.65,0,Directive,1,0
2009/2010,0,Information not available,0.0,0.3,Information not available,0,3,1.0,A017716001,0,Not PBA,BD,Asia,B4100,8500267.65,0,BD,Informal/semi-formal financial intermediaries,0,4122,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,Bangladesh,8500267.65,0,Directive,1,0
2009/2010,0,Information not available,0.0,0.5,Information not available,0,3,1.0,A017716001,0,Not PBA,BD,Asia,B4100,8500267.65,0,BD,Privatization,0,4122,Uncoded: Pre-APP,0,2,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,Bangladesh,8500267.65,0,Directive,1,0
2009/2010,0,10050,0.0,1.0,Department of Foreign Affairs and International Trade,0,3,0.0,A018652001,0,Not PBA,PS,Asia,B3100,500458.33,0,PS,Sectors not specified,0,4265,Uncoded: Pre-APP,0,0,0,Closed,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4264,West Bank Gaza & Palestinian Refugees,0,West Bank Gaza,0.0,0,Directive,1,0
2009/2010,0,10050,0.0,0.5,Department of Foreign Affairs and International Trade,0,2,1.0,A018893001,1,Not PBA,ML,Africa,B4200,14410076.46,0,ML,Employment policy and administrative management,0,4216,Uncoded: Pre-APP,0,2,0,Closed,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,Mali,14410076.46,0,Responsive,1,0
2009/2010,0,10050,0.0,0.4,Department of Foreign Affairs and International Trade,0,2,1.0,A018893001,1,Not PBA,ML,Africa,B4200,14410076.46,0,ML,Construction policy and administrative management,0,4216,Uncoded: Pre-APP,0,2,0,Closed,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,Mali,14410076.46,0,Responsive,1,0
2009/2010,0,10050,0.0,0.1,Department of Foreign Affairs and International Trade,0,2,1.0,A018893001,1,Not PBA,ML,Africa,B4200,14410076.46,0,ML,Urban development and management,0,4216,Uncoded: Pre-APP,0,2,0,Closed,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,Mali,14410076.46,0,Responsive,1,0
2009/2010,0,10050,0.0,0.4,Department of Foreign Affairs and International Trade,0,3,1.0,A019043001,0,Not PBA,PK,Asia,B4100,13743220.56,0,PK,Public sector policy and administrative management,0,4124,Uncoded: Pre-APP,0,0,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,13743220.56,0,Responsive,1,0
2009/2010,0,10050,0.0,0.4,Department of Foreign Affairs and International Trade,0,3,1.0,A019043001,0,Not PBA,PK,Asia,B4100,13743220.56,0,PK,Public finance management,0,4124,Uncoded: Pre-APP,0,0,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,13743220.56,0,Responsive,1,0
2009/2010,0,10050,0.0,0.2,Department of Foreign Affairs and International Trade,0,3,1.0,A019043001,0,Not PBA,PK,Asia,B4100,13743220.56,0,PK,Social/welfare services,0,4124,Uncoded: Pre-APP,0,0,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,13743220.56,0,Responsive,1,0
2009/2010,0,1000378,0.0,1.0,DEVPAR FINANCIAL CONSULTING LTD,0,1,1.0,A019362001,0,Not PBA,JM,America,B4400,3441416.83,0,JM,Informal/semi-formal financial intermediaries,0,4439,Uncoded: Pre-APP,0,0,0,Closed,NGM Americas,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,Caribbean Regional - Jamaica,3441416.83,0,Responsive,1,0
2009/2010,0,1001165,0.0,1.0,MM LYNCH CONSULTANTS INTERNATIONAL,0,1,1.0,A019362001,0,Not PBA,JM,America,B4400,3441416.83,0,JM,Informal/semi-formal financial intermediaries,0,4439,Uncoded: Pre-APP,0,0,0,Closed,NGM Americas,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,Caribbean Regional - Jamaica,3441416.83,0,Responsive,1,0
2009/2010,0,1000335,0.0,0.2,Cowater International Inc.,1,2,1.0,A019608001,0,Not PBA,EG,Africa,B3100,16700508.62,0,EG,Democratic participation and civil society,0,4263,Uncoded: Pre-APP,0,0,0,Closed,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,Egypt,0.0,0,Directive,1,0
2009/2010,0,1000335,0.0,0.05,Cowater International Inc.,1,2,1.0,A019608001,0,Not PBA,EG,Africa,B3100,16700508.62,0,EG,Formal sector financial intermediaries,0,4263,Uncoded: Pre-APP,0,0,0,Closed,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,Egypt,0.0,0,Directive,1,0
2009/2010,0,1000335,0.0,0.05,Cowater International Inc.,1,2,1.0,A019608001,0,Not PBA,EG,Africa,B3100,16700508.62,0,EG,Business support services and institutions,0,4263,Uncoded: Pre-APP,0,0,0,Closed,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,Egypt,0.0,0,Directive,1,0
2009/2010,0,1000335,0.0,0.05,Cowater International Inc.,1,2,1.0,A019608001,0,Not PBA,EG,Africa,B3100,16700508.62,0,EG,Industrial policy and administrative management,0,4263,Uncoded: Pre-APP,0,0,0,Closed,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,Egypt,0.0,0,Directive,1,0
2009/2010,0,1000335,0.0,0.25,Cowater International Inc.,1,2,1.0,A019608001,0,Not PBA,EG,Africa,B3100,16700508.62,0,EG,Small and medium-sized enterprises (SME) development,0,4263,Uncoded: Pre-APP,0,0,0,Closed,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,Egypt,0.0,0,Directive,1,0
2009/2010,0,1000335,0.0,0.15,Cowater International Inc.,1,2,1.0,A019608001,0,Not PBA,EG,Africa,B3100,16700508.62,0,EG,Technological research and development,0,4263,Uncoded: Pre-APP,0,0,0,Closed,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,Egypt,0.0,0,Directive,1,0
2009/2010,0,1000335,0.0,0.05,Cowater International Inc.,1,2,1.0,A019608001,0,Not PBA,EG,Africa,B3100,16700508.62,0,EG,Environmental policy and administrative management,0,4263,Uncoded: Pre-APP,0,0,0,Closed,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,Egypt,0.0,0,Directive,1,0
2009/2010,0,1000335,0.0,0.2,Cowater International Inc.,1,2,1.0,A019608001,0,Not PBA,EG,Africa,B3100,16700508.62,0,EG,Biosphere protection,0,4263,Uncoded: Pre-APP,0,0,0,Closed,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,Egypt,0.0,0,Directive,1,0
2009/2010,0,10050,0.0,1.0,Department of Foreign Affairs and International Trade,0,2,0.998334353,A020161001,0,Not PBA,DZ,Africa,B3100,328400.96,0,DZ,Multisector aid,0,4259,Uncoded: Pre-APP,0,2,0,Closed,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,*Algeria,0.0,0,Directive,1,0
2009/2010,0,10050,0.0,0.2,Department of Foreign Affairs and International Trade,0,1,1.0,A020195001,0,Not PBA,HT,America,B4400,4610501.0,0,HT,Democratic participation and civil society,0,4452,Uncoded: Pre-APP,0,3,0,Closed,NGM Americas,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,0,Haiti,4000000.0,0,Directive,1,0
2009/2010,0,10050,0.0,0.8,Department of Foreign Affairs and International Trade,0,1,1.0,A020195001,0,Not PBA,HT,America,B4400,4610501.0,0,HT,Human rights,0,4452,Uncoded: Pre-APP,0,3,0,Closed,NGM Americas,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,0,Haiti,4000000.0,0,Directive,1,0
2009/2010,0,1000852,0.0,0.2,Parliamentary Centre,0,2,1.0,A020222001,0,Not PBA,ET,Africa,B4200,4229943.14,0,ET,Public sector policy and administrative management,0,4229,Uncoded: Pre-APP,0,2,0,Closed,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,Ethiopia,0.0,0,Directive,1,0
2009/2010,0,1000852,0.0,0.2,Parliamentary Centre,0,2,1.0,A020222001,0,Not PBA,ET,Africa,B4200,4229943.14,0,ET,Public finance management,0,4229,Uncoded: Pre-APP,0,2,0,Closed,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,Ethiopia,0.0,0,Directive,1,0
2009/2010,0,1000852,0.0,0.2,Parliamentary Centre,0,2,1.0,A020222001,0,Not PBA,ET,Africa,B4200,4229943.14,0,ET,Legal and judicial development,0,4229,Uncoded: Pre-APP,0,2,0,Closed,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,Ethiopia,0.0,0,Directive,1,0
