assays_assay_id,assays_src_id,assays_tissue_id,assays_confidence_score,assays_doc_id,assays_assay_organism,assays_assay_subcellular_fraction,assays_tid,assays_relationship_type,assays_curated_by,assays_src_assay_id,assays_chembl_id,assays_cell_id,assays_bao_format,assays_variant_id
1,1,,8,11087,,,12052,H,Autocuration,,CHEMBL615117,,BAO_0000019,
2,1,,0,684,,,22226,U,Autocuration,,CHEMBL615118,,BAO_0000219,
3,1,,0,15453,,,22226,U,Autocuration,,CHEMBL615119,,BAO_0000019,
4,1,,4,17841,Bos taurus,,104729,H,Autocuration,,CHEMBL615120,,BAO_0000249,
5,1,,1,17430,Homo sapiens,,80001,N,Intermediate,,CHEMBL615121,163.0,BAO_0000219,
6,1,,1,17430,Homo sapiens,,80001,N,Intermediate,,CHEMBL615122,163.0,BAO_0000219,
7,1,,1,13799,Mus musculus,,80001,N,Intermediate,,CHEMBL615123,163.0,BAO_0000219,
8,1,,1,17774,Homo sapiens,,80001,N,Expert,,CHEMBL615124,163.0,BAO_0000219,
9,1,,1,3801,Homo sapiens,,80001,N,Intermediate,,CHEMBL615125,163.0,BAO_0000219,
10,1,,1,17430,Homo sapiens,,80001,N,Intermediate,,CHEMBL615126,163.0,BAO_0000219,
11,1,,1,17430,Homo sapiens,,80001,N,Intermediate,,CHEMBL615127,163.0,BAO_0000219,
12,1,,1,17774,Homo sapiens,,80001,N,Expert,,CHEMBL615128,163.0,BAO_0000219,
13,1,,1,11324,Staphylococcus aureus,,50185,N,Intermediate,,CHEMBL857900,,BAO_0000218,
14,1,,1,11324,Staphylococcus aureus,,50185,N,Intermediate,,CHEMBL615129,,BAO_0000218,
15,1,,1,11324,Staphylococcus aureus,,50185,N,Intermediate,,CHEMBL615130,,BAO_0000218,
16,1,,1,11324,Staphylococcus aureus,,50185,N,Intermediate,,CHEMBL615131,,BAO_0000218,
17,1,,9,11347,Rattus norvegicus,,100122,D,Expert,,CHEMBL884521,,BAO_0000357,
18,1,,8,16474,,,12054,H,Autocuration,,CHEMBL615132,,BAO_0000357,
19,1,,8,10091,,,12054,H,Autocuration,,CHEMBL615133,,BAO_0000019,
20,1,,8,16474,,,12054,H,Autocuration,,CHEMBL615134,,BAO_0000357,
21,1,,8,16474,,,12054,H,Autocuration,,CHEMBL615135,,BAO_0000357,
22,1,,8,16474,,,12054,H,Autocuration,,CHEMBL615136,,BAO_0000357,
23,1,,8,16474,,,12054,H,Autocuration,,CHEMBL615137,,BAO_0000357,
24,1,,8,16474,,,12054,H,Autocuration,,CHEMBL615138,,BAO_0000357,
25,1,,0,14352,,,22226,U,Autocuration,,CHEMBL836324,,BAO_0000219,
26,1,,8,5646,Oryctolagus cuniculus,,12054,H,Autocuration,,CHEMBL615139,,BAO_0000357,
27,1,,8,5646,Oryctolagus cuniculus,,12054,H,Autocuration,,CHEMBL615140,,BAO_0000357,
28,1,,8,10997,,,12426,H,Autocuration,,CHEMBL615141,,BAO_0000219,
29,1,,8,6309,soya bean,,12054,H,Autocuration,,CHEMBL615142,,BAO_0000357,
30,1,,8,167,Glycine max,,12054,H,Autocuration,,CHEMBL615143,,BAO_0000357,
31,1,,8,167,Glycine max,,12054,H,Autocuration,,CHEMBL615144,,BAO_0000357,
32,1,,8,11087,Glycine max,,12054,H,Autocuration,,CHEMBL872867,,BAO_0000357,
33,1,,8,11087,Glycine max,,12054,H,Autocuration,,CHEMBL615145,,BAO_0000357,
34,1,,8,13622,Glycine max,,12054,H,Autocuration,,CHEMBL615146,,BAO_0000357,
35,1,,8,13622,Glycine max,,12054,H,Autocuration,,CHEMBL615147,,BAO_0000357,
36,1,,0,11347,Rattus norvegicus,,22226,U,Autocuration,,CHEMBL615148,,BAO_0000019,
37,1,,0,5926,Escherichia coli,,22226,U,Autocuration,,CHEMBL615149,,BAO_0000019,
38,1,,0,4567,,,22226,U,Autocuration,,CHEMBL615150,,BAO_0000019,
39,1,,3,3782,,,22222,M,Intermediate,,CHEMBL615151,,BAO_0000225,
40,1,,3,3782,,,22222,M,Intermediate,,CHEMBL615152,,BAO_0000225,
41,1,,3,4466,Escherichia coli,,100263,M,Expert,,CHEMBL615153,,BAO_0000225,
42,1,,3,6592,Escherichia coli,,100263,M,Expert,,CHEMBL615154,,BAO_0000225,
43,1,,8,898,,,13053,H,Autocuration,,CHEMBL615155,,BAO_0000019,
44,1,,8,898,,,13053,H,Autocuration,,CHEMBL615156,,BAO_0000019,
45,1,,8,13163,Homo sapiens,,20001,H,Autocuration,,CHEMBL615157,,BAO_0000019,
46,1,,8,13163,Homo sapiens,,20001,H,Autocuration,,CHEMBL615158,,BAO_0000019,
47,1,,9,10691,Rattus norvegicus,,12971,D,Expert,,CHEMBL615159,,BAO_0000019,
48,1,,9,10691,Rattus norvegicus,,12971,D,Expert,,CHEMBL615172,,BAO_0000019,
49,1,,9,10691,Rattus norvegicus,,12971,D,Expert,,CHEMBL615173,,BAO_0000019,
50,1,,9,10691,Rattus norvegicus,,12971,D,Expert,,CHEMBL615174,,BAO_0000019,
51,1,,8,898,,,13053,H,Autocuration,,CHEMBL884518,,BAO_0000019,
52,1,,8,912,,,11512,H,Autocuration,,CHEMBL615175,,BAO_0000357,
53,1,,8,912,,,11512,H,Autocuration,,CHEMBL615176,,BAO_0000357,
54,1,,8,912,,,11512,H,Autocuration,,CHEMBL615177,,BAO_0000357,
55,1,,5,15103,Rattus norvegicus,Membranes,104740,D,Autocuration,,CHEMBL615178,,BAO_0000249,
56,1,,1,5116,Homo sapiens,,80002,N,Intermediate,,CHEMBL615179,506.0,BAO_0000219,
57,1,,7,14578,Rattus norvegicus,,104835,D,Autocuration,,CHEMBL615180,,BAO_0000219,
58,1,,7,14578,Rattus norvegicus,,104821,D,Autocuration,,CHEMBL615181,,BAO_0000219,
59,1,,7,14578,Rattus norvegicus,,104848,D,Autocuration,,CHEMBL615182,,BAO_0000219,
60,1,,1,4787,Homo sapiens,,80002,N,Expert,,CHEMBL615183,506.0,BAO_0000219,
61,1,,1,4787,Homo sapiens,,80002,N,Intermediate,,CHEMBL615184,506.0,BAO_0000219,
62,1,,1,3547,Homo sapiens,,80002,N,Intermediate,,CHEMBL615185,506.0,BAO_0000219,
63,1,,1,3547,Homo sapiens,,80002,N,Intermediate,,CHEMBL615186,506.0,BAO_0000219,
64,1,,1,6726,Homo sapiens,,80002,N,Intermediate,,CHEMBL615187,506.0,BAO_0000219,
65,1,,1,3455,Homo sapiens,,80002,N,Expert,,CHEMBL885343,506.0,BAO_0000219,
66,1,,1,5726,Homo sapiens,,80002,N,Intermediate,,CHEMBL615188,506.0,BAO_0000219,
67,1,,1,5726,Homo sapiens,,80002,N,Intermediate,,CHEMBL615189,506.0,BAO_0000219,
68,1,,1,5726,Homo sapiens,,80002,N,Intermediate,,CHEMBL615190,506.0,BAO_0000219,
69,1,,1,3395,Homo sapiens,,80002,N,Intermediate,,CHEMBL615191,506.0,BAO_0000219,
70,1,,1,3415,Homo sapiens,,80002,N,Expert,,CHEMBL615192,506.0,BAO_0000219,
71,1,,1,3415,Homo sapiens,,80002,N,Expert,,CHEMBL827083,506.0,BAO_0000219,
72,1,,1,17099,Homo sapiens,,80002,N,Expert,,CHEMBL615193,506.0,BAO_0000219,
73,1,,1,17099,Homo sapiens,,80002,N,Intermediate,,CHEMBL615194,506.0,BAO_0000219,
74,1,,1,17099,Homo sapiens,,80002,N,Intermediate,,CHEMBL615195,506.0,BAO_0000219,
75,1,,1,17099,Homo sapiens,,80002,N,Intermediate,,CHEMBL615196,506.0,BAO_0000219,
76,1,,1,17721,Homo sapiens,,81072,N,Intermediate,,CHEMBL615197,503.0,BAO_0000219,
77,1,,0,1229,,,22226,U,Intermediate,,CHEMBL615198,,BAO_0000019,
