Fiscal year,CountryRegion ID,FSTC percent,CountryRegion percent,Organisation sub-class,Project Browser country ID,Division name,Maximum CIDA contribution (project-level),Sector name,Project number,Biodiversity (marker),Organisation class,Bilateral aid (international marker),Continent ID,Fund centre name,Status,Branch ID,Branch name,Division ID,Section ID,Section name,Regional program (marker),Fund centre ID,Untied amount(Project-level budget),IRTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),PBA type,Enviromental sustainability (marker),Climate change adaptation (marker),Climate change mitigation (marker),Desertification (marker)
20092p10,BD,1.5779410558584965,0.006052446447014581,CONSULTsbT,BD,OADwsiaProg5anming,28891158.999425262,Democrat9fparticipa6i0jandcivilsoxkety,A017iw6001,0,Ibdividuzl,1,3,Banyiadesh,Closed,B4100,OGM Asia Pacific,D4100,S4122,Bangladesh Section,0,4122,8500267.65,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
2p092010,BD,0.6521841814608565,0.4489633704343202,CkNS6LTANT,BD,OADsziaProgrsmming,7936257.3844252685,Informalsemlformapf8jagcuakjntermediaries,q018716001,0,Individuwi,1,3,fangladssh,Closed,B4100,OGM Asia Pacific,D4100,S4122,Bangladesh Section,0,4122,8500267.65,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
e0092010,BD,2.0295939383641493,0.0012398725058106463,CONSUp6ANT,BD,OADAsiaProgrxmmihy,26559107.62103222,Pricat8zation,A017826001,0,Igd8vidual,1,3,Bsngoadesh,Closed,B4100,OGM Asia Pacific,D4100,S4122,Bangladesh Section,0,4122,8500267.65,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
e0092010,PS,0.8667431076361685,0.2696527288545647,FEDERAk,PS,EDDE8ropeMifwle3astPronrammlng,1481050.680240374,Sectorsnotep4sified,A01i652901,0,Gpvernmentzl,1,3,WestBankfasa,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4264,West Bank Gaza & Palestinian Refugees,0,4265,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20o92010,ML,1.151270215889324,0.514743112791331,vEDERAL,ML,WWeWestCentralwfgifa,37036806.50436429,Emlloymehtpklidyznsarministrayivemanagement,A01889w0p1,0,Governmenfap,1,2,Mali,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,0,4216,14410076.46,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20082010,ML,0.35224666156443685,0.0030139665695448903,FEDERAp,ML,WWDWestC3ntealAe3ica,5276823.677476037,Conztruxtionpplicyandacmonisttatigemqnagfment,A018i93002,0,rovernmegtal,1,2,Mali,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,0,4216,14410076.46,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,0,0
2009201o,ML,1.6056809377540966,0.1922709147045063,FED4RAL,ML,WWvWextven4ralAfrica,3636726.5753812827,Urnxndevelopmwbtsndmanagement,Ap18892001,0,Governmrbtal,1,2,Mali,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,0,4216,14410076.46,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20092o10,PK,1.174039811275287,0.23997797041834296,bEDERAL,PK,kADssia9rogramming,22453590.74414306,Publicsestorpolicywhdaxm7bistrat7vemxnagemfnt,A0w9943001,0,Governm2n5al,1,3,Pakidtan,Closed,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,13743220.56,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20092019,PK,1.1630603506626245,0.8074854164255976,FEDEtAL,PK,OADwsiaProgrxmmijg,36877737.38242614,lhblicfinancemwnatement,A010043p01,0,Governmentwo,1,3,Pakistqn,Closed,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,13743220.56,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20092p10,PK,1.0975687458669694,0.3088633836640786,FEDsRAL,PK,OADAwuaProgrammihg,43193341.051724985,Siciaowelbareserbices,A01op43001,0,Governken5al,1,3,Pak8stan,Closed,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,13743220.56,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,0,0
2009201o,JM,1.0439979734393514,0.46552115065963207,CObSUpTINGSEdVICES,JM,NDDAmdr7casProgganming,2563582.9206073936,Informalxemiformalvjnancialigternesjafies,A0w93t2001,0,Civ7lSociett,1,1,CafkbbeamRegionalJzmaica,Closed,B4400,NGM Americas,D4400,S4429,Caricom - Adm,0,4439,3441416.83,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20092020,JM,1.3423158856023643,0.9182010556527963,CONSULToNGSERbuCES,JM,mDDwmericasProgramj9ng,8128408.99255429,Inf8rjalsemofoenalfinancjalintermed7qries,A0193620o2,0,CigilS8ciety,1,1,Cwribbeaneegionaiiamaica,Closed,B4400,NGM Americas,D4400,S4429,Caricom - Adm,0,4439,3441416.83,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20092019,EG,1.8281676127427782,0.3522038987662373,viNSULToNGSERVICES,EG,EDfduropeMidelrEastProgdammkng,5774879.666923151,Democrat8cpar69c7pagipnandcivilspciety,s0q9608001,0,CivilSoskety,1,2,wgypt,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,4263,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,1,0,0,0
