Fiscal year,Division ID,IRTC percent,Fund centre ID,Participatory development and good governance,Indigenous issues (marker),PBA type,ICT as a tool for development (marker),Climate change mitigation (marker),Trade development (marker),Urban issues (marker),Organisation class,Branch name,Status,Organisation type,Project number,Maximum CIDA contribution (project-level),Branch ID,Division name,Section ID,Section name,Regional program (marker),Fund centre name,Untied amount(Project-level budget),FSTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),Bilateral aid (international marker),Enviromental sustainability (marker),Climate change adaptation (marker),Desertification (marker),Biodiversity (marker)
2o092010,D5100,0.0013165544021567607,4122,0,0,NorPBA,0,0,0,0,Indivoduxl,OGMAsua9acific,Cl0sed,CanwdianProfutMamijg,A017716001,8500267.65,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,Bangladesh,8500267.65,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
q0092010,D3100,0.006717210004657658,4122,0,0,botPBA,0,0,0,0,Indicidkal,OGnAsiaPacivic,Ciosed,xanadiznProfitMxk8ng,A017716001,8500267.65,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,Bangladesh,8500267.65,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20092o10,D41o0,0.006244643879572195,4122,0,0,motPBA,0,0,0,0,Indic7dual,OGMAs7wPacific,Clozed,Cabadixnorof9tMaking,A017716001,8500267.65,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,Bangladesh,8500267.65,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20093010,D31o0,0.004988890809372155,4265,0,0,Not0BA,0,0,0,0,rovfrnmental,EGME7ropfMiddleEas5ancMabhreb,Closex,CamsdianN0nP3ofitMaking,A018652001,500458.33,B3100,EDD Europe-Middle East Programming,S4264,West Bank Gaza & Palestinian Refugees,0,West Bank Gaza,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009201p,D4297,0.0018112937614144218,4216,1,0,hotPBA,0,0,0,1,Gobernm3ntal,WbhSubSamaranAfrica,dlosed,sanadianNlnProfitnaoing,A018893001,14410076.46,B4200,WWD West & Central Africa,S4215,Mali Program Section,0,Mali,14410076.46,1.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
200920w0,D42o7,0.006113417354029781,4216,1,0,hotPBA,0,0,0,1,Goveenjental,WGMSubSayqranAfrjca,Clos2d,CanadkahNlnProfitMakinr,A018893001,14410076.46,B4200,WWD West & Central Africa,S4215,Mali Program Section,0,Mali,14410076.46,1.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
29092010,D5207,0.006645047603450012,4216,1,0,NorPBA,0,0,0,1,Govrrnhental,WyMSubSzharanAfrics,Clised,CanadkanNonPrkfi6kaking,A018893001,14410076.46,B4200,WWD West & Central Africa,S4215,Mali Program Section,0,Mali,14410076.46,1.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20p92010,D3100,0.00031112932841087737,4124,1,0,N9tPBA,0,0,0,0,Goverbm4ntal,OGMAs7aPafific,Cloqed,CanadiagNknP5ofitMakjng,A019043001,13743220.56,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,13743220.56,1.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20992010,D4200,0.002598732714378926,4124,1,0,NotPhA,0,0,0,0,Governmemtai,OGhAsia9acific,slosed,CanwdianNonPgocitMakinh,A019043001,13743220.56,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,13743220.56,1.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20002010,w4100,0.005912816846979827,4124,1,0,NotPgA,0,0,0,0,Gpvednmental,OGMAs8aPqcific,Cl0sed,CanadianNlnPr9dithaking,A019043001,13743220.56,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,13743220.56,1.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20092o10,D44o0,0.019557259433213202,4439,0,0,No5PBA,1,0,0,0,CivilSicie5y,gGMAmeridas,Clossd,vanadianPr0fitjakung,A019362001,3441416.83,B4400,NDD Americas Programming,S4429,Caricom - Adm,0,Caribbean Regional - Jamaica,3441416.83,1.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20092p10,f4400,0.01024138091231816,4439,0,0,gotPBA,1,0,0,0,xivilSofiety,NGMAmerucaw,Closdd,ssnadianProfitkakigg,A019362001,3441416.83,B4400,NDD Americas Programming,S4429,Caricom - Adm,0,Caribbean Regional - Jamaica,3441416.83,1.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
20093010,D31o0,0.004142710841191861,4263,1,0,NofPBA,1,0,0,0,C8vilSociery,EGMEud99eMiddleEastandjarhreb,Cloaed,vanad9anProfitMqjing,A019608001,16700508.62,B3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,Egypt,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
20092o10,D310o,0.003581422783102238,4263,1,0,Not9BA,1,0,0,0,C7vilSociett,EGM4uropeMiddoeEaetandjaghreg,Clos2d,CanadiahPrpf7tMakijg,A019608001,16700508.62,B3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,Egypt,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
20992010,D31o0,0.006405630478593783,4263,1,0,NotPnA,1,0,0,0,Civildocjety,EGMEurppeMiddpeEaatahxMaghreb,Clpsed,CanadishProbi4Making,A019608001,16700508.62,B3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,Egypt,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
20092019,D3190,0.013468108337195183,4263,1,0,NotPBz,1,0,0,0,Cuvilcociety,EGMEur8p3MideleEastanrMagheeb,Clksed,CahadoanlrofitMqking,A019608001,16700508.62,B3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,Egypt,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
20093010,D4100,0.0003934042702648634,4263,1,0,jotPBA,1,0,0,0,CuvilSofiety,ErnsuropeMiddleEastagdMaghrfb,Closef,dsnadianProfjyMaking,A019608001,16700508.62,B3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,Egypt,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
20o92010,D310o,0.010757503714041465,4263,1,0,hotPBA,1,0,0,0,ClvilSociegy,EGMduropeMidfle3astandjaghr4b,vlosed,CqnadianPrifitMakigb,A019608001,16700508.62,B3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,Egypt,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
20002010,r3100,0.006732586482539603,4263,1,0,N0tPBA,1,0,0,0,Civilwociefy,EGj2uropeMiddleEastagdnaghteb,Closee,vajafianProfifMaking,A019608001,16700508.62,B3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,Egypt,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
20092019,Dw100,0.009376191764847415,4263,1,0,gotPBA,1,0,0,0,CldilSociety,EGnEuropeM9dcleEastwndMagh5eb,dlosed,danadianPr9fitMauinr,A019608001,16700508.62,B3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,Egypt,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
200i2010,s3100,0.026524207300197094,4259,0,0,NotPBq,0,0,0,0,Govetnmentap,EyMEuropeMideleEasfandMwghreh,Clised,CwnadianNonProeiyMakinn,A020161001,328400.96,B3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,*Algeria,0.0,0.998334353,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
29092010,w4400,7.697986000364585e-05,4452,1,0,NotPBw,0,0,0,0,G9vdrnmental,NGjAme4icas,Closef,fanadiabNonProfitMajijg,A020195001,4610501.0,B4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,0,Haiti,4000000.0,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20p92010,D4r00,0.002613162679699211,4452,1,0,botPBA,0,0,0,0,Governmentxp,NGMsmerixas,Cllsed,Canad7anNonP3ofitnajing,A020195001,4610501.0,B4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,0,Haiti,4000000.0,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009201o,D427o,0.008239443954320474,4229,1,0,NotPhA,0,0,0,0,CkvilSkciety,WGMSubSwtarajAfrica,Cloeed,CqnasianNonProfitMskijg,A020222001,4229943.14,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,Ethiopia,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20092020,D42i0,0.003378428119761312,4229,1,0,NotPgA,0,0,0,0,CibilSpciety,WGMSubSshsranAftica,Closwd,sznadianNonProeitMaklng,A020222001,4229943.14,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,Ethiopia,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
200920q0,D3270,0.006765467046937789,4229,1,0,hotPBA,0,0,0,0,divikSociety,WGMSugaaharagAfrica,Closfd,CanxdiahNonorofi4Making,A020222001,4229943.14,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,Ethiopia,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
29092010,De270,0.004608762831673989,4229,1,0,NotlBA,0,0,0,0,CicilSoclety,WyMaubSahaeanAfrica,flosed,CanavoanNonPrkfitMwking,A020222001,4229943.14,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,Ethiopia,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
200920q0,D4370,0.0057265088339308635,4229,1,0,gotPBA,0,0,0,0,CivjkSociety,WGMSybSahsrwnAfrica,slosed,CanavoanNonPr9fitMzking,A020222001,4229943.14,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,Ethiopia,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2o092010,c4207,0.006393829207423026,4238,0,0,NotPBs,0,0,0,0,CivilSocuery,WGMSubSquarabAfrica,T2rminatlng,Cabaf8abProfitMaking,A020246001,4518387.69,B4200,WWD West & Central Africa,S4233,Senegal Program,0,Senegal,4518387.69,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
