ss_d,ss_sbclllr_frctn,cnfdnc_scr,tss_d,vrnt_d,rltnshp_tp,ss_tss,ss_cll_tp,td,crtd_b,src_d,src_ss_d,chmbl_d,cll_d,b_frmt
1,,8,,,H,,,12052,Autocuration,1,,CHEMBL615117,,BAO_0000019
2,,0,,,U,,,22226,Autocuration,1,,CHEMBL615118,,BAO_0000219
3,,0,,,U,,,22226,Autocuration,1,,CHEMBL615119,,BAO_0000019
4,,4,,,H,,,104729,Autocuration,1,,CHEMBL615120,,BAO_0000249
5,,1,,,N,,143B,80001,Intermediate,1,,CHEMBL615121,163.0,BAO_0000219
6,,1,,,N,,143B,80001,Intermediate,1,,CHEMBL615122,163.0,BAO_0000219
7,,1,,,N,,143B,80001,Intermediate,1,,CHEMBL615123,163.0,BAO_0000219
8,,1,,,N,,143B,80001,Expert,1,,CHEMBL615124,163.0,BAO_0000219
9,,1,,,N,,143B,80001,Intermediate,1,,CHEMBL615125,163.0,BAO_0000219
10,,1,,,N,,143B,80001,Intermediate,1,,CHEMBL615126,163.0,BAO_0000219
11,,1,,,N,,143B,80001,Intermediate,1,,CHEMBL615127,163.0,BAO_0000219
12,,1,,,N,,143B,80001,Expert,1,,CHEMBL615128,163.0,BAO_0000219
13,,1,,,N,,,50185,Intermediate,1,,CHEMBL857900,,BAO_0000218
14,,1,,,N,,,50185,Intermediate,1,,CHEMBL615129,,BAO_0000218
15,,1,,,N,,,50185,Intermediate,1,,CHEMBL615130,,BAO_0000218
16,,1,,,N,,,50185,Intermediate,1,,CHEMBL615131,,BAO_0000218
17,,9,,,D,,,100122,Expert,1,,CHEMBL884521,,BAO_0000357
18,,8,,,H,,,12054,Autocuration,1,,CHEMBL615132,,BAO_0000357
19,,8,,,H,,,12054,Autocuration,1,,CHEMBL615133,,BAO_0000019
20,,8,,,H,,,12054,Autocuration,1,,CHEMBL615134,,BAO_0000357
21,,8,,,H,,,12054,Autocuration,1,,CHEMBL615135,,BAO_0000357
22,,8,,,H,,,12054,Autocuration,1,,CHEMBL615136,,BAO_0000357
23,,8,,,H,,,12054,Autocuration,1,,CHEMBL615137,,BAO_0000357
24,,8,,,H,,,12054,Autocuration,1,,CHEMBL615138,,BAO_0000357
25,,0,,,U,,,22226,Autocuration,1,,CHEMBL836324,,BAO_0000219
26,,8,,,H,,,12054,Autocuration,1,,CHEMBL615139,,BAO_0000357
27,,8,,,H,,,12054,Autocuration,1,,CHEMBL615140,,BAO_0000357
28,,8,,,H,,,12426,Autocuration,1,,CHEMBL615141,,BAO_0000219
29,,8,,,H,,,12054,Autocuration,1,,CHEMBL615142,,BAO_0000357
30,,8,,,H,,,12054,Autocuration,1,,CHEMBL615143,,BAO_0000357
31,,8,,,H,,,12054,Autocuration,1,,CHEMBL615144,,BAO_0000357
32,,8,,,H,,,12054,Autocuration,1,,CHEMBL872867,,BAO_0000357
33,,8,,,H,,,12054,Autocuration,1,,CHEMBL615145,,BAO_0000357
34,,8,,,H,,,12054,Autocuration,1,,CHEMBL615146,,BAO_0000357
35,,8,,,H,,,12054,Autocuration,1,,CHEMBL615147,,BAO_0000357
36,,0,,,U,,,22226,Autocuration,1,,CHEMBL615148,,BAO_0000019
37,,0,,,U,,,22226,Autocuration,1,,CHEMBL615149,,BAO_0000019
38,,0,,,U,,,22226,Autocuration,1,,CHEMBL615150,,BAO_0000019
39,,3,,,M,,,22222,Intermediate,1,,CHEMBL615151,,BAO_0000225
40,,3,,,M,,,22222,Intermediate,1,,CHEMBL615152,,BAO_0000225
41,,3,,,M,,,100263,Expert,1,,CHEMBL615153,,BAO_0000225
42,,3,,,M,,,100263,Expert,1,,CHEMBL615154,,BAO_0000225
43,,8,,,H,,,13053,Autocuration,1,,CHEMBL615155,,BAO_0000019
44,,8,,,H,,,13053,Autocuration,1,,CHEMBL615156,,BAO_0000019
45,,8,,,H,,,20001,Autocuration,1,,CHEMBL615157,,BAO_0000019
46,,8,,,H,,,20001,Autocuration,1,,CHEMBL615158,,BAO_0000019
47,,9,,,D,,,12971,Expert,1,,CHEMBL615159,,BAO_0000019
48,,9,,,D,,,12971,Expert,1,,CHEMBL615172,,BAO_0000019
49,,9,,,D,,,12971,Expert,1,,CHEMBL615173,,BAO_0000019
50,,9,,,D,,,12971,Expert,1,,CHEMBL615174,,BAO_0000019
51,,8,,,H,,,13053,Autocuration,1,,CHEMBL884518,,BAO_0000019
52,,8,,,H,,,11512,Autocuration,1,,CHEMBL615175,,BAO_0000357
53,,8,,,H,,,11512,Autocuration,1,,CHEMBL615176,,BAO_0000357
54,,8,,,H,,,11512,Autocuration,1,,CHEMBL615177,,BAO_0000357
55,Membranes,5,,,D,,,104740,Autocuration,1,,CHEMBL615178,,BAO_0000249
56,,1,,,N,,1A9,80002,Intermediate,1,,CHEMBL615179,506.0,BAO_0000219
57,,7,,,D,,Oocytes,104835,Autocuration,1,,CHEMBL615180,,BAO_0000219
58,,7,,,D,,Oocytes,104821,Autocuration,1,,CHEMBL615181,,BAO_0000219
59,,7,,,D,,Oocytes,104848,Autocuration,1,,CHEMBL615182,,BAO_0000219
60,,1,,,N,,1A9,80002,Expert,1,,CHEMBL615183,506.0,BAO_0000219
61,,1,,,N,,1A9,80002,Intermediate,1,,CHEMBL615184,506.0,BAO_0000219
62,,1,,,N,,1A9,80002,Intermediate,1,,CHEMBL615185,506.0,BAO_0000219
63,,1,,,N,,1A9,80002,Intermediate,1,,CHEMBL615186,506.0,BAO_0000219
64,,1,,,N,,1A9,80002,Intermediate,1,,CHEMBL615187,506.0,BAO_0000219
65,,1,,,N,,1A9,80002,Expert,1,,CHEMBL885343,506.0,BAO_0000219
66,,1,,,N,,1A9,80002,Intermediate,1,,CHEMBL615188,506.0,BAO_0000219
67,,1,,,N,,1A9,80002,Intermediate,1,,CHEMBL615189,506.0,BAO_0000219
68,,1,,,N,,1A9,80002,Intermediate,1,,CHEMBL615190,506.0,BAO_0000219
69,,1,,,N,,1A9,80002,Intermediate,1,,CHEMBL615191,506.0,BAO_0000219
70,,1,,,N,,1A9,80002,Expert,1,,CHEMBL615192,506.0,BAO_0000219
71,,1,,,N,,1A9,80002,Expert,1,,CHEMBL827083,506.0,BAO_0000219
72,,1,,,N,,1A9,80002,Expert,1,,CHEMBL615193,506.0,BAO_0000219
73,,1,,,N,,1A9,80002,Intermediate,1,,CHEMBL615194,506.0,BAO_0000219
74,,1,,,N,,1A9,80002,Intermediate,1,,CHEMBL615195,506.0,BAO_0000219
75,,1,,,N,,1A9,80002,Intermediate,1,,CHEMBL615196,506.0,BAO_0000219
76,,1,,,N,,Jurkat,81072,Intermediate,1,,CHEMBL615197,503.0,BAO_0000219
77,,0,,,U,,,22226,Intermediate,1,,CHEMBL615198,,BAO_0000019
78,,9,,,D,,,100121,Expert,1,,CHEMBL615199,,BAO_0000357
79,,8,,,H,,,11231,Expert,1,,CHEMBL615200,,BAO_0000357
80,,8,,,H,,,11231,Expert,1,,CHEMBL615201,,BAO_0000357
81,,8,,,H,,,11231,Expert,1,,CHEMBL615202,,BAO_0000357
82,Microsomes,8,,,H,,,11231,Autocuration,1,,CHEMBL615203,,BAO_0000251
83,Microsomes,8,,,H,,,11231,Autocuration,1,,CHEMBL615204,,BAO_0000251
84,Microsomes,8,,,H,,,11231,Autocuration,1,,CHEMBL615205,,BAO_0000251
85,Microsomes,8,,,H,,,11231,Autocuration,1,,CHEMBL615206,,BAO_0000251
86,Microsomes,8,2107.0,,H,Liver,,12083,Autocuration,1,,CHEMBL615207,,BAO_0000251
87,,8,,,H,,,11231,Autocuration,1,,CHEMBL827084,,BAO_0000019
88,,8,,,H,,,11231,Autocuration,1,,CHEMBL615208,,BAO_0000019
89,,8,,,H,,,11231,Autocuration,1,,CHEMBL615209,,BAO_0000019
90,Microsomes,9,2107.0,,D,Liver,,12083,Autocuration,1,,CHEMBL615210,,BAO_0000251
91,Microsomes,9,2107.0,,D,Liver,,12083,Autocuration,1,,CHEMBL615211,,BAO_0000251
92,Microsomes,9,2107.0,,D,Liver,,12083,Autocuration,1,,CHEMBL615212,,BAO_0000251
93,,8,,,H,,,11377,Expert,1,,CHEMBL615213,,BAO_0000357
94,,8,,,H,,,11377,Expert,1,,CHEMBL615273,,BAO_0000357
95,,1,,,N,,HepG2,81020,Expert,1,,CHEMBL615274,726.0,BAO_0000219
96,,1,,,N,,HepG2,81020,Intermediate,1,,CHEMBL615275,726.0,BAO_0000219
97,,1,,,N,,HepG2,81020,Intermediate,1,,CHEMBL615276,726.0,BAO_0000219
98,,1,,,N,,HepG2,81020,Intermediate,1,,CHEMBL615277,726.0,BAO_0000219
99,,1,,,N,,HepG2,81020,Intermediate,1,,CHEMBL615326,726.0,BAO_0000219
100,,1,,,N,,,50606,Expert,1,,CHEMBL883130,,BAO_0000218
101,,1,,,N,,HepG2,81020,Intermediate,1,,CHEMBL884519,726.0,BAO_0000219
102,,1,,,N,,HepG2,81020,Intermediate,1,,CHEMBL615327,726.0,BAO_0000219
103,,1,,,N,,HepG2,81020,Intermediate,1,,CHEMBL615328,726.0,BAO_0000219
104,,1,,,N,,2.2.15,50587,Intermediate,1,,CHEMBL615329,,BAO_0000218
105,,1,,,N,,2.2.15,50587,Intermediate,1,,CHEMBL615330,,BAO_0000218
106,,1,,,N,,2.2.15,50606,Expert,1,,CHEMBL615331,,BAO_0000218
107,,1,,,N,,2.2.15,50587,Intermediate,1,,CHEMBL615332,,BAO_0000218
108,,1,,,N,,2.2.15,50587,Intermediate,1,,CHEMBL615333,,BAO_0000218
109,,1,,,N,,2.2.15,50587,Intermediate,1,,CHEMBL615334,,BAO_0000218
110,,1,,,N,,2.2.15,50587,Intermediate,1,,CHEMBL615335,,BAO_0000218
111,,1,,,N,,2.2.15,50587,Intermediate,1,,CHEMBL615336,,BAO_0000218
112,,1,,,N,,2.2.15,50587,Intermediate,1,,CHEMBL615337,,BAO_0000218
113,,1,,,N,,2.2.15,50587,Intermediate,1,,CHEMBL615338,,BAO_0000218
114,,1,,,N,,2.2.15,50587,Intermediate,1,,CHEMBL615339,,BAO_0000218
115,,1,,,N,,2.2.15,50587,Intermediate,1,,CHEMBL615340,,BAO_0000218
116,,1,,,N,,HepG2,81020,Intermediate,1,,CHEMBL615341,726.0,BAO_0000219
117,Microsomes,0,,,U,,,22226,Autocuration,1,,CHEMBL615342,,BAO_0000251
118,,0,,,U,,,22226,Autocuration,1,,CHEMBL615343,,BAO_0000019
119,,1,,,N,,2008,80612,Intermediate,1,,CHEMBL615344,388.0,BAO_0000219
120,,1,,,N,,2008,80612,Intermediate,1,,CHEMBL615345,388.0,BAO_0000219
121,,1,,,N,,2008,80612,Intermediate,1,,CHEMBL615346,388.0,BAO_0000219
122,,1,,,N,,2008,80612,Intermediate,1,,CHEMBL615347,388.0,BAO_0000219
123,,1,,,N,,2008,80612,Intermediate,1,,CHEMBL615348,388.0,BAO_0000219
124,,1,,,N,,2008/R,80613,Intermediate,1,,CHEMBL827085,561.0,BAO_0000219
125,,1,,,N,,2008/R,80613,Intermediate,1,,CHEMBL615349,561.0,BAO_0000219
126,,1,,,N,,2008/S,80614,Intermediate,1,,CHEMBL615350,389.0,BAO_0000219
127,,1,,,N,,2008/S,80614,Intermediate,1,,CHEMBL615351,389.0,BAO_0000219
128,,2,,,S,,,100256,Expert,1,,CHEMBL615352,,BAO_0000220
129,,2,,,S,,,100256,Intermediate,1,,CHEMBL615353,,BAO_0000220
130,,2,,,S,,,100256,Expert,1,,CHEMBL615354,,BAO_0000220
131,,2,,,S,,,100256,Expert,1,,CHEMBL615355,,BAO_0000220
132,,2,,,S,,,100256,Intermediate,1,,CHEMBL615356,,BAO_0000220
133,,0,,,U,,,22226,Autocuration,1,,CHEMBL615357,,BAO_0000019
134,,1,,,N,,HepG2,81020,Intermediate,1,,CHEMBL615358,726.0,BAO_0000219
135,,1,,,N,,HepG2,81020,Intermediate,1,,CHEMBL827086,726.0,BAO_0000219
136,,0,,,U,,,22226,Autocuration,1,,CHEMBL615359,,BAO_0000019
137,,8,,,H,,,235,Autocuration,1,,CHEMBL615360,,BAO_0000357
138,,0,948.0,,U,Heart,,22226,Autocuration,1,,CHEMBL615361,,BAO_0000218
139,,8,,,H,,,19640,Autocuration,1,,CHEMBL615362,,BAO_0000019
140,,8,,,H,,,19640,Expert,1,,CHEMBL615363,,BAO_0000019
141,,8,,,H,,,19640,Autocuration,1,,CHEMBL615364,,BAO_0000357
142,,8,,,H,,,19640,Expert,1,,CHEMBL615365,,BAO_0000019
143,,1,,,N,,P338,80360,Intermediate,1,,CHEMBL615366,524.0,BAO_0000219
144,,1,,,N,,P338,80360,Intermediate,1,,CHEMBL615367,524.0,BAO_0000219
145,,1,,,N,,PBL,80384,Intermediate,1,,CHEMBL615368,554.0,BAO_0000219
146,,0,,,U,,,22226,Autocuration,1,,CHEMBL615369,,BAO_0000019
147,,0,,,U,,,22226,Autocuration,1,,CHEMBL615370,,BAO_0000019
148,,8,,,H,,,191,Autocuration,1,,CHEMBL615673,,BAO_0000357
149,,0,,,U,,,22226,Autocuration,1,,CHEMBL615674,,BAO_0000019
150,,0,,,U,,,22226,Autocuration,1,,CHEMBL615675,,BAO_0000019
151,,0,,,U,,CCRF-CEM,22226,Autocuration,1,,CHEMBL615676,635.0,BAO_0000219
152,,0,,,U,,CCRF-CEM,22226,Autocuration,1,,CHEMBL615677,635.0,BAO_0000219
153,,0,,,U,,CCRF-CEM,22226,Autocuration,1,,CHEMBL615678,635.0,BAO_0000219
154,,0,,,U,,CCRF-CEM,22226,Autocuration,1,,CHEMBL615679,635.0,BAO_0000219
155,,0,,,U,,,22226,Autocuration,1,,CHEMBL615680,,BAO_0000019
156,,0,,,U,,,22226,Autocuration,1,,CHEMBL615681,,BAO_0000019
157,,6,,,H,,,104290,Autocuration,1,,CHEMBL857972,,BAO_0000249
158,,1,,,N,,,50264,Intermediate,1,,CHEMBL857899,,BAO_0000218
159,,1,,,N,,,50527,Intermediate,1,,CHEMBL615371,,BAO_0000218
160,,1,,,N,,HEL,50527,Expert,1,,CHEMBL615372,468.0,BAO_0000218
161,,1,,,N,,,50527,Intermediate,1,,CHEMBL615373,,BAO_0000218
162,,1,,,N,,,50527,Intermediate,1,,CHEMBL615374,,BAO_0000218
163,,1,,,N,,,50145,Intermediate,1,,CHEMBL615375,,BAO_0000218
164,,0,,,U,,,22226,Autocuration,1,,CHEMBL615376,,BAO_0000019
165,,8,,,H,,,11143,Expert,1,,CHEMBL615377,,BAO_0000249
166,,8,,,H,,,18077,Expert,1,,CHEMBL615378,,BAO_0000357
167,,1,,,N,,1-87 tumor cell line,80609,Intermediate,1,,CHEMBL615379,832.0,BAO_0000219
168,,9,,,D,,,12166,Expert,1,,CHEMBL615380,,BAO_0000219
169,,9,,,D,,,100171,Autocuration,1,,CHEMBL615381,,BAO_0000357
170,,9,,,D,,,100171,Autocuration,1,,CHEMBL615382,,BAO_0000357
171,,9,,,D,,,100171,Autocuration,1,,CHEMBL615383,,BAO_0000357
172,,9,,,D,,,100171,Autocuration,1,,CHEMBL615384,,BAO_0000357
173,,9,,,D,,,100171,Autocuration,1,,CHEMBL615385,,BAO_0000357
174,,9,,,D,,,100171,Autocuration,1,,CHEMBL615386,,BAO_0000357
175,,9,,,D,,,100171,Autocuration,1,,CHEMBL615387,,BAO_0000357
176,,9,,,D,,,100171,Autocuration,1,,CHEMBL615388,,BAO_0000357
177,,9,,,D,,,100171,Autocuration,1,,CHEMBL615214,,BAO_0000357
178,,9,,,D,,,100171,Autocuration,1,,CHEMBL827087,,BAO_0000357
179,,9,,,D,,,100171,Autocuration,1,,CHEMBL615215,,BAO_0000357
180,,9,,,D,,,100171,Autocuration,1,,CHEMBL615216,,BAO_0000357
181,,9,,,D,,,100171,Autocuration,1,,CHEMBL615217,,BAO_0000357
182,,9,,,D,,,100171,Autocuration,1,,CHEMBL615218,,BAO_0000357
183,,9,,,D,,,100171,Autocuration,1,,CHEMBL615219,,BAO_0000357
184,,0,,,U,,,22226,Autocuration,1,,CHEMBL615220,,BAO_0000019
185,,1,,,N,,C3H 10T1/2,80049,Intermediate,1,,CHEMBL615221,294.0,BAO_0000219
186,,0,,,U,,,22226,Intermediate,1,,CHEMBL615222,,BAO_0000019
187,,8,,,H,,,11489,Autocuration,1,,CHEMBL615223,,BAO_0000357
188,,8,,,H,,,11862,Autocuration,1,,CHEMBL615224,,BAO_0000357
189,,8,,,H,,,11862,Autocuration,1,,CHEMBL615225,,BAO_0000357
190,,8,,,H,,,11489,Autocuration,1,,CHEMBL615226,,BAO_0000357
191,,8,,,H,,,11862,Autocuration,1,,CHEMBL615227,,BAO_0000357
192,,9,,,D,,,12347,Expert,1,,CHEMBL615228,,BAO_0000019
193,,9,,,D,,,100120,Expert,1,,CHEMBL615229,,BAO_0000357
194,,9,2369.0,,D,Adrenal gland,,100120,Expert,1,,CHEMBL615230,,BAO_0000357
195,,9,,,D,,,100120,Expert,1,,CHEMBL615231,,BAO_0000357
196,,9,,,D,,,100120,Expert,1,,CHEMBL884520,,BAO_0000357
197,,9,,,D,,,100120,Expert,1,,CHEMBL615232,,BAO_0000357
198,,8,,,H,,,10328,Autocuration,1,,CHEMBL615233,,BAO_0000019
199,,8,,,H,,,11490,Autocuration,1,,CHEMBL827088,,BAO_0000357
200,,8,,,H,,,11490,Autocuration,1,,CHEMBL615234,,BAO_0000357
201,,8,,,H,,,11134,Autocuration,1,,CHEMBL615235,,BAO_0000019
202,,8,,,H,,,12052,Autocuration,1,,CHEMBL615236,,BAO_0000019
203,,8,,,H,,,11134,Autocuration,1,,CHEMBL615237,,BAO_0000019
204,,8,,,H,,,11134,Autocuration,1,,CHEMBL615238,,BAO_0000019
205,,8,,,H,,,11134,Autocuration,1,,CHEMBL615239,,BAO_0000019
206,,9,,,D,,,11134,Autocuration,1,,CHEMBL615240,,BAO_0000019
207,,8,,,H,,,11835,Expert,1,,CHEMBL615241,,BAO_0000019
208,,8,,,H,,,11601,Expert,1,,CHEMBL615242,,BAO_0000357
209,,8,,,H,,,11134,Autocuration,1,,CHEMBL615243,,BAO_0000019
210,,8,,,H,,,11134,Autocuration,1,,CHEMBL615244,,BAO_0000019
211,,8,,,H,,,11134,Autocuration,1,,CHEMBL615245,,BAO_0000019
212,,8,,,H,,,11134,Autocuration,1,,CHEMBL615246,,BAO_0000019
213,,8,,,H,,,11134,Autocuration,1,,CHEMBL615247,,BAO_0000019
214,,8,,,H,,,11134,Autocuration,1,,CHEMBL615248,,BAO_0000019
215,,8,,,H,,,11601,Autocuration,1,,CHEMBL615249,,BAO_0000357
216,,8,,,H,,,11601,Autocuration,1,,CHEMBL615250,,BAO_0000357
217,,8,,,H,,,12052,Autocuration,1,,CHEMBL615251,,BAO_0000019
218,,8,,,H,,,12052,Autocuration,1,,CHEMBL615252,,BAO_0000019
219,,8,,,H,,,12052,Expert,1,,CHEMBL828340,,BAO_0000019
220,,8,,,H,,,12052,Autocuration,1,,CHEMBL615253,,BAO_0000019
221,,8,,,H,,,12052,Autocuration,1,,CHEMBL615254,,BAO_0000019
222,,8,,,H,,,12052,Autocuration,1,,CHEMBL615255,,BAO_0000019
223,,8,,,H,,,12052,Autocuration,1,,CHEMBL615256,,BAO_0000019
224,,8,,,H,,,12052,Autocuration,1,,CHEMBL615257,,BAO_0000019
