assay_id,assay_strain,variant_id,assay_tissue,tid,src_assay_id,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_cell_type
1,,,,12052,,11087,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,B,,,,,
2,,,,22226,,684,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,F,,,,,
3,,,,22226,,15453,,B,,,,,
4,,,,104729,,17841,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,B,,,Bos taurus,9913.0,
5,,,,80001,,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,,Homo sapiens,9606.0,143B
6,,,,80001,,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,,,Homo sapiens,9606.0,143B
7,,,,80001,,13799,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,F,,,Mus musculus,10090.0,143B
8,,,,80001,,17774,In vitro cell cytotoxicity was determined against 143B cell line,F,,,Homo sapiens,9606.0,143B
9,,,,80001,,3801,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,F,,,Homo sapiens,9606.0,143B
10,,,,80001,,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,,Homo sapiens,9606.0,143B
11,,,,80001,,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,,,Homo sapiens,9606.0,143B
12,,,,80001,,17774,In vitro cell cytotoxicity was determined against 143B-LTK cell line,F,,,Homo sapiens,9606.0,143B
13,,,,50185,,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,Staphylococcus aureus,1280.0,
14,,,,50185,,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,Staphylococcus aureus,1280.0,
