assay_id,assay_tax_id,src_assay_id,curated_by,assay_subcellular_fraction,tid,assay_test_type,chembl_id,tissue_id,assay_category,src_id,doc_id,description,assay_type,assay_organism,assay_strain,assay_tissue
1,,,Autocuration,,12052,,CHEMBL615117,,,1,11087,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,B,,,
2,,,Autocuration,,22226,,CHEMBL615118,,,1,684,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,F,,,
3,,,Autocuration,,22226,,CHEMBL615119,,,1,15453,,B,,,
4,9913.0,,Autocuration,,104729,,CHEMBL615120,,,1,17841,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,B,Bos taurus,,
5,9606.0,,Intermediate,,80001,,CHEMBL615121,,,1,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,Homo sapiens,,
6,9606.0,,Intermediate,,80001,,CHEMBL615122,,,1,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,Homo sapiens,,
7,10090.0,,Intermediate,,80001,,CHEMBL615123,,,1,13799,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,F,Mus musculus,,
8,9606.0,,Expert,,80001,,CHEMBL615124,,,1,17774,In vitro cell cytotoxicity was determined against 143B cell line,F,Homo sapiens,,
9,9606.0,,Intermediate,,80001,,CHEMBL615125,,,1,3801,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,F,Homo sapiens,,
10,9606.0,,Intermediate,,80001,,CHEMBL615126,,,1,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,Homo sapiens,,
11,9606.0,,Intermediate,,80001,,CHEMBL615127,,,1,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,Homo sapiens,,
12,9606.0,,Expert,,80001,,CHEMBL615128,,,1,17774,In vitro cell cytotoxicity was determined against 143B-LTK cell line,F,Homo sapiens,,
13,1280.0,,Intermediate,,50185,,CHEMBL857900,,,1,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,Staphylococcus aureus,,
14,1280.0,,Intermediate,,50185,,CHEMBL615129,,,1,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,Staphylococcus aureus,,
15,1280.0,,Intermediate,,50185,,CHEMBL615130,,,1,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,Staphylococcus aureus,,
16,1280.0,,Intermediate,,50185,,CHEMBL615131,,,1,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,Staphylococcus aureus,,
17,10116.0,,Expert,,100122,,CHEMBL884521,,,1,11347,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,A,Rattus norvegicus,,
18,,,Autocuration,,12054,,CHEMBL615132,,,1,16474,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),B,,,
19,,,Autocuration,,12054,,CHEMBL615133,,,1,10091,Inhibition of partially purified 15-lipoxygenase from human leukocytes,B,,,
20,,,Autocuration,,12054,,CHEMBL615134,,,1,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,
21,,,Autocuration,,12054,,CHEMBL615135,,,1,16474,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),B,,,
22,,,Autocuration,,12054,,CHEMBL615136,,,1,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,
23,,,Autocuration,,12054,,CHEMBL615137,,,1,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,
24,,,Autocuration,,12054,,CHEMBL615138,,,1,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,
25,,,Autocuration,,22226,,CHEMBL836324,,,1,14352,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",B,,,
26,9986.0,,Autocuration,,12054,,CHEMBL615139,,,1,5646,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,B,Oryctolagus cuniculus,,
27,9986.0,,Autocuration,,12054,,CHEMBL615140,,,1,5646,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),B,Oryctolagus cuniculus,,
28,,,Autocuration,,12426,,CHEMBL615141,,,1,10997,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,B,,,
29,3847.0,,Autocuration,,12054,,CHEMBL615142,,,1,6309,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,B,soya bean,,
30,3847.0,,Autocuration,,12054,,CHEMBL615143,,,1,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated,B,Glycine max,,
31,3847.0,,Autocuration,,12054,,CHEMBL615144,,,1,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,B,Glycine max,,
32,3847.0,,Autocuration,,12054,,CHEMBL872867,,,1,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,B,Glycine max,,
33,3847.0,,Autocuration,,12054,,CHEMBL615145,,,1,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,B,Glycine max,,
34,3847.0,,Autocuration,,12054,,CHEMBL615146,,,1,13622,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,B,Glycine max,,
35,3847.0,,Autocuration,,12054,,CHEMBL615147,,,1,13622,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,B,Glycine max,,
36,10116.0,,Autocuration,,22226,,CHEMBL615148,,,1,11347,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,A,Rattus norvegicus,,
37,562.0,,Autocuration,,22226,,CHEMBL615149,,,1,5926,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,B,Escherichia coli,,
38,,,Autocuration,,22226,,CHEMBL615150,,,1,4567,Dissociation constant with dimeric 16S rRNA RNA construct B,B,,,
39,,,Intermediate,,22222,,CHEMBL615151,,,1,3782,Dissociation constant towards 16S rRNA construct A,B,,,
40,,,Intermediate,,22222,,CHEMBL615152,,,1,3782,Dissociation constant towards 16S rRNA construct B,B,,,
41,562.0,,Expert,,100263,,CHEMBL615153,,,1,4466,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,B,Escherichia coli,,
42,562.0,,Expert,,100263,,CHEMBL615154,,,1,6592,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,B,Escherichia coli,,
43,,,Autocuration,,13053,,CHEMBL615155,,,1,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,
44,,,Autocuration,,13053,,CHEMBL615156,,,1,898,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,
45,9606.0,,Autocuration,,20001,,CHEMBL615157,,,1,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,Homo sapiens,,
46,9606.0,,Autocuration,,20001,,CHEMBL615158,,,1,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,Homo sapiens,,
47,10116.0,,Expert,,12971,,CHEMBL615159,,,1,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,Rattus norvegicus,,
48,10116.0,,Expert,,12971,,CHEMBL615172,,,1,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,Rattus norvegicus,,
49,10116.0,,Expert,,12971,,CHEMBL615173,,,1,10691,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,Rattus norvegicus,,
50,10116.0,,Expert,,12971,,CHEMBL615174,,,1,10691,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,Rattus norvegicus,,
51,,,Autocuration,,13053,,CHEMBL884518,,,1,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,
52,,,Autocuration,,11512,,CHEMBL615175,,,1,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),B,,,
53,,,Autocuration,,11512,,CHEMBL615176,,,1,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,B,,,
54,,,Autocuration,,11512,,CHEMBL615177,,,1,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,B,,,
