category_name,category_id,film_id
Foreign,9,246
Music,12,879
Music,12,936
Horror,11,475
Drama,7,683
Horror,11,800
Games,10,781
Foreign,9,128
Sci-Fi,14,839
Children,3,149
Sci-Fi,14,49
Animation,2,208
Games,10,956
Travel,16,518
Sports,15,890
Sports,15,488
Comedy,5,568
Sports,15,263
New,13,226
Documentary,6,206
Foreign,9,584
Children,3,786
Documentary,6,992
Foreign,9,380
Classics,4,432
Classics,4,815
Animation,2,564
Travel,16,811
Sports,15,519
Travel,16,87
Documentary,6,629
Children,3,168
Games,10,701
Family,8,832
Documentary,6,973
Classics,4,184
Horror,11,904
Games,10,215
Sports,15,517
Action,1,927
Documentary,6,400
Animation,2,464
Documentary,6,101
Travel,16,526
Comedy,5,906
Comedy,5,524
Sports,15,763
Games,10,406
Family,8,53
Sci-Fi,14,367
Foreign,9,908
Sports,15,237
Comedy,5,308
Games,10,106
Action,1,292
Action,1,375
Games,10,646
Action,1,126
Classics,4,536
Sci-Fi,14,140
Comedy,5,858
Action,1,838
Foreign,9,500
Classics,4,425
Games,10,447
Horror,11,995
Horror,11,495
Sci-Fi,14,967
Animation,2,118
Foreign,9,531
Animation,2,649
Family,8,780
Games,10,281
Music,12,980
Comedy,5,774
Comedy,5,754
Horror,11,258
Action,1,579
Games,10,264
Documentary,6,40
Horror,11,804
Animation,2,36
Comedy,5,502
Animation,2,70
Documentary,6,199
Foreign,9,567
Travel,16,988
Music,12,384
New,13,96
Documentary,6,393
Drama,7,173
Family,8,213
Foreign,9,290
Classics,4,512
New,13,677
Family,8,31
New,13,270
Animation,2,330
Action,1,991
Sci-Fi,14,203
Music,12,411
Documentary,6,708
Sports,15,851
Comedy,5,202
Games,10,949
Horror,11,30
Foreign,9,640
Travel,16,288
Children,3,626
Sports,15,678
Foreign,9,399
Sci-Fi,14,165
Travel,16,787
Sci-Fi,14,114
Animation,2,325
Drama,7,958
Children,3,918
Travel,16,642
Foreign,9,440
Comedy,5,837
Sports,15,389
Drama,7,882
Music,12,378
Comedy,5,276
Classics,4,843
Foreign,9,689
Games,10,211
Family,8,94
Sci-Fi,14,972
New,13,920
Games,10,382
Sci-Fi,14,620
Comedy,5,335
Travel,16,931
Foreign,9,414
Action,1,850
Animation,2,865
Classics,4,482
Action,1,318
Animation,2,134
Action,1,697
Comedy,5,7
Music,12,516
Comedy,5,604
Sports,15,420
Sports,15,668
Sci-Fi,14,44
Classics,4,951
Sci-Fi,14,153
Documentary,6,221
Horror,11,24
Children,3,485
Travel,16,609
Drama,7,923
Sports,15,917
Family,8,391
Documentary,6,62
Music,12,51
Action,1,964
Sports,15,279
Games,10,331
New,13,305
Horror,11,122
Horror,11,171
Sci-Fi,14,930
Horror,11,653
Comedy,5,905
Horror,11,922
Documentary,6,142
Documentary,6,72
Documentary,6,855
Family,8,621
Animation,2,692
Travel,16,868
Family,8,710
Documentary,6,925
Comedy,5,182
Comedy,5,265
New,13,935
Horror,11,799
Family,8,795
Horror,11,665
Drama,7,98
Foreign,9,376
Sci-Fi,14,520
Children,3,152
Documentary,6,757
Documentary,6,943
Sports,15,940
New,13,77
Travel,16,88
Sci-Fi,14,240
Horror,11,313
Classics,4,190
Classics,4,471
Drama,7,643
Documentary,6,441
Classics,4,358
Games,10,596
Animation,2,239
Action,1,371
Foreign,9,452
Music,12,17
Foreign,9,669
Sci-Fi,14,350
Games,10,352
Children,3,573
Sports,15,681
Family,8,810
Sci-Fi,14,177
Animation,2,23
Children,3,214
Sports,15,764
Sci-Fi,14,234
Horror,11,301
Documentary,6,427
Horror,11,527
Comedy,5,99
Sports,15,599
Music,12,255
Documentary,6,1
Music,12,797
Travel,16,543
Action,1,793
Sports,15,453
Action,1,29
Foreign,9,533
Documentary,6,698
Sports,15,570
Foreign,9,455
Documentary,6,622
Travel,16,914
Family,8,639
Foreign,9,971
Action,1,501
Action,1,395
Classics,4,725
Travel,16,339
Classics,4,60
Documentary,6,457
Action,1,38
Classics,4,297
Foreign,9,148
New,13,913
Documentary,6,3
Animation,2,690
Drama,7,942
Animation,2,223
Animation,2,300
Comedy,5,672
