amount,payment_id,payment_date,rental_id,staff_id,customer_id
2.99,1,2005-05-25 11:30:37,76,1,1
0.99,4,2005-06-15 18:02:53,1422,2,1
4.99,6,2005-06-16 15:18:57,1725,1,1
4.99,7,2005-06-18 08:41:48,2308,1,1
5.99,11,2005-07-08 07:33:56,4611,1,1
4.99,13,2005-07-09 16:38:01,5326,1,1
0.99,19,2005-07-28 19:20:07,8116,2,1
2.99,28,2005-08-19 13:56:54,13176,2,1
1.99,30,2005-08-22 01:27:57,14825,1,1
4.99,33,2005-05-27 00:09:24,320,1,2
4.99,43,2005-07-30 06:06:10,9031,1,2
0.99,45,2005-07-30 14:14:11,9248,2,2
0.99,49,2005-08-01 09:45:26,10466,1,2
0.99,50,2005-08-02 02:10:56,10918,1,2
2.99,54,2005-08-17 03:52:18,11614,1,2
5.99,57,2005-08-21 22:41:56,14743,2,2
4.99,58,2005-08-22 13:53:04,15145,2,2
2.99,61,2005-05-29 22:43:55,830,1,3
6.99,64,2005-06-17 05:15:15,1911,2,3
4.99,66,2005-07-07 10:23:25,4180,1,3
5.99,68,2005-07-27 04:54:42,7096,1,3
10.99,69,2005-07-27 20:23:12,7503,2,3
7.99,70,2005-07-28 03:59:21,7703,2,3
2.99,74,2005-07-29 11:07:04,8545,1,3
2.99,77,2005-07-31 03:27:58,9595,1,3
2.99,82,2005-08-20 06:14:12,13610,2,3
0.99,84,2005-08-22 09:37:27,15038,2,3
2.99,85,2005-08-23 07:10:14,15619,1,3
0.99,87,2005-06-16 08:08:40,1633,1,4
0.99,89,2005-06-16 15:51:52,1735,2,4
0.99,90,2005-06-17 14:31:12,2043,2,4
5.99,91,2005-06-19 09:39:01,2642,1,4
5.99,95,2005-07-30 08:46:09,9100,1,4
0.99,108,2005-05-29 07:25:16,731,1,5
3.99,111,2005-06-15 22:03:14,1502,1,5
4.99,113,2005-06-17 15:56:53,2063,2,5
2.99,114,2005-06-19 04:20:13,2570,2,5
4.99,116,2005-07-06 09:11:58,3677,2,5
5.99,119,2005-07-09 07:13:52,5118,2,5
4.99,124,2005-07-12 12:16:28,6685,2,5
2.99,128,2005-07-29 01:11:23,8263,1,5
1.99,129,2005-07-30 04:14:28,8978,1,5
4.99,134,2005-08-02 04:56:45,11001,2,5
0.99,140,2005-08-20 15:16:18,13877,2,5
0.99,145,2006-02-14 15:16:03,13209,2,5
2.99,150,2005-06-16 23:44:13,1841,2,6
5.99,156,2005-07-11 12:39:01,6211,2,6
7.99,157,2005-07-11 15:01:54,6248,1,6
0.99,181,2005-06-19 14:00:26,2709,1,7
2.99,185,2005-07-07 13:22:20,4238,2,7
5.99,186,2005-07-08 16:16:04,4787,2,7
4.99,187,2005-07-08 18:47:38,4856,1,7
2.99,191,2005-07-11 17:30:58,6295,1,7
7.99,194,2005-07-31 04:30:03,9624,2,7
7.99,200,2005-08-17 00:51:32,11542,2,7
2.99,202,2005-08-18 21:55:01,12730,1,7
2.99,208,2005-06-15 09:59:16,1305,2,8
3.99,215,2005-07-08 02:17:12,4503,1,8
2.99,216,2005-07-09 15:40:46,5300,1,8
2.99,217,2005-07-09 17:13:23,5341,2,8
0.99,219,2005-07-12 10:43:53,6647,1,8
0.99,222,2005-07-31 22:08:29,10141,2,8
9.99,224,2005-08-02 13:04:12,11232,1,8
0.99,227,2005-08-21 01:07:11,14114,1,8
4.99,231,2005-05-27 05:01:28,350,2,9
4.99,233,2005-05-31 10:13:34,1075,2,9
2.99,239,2005-07-10 07:45:40,5659,1,9
2.99,250,2005-08-18 05:58:40,12309,1,9
4.99,255,2005-06-16 20:21:53,1801,1,10
1.99,262,2005-07-07 14:14:13,4255,1,10
2.99,267,2005-07-28 05:21:42,7738,1,10
6.99,268,2005-07-28 15:10:55,8001,2,10
8.99,271,2005-08-01 17:09:59,10671,2,10
2.99,272,2005-08-02 14:55:00,11289,2,10
4.99,284,2005-07-08 22:43:05,4943,1,11
6.99,286,2005-07-11 09:09:59,6146,2,11
4.99,294,2005-08-01 22:41:16,10812,1,11
5.99,297,2005-08-17 19:32:44,12015,2,11
4.99,299,2005-08-20 12:17:27,13790,1,11
2.99,309,2005-06-20 19:33:52,3135,2,12
0.99,318,2005-07-27 11:50:47,7279,2,12
5.99,323,2005-07-31 07:45:33,9708,2,12
4.99,332,2005-06-18 02:24:01,2209,1,13
2.99,335,2005-07-06 21:39:24,3946,2,13
0.99,345,2005-07-31 06:12:08,9664,1,13
7.99,346,2005-07-31 08:58:40,9736,1,13
4.99,347,2005-07-31 17:48:51,10003,1,13
9.99,355,2005-08-21 05:44:07,14252,1,13
7.99,356,2005-08-21 15:44:23,14545,2,13
