ss_d,src_d,ss_tst_tp,ss_sbclllr_frctn,cll_d,ss_tp,dc_d,b_frmt,crtd_b,ss_strn,ss_tss,rltnshp_tp,cnfdnc_scr,src_ss_d,chmbl_d,tss_d,vrnt_d
7524,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Kidney,N,1,,CHEMBL618647,2113.0,
7525,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Kidney,N,1,,CHEMBL618648,2113.0,
7526,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Kidney,N,1,,CHEMBL618649,2113.0,
7527,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Liver,N,1,,CHEMBL618650,2107.0,
7528,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Liver,N,1,,CHEMBL618651,2107.0,
7529,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Liver,N,1,,CHEMBL876497,2107.0,
7530,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Lung,N,1,,CHEMBL618652,2048.0,
7531,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Lung,N,1,,CHEMBL618653,2048.0,
7532,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Lung,N,1,,CHEMBL618654,2048.0,
7533,1,,,,A,6351,BAO_0000218,Intermediate,,,N,1,,CHEMBL618655,,
7534,1,,,,A,1465,BAO_0000218,Intermediate,,,N,1,,CHEMBL618656,,
7535,1,,,,P,5182,BAO_0000100,Intermediate,,,U,0,,CHEMBL618657,,
7536,1,,,,A,17847,BAO_0000218,Intermediate,,,N,1,,CHEMBL618658,,
7537,1,,,,A,15339,BAO_0000218,Intermediate,,,N,1,,CHEMBL618659,,
7538,1,,,,A,5202,BAO_0000218,Intermediate,,,N,1,,CHEMBL618660,,
7539,1,,,,A,1088,BAO_0000218,Intermediate,,,N,1,,CHEMBL618661,,
7540,1,,,,A,3169,BAO_0000218,Intermediate,,,N,1,,CHEMBL873807,,
7541,1,,,,A,5353,BAO_0000218,Intermediate,,,N,1,,CHEMBL618662,,
7542,1,In vivo,,,A,2864,BAO_0000218,Intermediate,,,N,1,,CHEMBL618663,,
7543,1,In vivo,,,A,2864,BAO_0000218,Intermediate,,,N,1,,CHEMBL618664,,
7544,1,In vivo,,,A,2864,BAO_0000218,Intermediate,,,N,1,,CHEMBL618665,,
