assay_id,assay_organism,tid,chembl_id,variant_id,src_id,bao_format,assay_type,assay_tax_id,relationship_type,curated_by,doc_id,description,assay_test_type,assay_category,assay_strain,assay_tissue
1,,12052,CHEMBL615117,,1,BAO_0000019,B,,H,Autocuration,11087,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,,,
2,,22226,CHEMBL615118,,1,BAO_0000219,F,,U,Autocuration,684,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,,,
3,,22226,CHEMBL615119,,1,BAO_0000019,B,,U,Autocuration,15453,,,,,
4,Bos taurus,104729,CHEMBL615120,,1,BAO_0000249,B,9913.0,H,Autocuration,17841,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,,,
5,Homo sapiens,80001,CHEMBL615121,,1,BAO_0000219,F,9606.0,N,Intermediate,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,,,
6,Homo sapiens,80001,CHEMBL615122,,1,BAO_0000219,F,9606.0,N,Intermediate,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,,,
7,Mus musculus,80001,CHEMBL615123,,1,BAO_0000219,F,10090.0,N,Intermediate,13799,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,,,
8,Homo sapiens,80001,CHEMBL615124,,1,BAO_0000219,F,9606.0,N,Expert,17774,In vitro cell cytotoxicity was determined against 143B cell line,,,,
9,Homo sapiens,80001,CHEMBL615125,,1,BAO_0000219,F,9606.0,N,Intermediate,3801,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,,,
10,Homo sapiens,80001,CHEMBL615126,,1,BAO_0000219,F,9606.0,N,Intermediate,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,,,
11,Homo sapiens,80001,CHEMBL615127,,1,BAO_0000219,F,9606.0,N,Intermediate,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,,,
12,Homo sapiens,80001,CHEMBL615128,,1,BAO_0000219,F,9606.0,N,Expert,17774,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,,,
13,Staphylococcus aureus,50185,CHEMBL857900,,1,BAO_0000218,F,1280.0,N,Intermediate,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,,
14,Staphylococcus aureus,50185,CHEMBL615129,,1,BAO_0000218,F,1280.0,N,Intermediate,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,,
15,Staphylococcus aureus,50185,CHEMBL615130,,1,BAO_0000218,F,1280.0,N,Intermediate,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,,
16,Staphylococcus aureus,50185,CHEMBL615131,,1,BAO_0000218,F,1280.0,N,Intermediate,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,,
17,Rattus norvegicus,100122,CHEMBL884521,,1,BAO_0000357,A,10116.0,D,Expert,11347,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,,,
18,,12054,CHEMBL615132,,1,BAO_0000357,B,,H,Autocuration,16474,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,,,
19,,12054,CHEMBL615133,,1,BAO_0000019,B,,H,Autocuration,10091,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,,,
20,,12054,CHEMBL615134,,1,BAO_0000357,B,,H,Autocuration,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,
21,,12054,CHEMBL615135,,1,BAO_0000357,B,,H,Autocuration,16474,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,,,
22,,12054,CHEMBL615136,,1,BAO_0000357,B,,H,Autocuration,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,
23,,12054,CHEMBL615137,,1,BAO_0000357,B,,H,Autocuration,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,
24,,12054,CHEMBL615138,,1,BAO_0000357,B,,H,Autocuration,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,
25,,22226,CHEMBL836324,,1,BAO_0000219,B,,U,Autocuration,14352,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,,,
26,Oryctolagus cuniculus,12054,CHEMBL615139,,1,BAO_0000357,B,9986.0,H,Autocuration,5646,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,,,
27,Oryctolagus cuniculus,12054,CHEMBL615140,,1,BAO_0000357,B,9986.0,H,Autocuration,5646,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,,,
28,,12426,CHEMBL615141,,1,BAO_0000219,B,,H,Autocuration,10997,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,,,
29,soya bean,12054,CHEMBL615142,,1,BAO_0000357,B,3847.0,H,Autocuration,6309,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,,,
30,Glycine max,12054,CHEMBL615143,,1,BAO_0000357,B,3847.0,H,Autocuration,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,,,
31,Glycine max,12054,CHEMBL615144,,1,BAO_0000357,B,3847.0,H,Autocuration,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,,,
32,Glycine max,12054,CHEMBL872867,,1,BAO_0000357,B,3847.0,H,Autocuration,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,,,
33,Glycine max,12054,CHEMBL615145,,1,BAO_0000357,B,3847.0,H,Autocuration,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,,,
34,Glycine max,12054,CHEMBL615146,,1,BAO_0000357,B,3847.0,H,Autocuration,13622,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,,,
35,Glycine max,12054,CHEMBL615147,,1,BAO_0000357,B,3847.0,H,Autocuration,13622,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,,,
36,Rattus norvegicus,22226,CHEMBL615148,,1,BAO_0000019,A,10116.0,U,Autocuration,11347,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,,,
37,Escherichia coli,22226,CHEMBL615149,,1,BAO_0000019,B,562.0,U,Autocuration,5926,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,,,
38,,22226,CHEMBL615150,,1,BAO_0000019,B,,U,Autocuration,4567,Dissociation constant with dimeric 16S rRNA RNA construct B,,,,
39,,22222,CHEMBL615151,,1,BAO_0000225,B,,M,Intermediate,3782,Dissociation constant towards 16S rRNA construct A,,,,
40,,22222,CHEMBL615152,,1,BAO_0000225,B,,M,Intermediate,3782,Dissociation constant towards 16S rRNA construct B,,,,
41,Escherichia coli,100263,CHEMBL615153,,1,BAO_0000225,B,562.0,M,Expert,4466,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,,,
42,Escherichia coli,100263,CHEMBL615154,,1,BAO_0000225,B,562.0,M,Expert,6592,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,,,
43,,13053,CHEMBL615155,,1,BAO_0000019,B,,H,Autocuration,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,
44,,13053,CHEMBL615156,,1,BAO_0000019,B,,H,Autocuration,898,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,
45,Homo sapiens,20001,CHEMBL615157,,1,BAO_0000019,B,9606.0,H,Autocuration,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,,
46,Homo sapiens,20001,CHEMBL615158,,1,BAO_0000019,B,9606.0,H,Autocuration,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,,
47,Rattus norvegicus,12971,CHEMBL615159,,1,BAO_0000019,B,10116.0,D,Expert,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,,
48,Rattus norvegicus,12971,CHEMBL615172,,1,BAO_0000019,B,10116.0,D,Expert,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,,
49,Rattus norvegicus,12971,CHEMBL615173,,1,BAO_0000019,B,10116.0,D,Expert,10691,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,,
50,Rattus norvegicus,12971,CHEMBL615174,,1,BAO_0000019,B,10116.0,D,Expert,10691,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,,
51,,13053,CHEMBL884518,,1,BAO_0000019,B,,H,Autocuration,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,
52,,11512,CHEMBL615175,,1,BAO_0000357,B,,H,Autocuration,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,,,
53,,11512,CHEMBL615176,,1,BAO_0000357,B,,H,Autocuration,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,,,
54,,11512,CHEMBL615177,,1,BAO_0000357,B,,H,Autocuration,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,,,
55,Rattus norvegicus,104740,CHEMBL615178,,1,BAO_0000249,B,10116.0,D,Autocuration,15103,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,,,
56,Homo sapiens,80002,CHEMBL615179,,1,BAO_0000219,F,9606.0,N,Intermediate,5116,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,,,
57,Rattus norvegicus,104835,CHEMBL615180,,1,BAO_0000219,F,10116.0,D,Autocuration,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,,,
58,Rattus norvegicus,104821,CHEMBL615181,,1,BAO_0000219,F,10116.0,D,Autocuration,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,,,
59,Rattus norvegicus,104848,CHEMBL615182,,1,BAO_0000219,F,10116.0,D,Autocuration,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,,,
60,Homo sapiens,80002,CHEMBL615183,,1,BAO_0000219,F,9606.0,N,Expert,4787,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,,,
61,Homo sapiens,80002,CHEMBL615184,,1,BAO_0000219,F,9606.0,N,Intermediate,4787,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,,,
62,Homo sapiens,80002,CHEMBL615185,,1,BAO_0000219,F,9606.0,N,Intermediate,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line,,,,
63,Homo sapiens,80002,CHEMBL615186,,1,BAO_0000219,F,9606.0,N,Intermediate,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,,,
64,Homo sapiens,80002,CHEMBL615187,,1,BAO_0000219,F,9606.0,N,Intermediate,6726,Effective dose of compound against replication of 1A9 cell line was evaluated,,,,
65,Homo sapiens,80002,CHEMBL885343,,1,BAO_0000219,F,9606.0,N,Expert,3455,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,,,
66,Homo sapiens,80002,CHEMBL615188,,1,BAO_0000219,F,9606.0,N,Intermediate,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,,,
67,Homo sapiens,80002,CHEMBL615189,,1,BAO_0000219,F,9606.0,N,Intermediate,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,,,
68,Homo sapiens,80002,CHEMBL615190,,1,BAO_0000219,F,9606.0,N,Intermediate,5726,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,,,
69,Homo sapiens,80002,CHEMBL615191,,1,BAO_0000219,F,9606.0,N,Intermediate,3395,Inhibitory activity against Taxol resistant 1A9 cell lines,,,,
70,Homo sapiens,80002,CHEMBL615192,,1,BAO_0000219,F,9606.0,N,Expert,3415,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,,,
71,Homo sapiens,80002,CHEMBL827083,,1,BAO_0000219,F,9606.0,N,Expert,3415,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,,,
72,Homo sapiens,80002,CHEMBL615193,,1,BAO_0000219,F,9606.0,N,Expert,17099,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,,,
73,Homo sapiens,80002,CHEMBL615194,,1,BAO_0000219,F,9606.0,N,Intermediate,17099,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,,,
74,Homo sapiens,80002,CHEMBL615195,,1,BAO_0000219,F,9606.0,N,Intermediate,17099,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,,,
