assay_id,assay_organism,tid,tissue_id,assay_category,src_id,assay_test_type,src_assay_id,curated_by,doc_id,description,assay_subcellular_fraction,relationship_type,assay_cell_type,assay_type,assay_strain,assay_tax_id,assay_tissue,confidence_score
1,,12052,,,1,,,Autocuration,11087,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,H,,B,,,,8
2,,22226,,,1,,,Autocuration,684,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,U,,F,,,,0
3,,22226,,,1,,,Autocuration,15453,,,U,,B,,,,0
4,Bos taurus,104729,,,1,,,Autocuration,17841,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,H,,B,,9913.0,,4
5,Homo sapiens,80001,,,1,,,Intermediate,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,N,143B,F,,9606.0,,1
6,Homo sapiens,80001,,,1,,,Intermediate,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,N,143B,F,,9606.0,,1
7,Mus musculus,80001,,,1,,,Intermediate,13799,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,N,143B,F,,10090.0,,1
8,Homo sapiens,80001,,,1,,,Expert,17774,In vitro cell cytotoxicity was determined against 143B cell line,,N,143B,F,,9606.0,,1
9,Homo sapiens,80001,,,1,,,Intermediate,3801,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,N,143B,F,,9606.0,,1
10,Homo sapiens,80001,,,1,,,Intermediate,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,N,143B,F,,9606.0,,1
11,Homo sapiens,80001,,,1,,,Intermediate,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,N,143B,F,,9606.0,,1
12,Homo sapiens,80001,,,1,,,Expert,17774,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,N,143B,F,,9606.0,,1
13,Staphylococcus aureus,50185,,,1,,,Intermediate,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,N,,F,,1280.0,,1
14,Staphylococcus aureus,50185,,,1,,,Intermediate,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,N,,F,,1280.0,,1
15,Staphylococcus aureus,50185,,,1,,,Intermediate,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,N,,F,,1280.0,,1
16,Staphylococcus aureus,50185,,,1,,,Intermediate,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,N,,F,,1280.0,,1
17,Rattus norvegicus,100122,,,1,,,Expert,11347,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,D,,A,,10116.0,,9
18,,12054,,,1,,,Autocuration,16474,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,H,,B,,,,8
19,,12054,,,1,,,Autocuration,10091,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,H,,B,,,,8
20,,12054,,,1,,,Autocuration,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,H,,B,,,,8
21,,12054,,,1,,,Autocuration,16474,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,H,,B,,,,8
22,,12054,,,1,,,Autocuration,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,H,,B,,,,8
23,,12054,,,1,,,Autocuration,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,H,,B,,,,8
24,,12054,,,1,,,Autocuration,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,H,,B,,,,8
25,,22226,,,1,,,Autocuration,14352,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,U,,B,,,,0
26,Oryctolagus cuniculus,12054,,,1,,,Autocuration,5646,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,H,,B,,9986.0,,8
27,Oryctolagus cuniculus,12054,,,1,,,Autocuration,5646,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,H,,B,,9986.0,,8
28,,12426,,,1,,,Autocuration,10997,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,H,,B,,,,8
29,soya bean,12054,,,1,,,Autocuration,6309,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,H,,B,,3847.0,,8
30,Glycine max,12054,,,1,,,Autocuration,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,H,,B,,3847.0,,8
31,Glycine max,12054,,,1,,,Autocuration,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,H,,B,,3847.0,,8
32,Glycine max,12054,,,1,,,Autocuration,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,H,,B,,3847.0,,8
33,Glycine max,12054,,,1,,,Autocuration,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,H,,B,,3847.0,,8
34,Glycine max,12054,,,1,,,Autocuration,13622,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,H,,B,,3847.0,,8
35,Glycine max,12054,,,1,,,Autocuration,13622,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,H,,B,,3847.0,,8
36,Rattus norvegicus,22226,,,1,,,Autocuration,11347,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,U,,A,,10116.0,,0
37,Escherichia coli,22226,,,1,,,Autocuration,5926,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,U,,B,,562.0,,0
38,,22226,,,1,,,Autocuration,4567,Dissociation constant with dimeric 16S rRNA RNA construct B,,U,,B,,,,0
39,,22222,,,1,,,Intermediate,3782,Dissociation constant towards 16S rRNA construct A,,M,,B,,,,3
40,,22222,,,1,,,Intermediate,3782,Dissociation constant towards 16S rRNA construct B,,M,,B,,,,3
41,Escherichia coli,100263,,,1,,,Expert,4466,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,M,,B,,562.0,,3
42,Escherichia coli,100263,,,1,,,Expert,6592,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,M,,B,,562.0,,3
43,,13053,,,1,,,Autocuration,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,H,,B,,,,8
44,,13053,,,1,,,Autocuration,898,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,H,,B,,,,8
45,Homo sapiens,20001,,,1,,,Autocuration,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,H,,B,,9606.0,,8
46,Homo sapiens,20001,,,1,,,Autocuration,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,H,,B,,9606.0,,8
47,Rattus norvegicus,12971,,,1,,,Expert,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,D,,B,,10116.0,,9
48,Rattus norvegicus,12971,,,1,,,Expert,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,D,,B,,10116.0,,9
