ss_d,ss_sbclllr_frctn,ss_tx_d,ss_cll_tp,ss_strn,b_frmt,rltnshp_tp,cnfdnc_scr,crtd_b,src_d,src_ss_d,chmbl_d,cll_d,tss_d,vrnt_d
7524,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL618647,,2113.0,
7525,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL618648,,2113.0,
7526,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL618649,,2113.0,
7527,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL618650,,2107.0,
7528,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL618651,,2107.0,
7529,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL876497,,2107.0,
7530,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL618652,,2048.0,
7531,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL618653,,2048.0,
7532,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL618654,,2048.0,
7533,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL618655,,,
7534,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL618656,,,
7535,,,,,BAO_0000100,U,0,Intermediate,1,,CHEMBL618657,,,
7536,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL618658,,,
7537,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL618659,,,
7538,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL618660,,,
7539,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL618661,,,
7540,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL873807,,,
7541,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL618662,,,
7542,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL618663,,,
7543,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL618664,,,
7544,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL618665,,,
7545,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL876498,,,
7546,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL618666,,,
7547,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL620440,,,
7548,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL620441,,,
7549,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL620442,,,
7550,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL620443,,,
7551,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL620444,,,
7552,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL620445,,,
7553,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL620446,,,
7554,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL620447,,1969.0,
7555,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL621129,,1969.0,
7556,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL621130,,1969.0,
7557,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL873808,,,
7558,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL876598,,,
7559,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL621131,,,
7560,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL621132,,,
7561,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL621133,,,
7562,,10116.0,,,BAO_0000218,N,1,Expert,1,,CHEMBL621312,,,
7563,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL621313,,,
7564,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL621314,,178.0,
7565,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL621315,,,
7566,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL621316,,,
7567,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL621317,,,
7568,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL621318,,,
7569,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL621319,,,
7570,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL621377,,,
7571,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL621378,,,
7572,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL876599,,,
7573,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL621379,,,
7574,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL621380,,1969.0,
7575,,10116.0,,,BAO_0000218,N,1,Intermediate,1,,CHEMBL621381,,1969.0,
