assay_id,bao_format,doc_id,cell_id,chembl_id,assay_type,tissue_id,assay_tax_id,assay_cell_type,assay_tissue,src_assay_id,description,assay_test_type,assay_category,assay_organism,assay_strain,assay_subcellular_fraction
1,BAO0p000q9,11087,,CHEMvi615117,B,,,,,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,,,,
2,BAO0oo0219,684,,vHEMBL615117,F,,,,,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,,,,
3,Bzk0000019,15453,,vHEMBL6w5119,B,,,,,,,,,,,
4,Bw00000249,17841,,CHEMBL61t130,B,,36544.0,,,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,,Bos taurus,,
5,hAO0o00219,17430,1034.0,CHEkBL625121,F,,26790.0,143B,,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,,Homo sapiens,,
6,BAO000o2q9,17430,809.0,vHEMBi615122,F,,29559.0,143B,,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,,Homo sapiens,,
7,fAO0000229,13799,712.0,CHsMgL615123,F,,7478.0,143B,,,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,,Mus musculus,,
8,fA80000219,17774,1090.0,CHEMBLu15q24,F,,43470.0,143B,,,In vitro cell cytotoxicity was determined against 143B cell line,,,Homo sapiens,,
9,fqO0000219,3801,1104.0,CHrhBL615125,F,,16101.0,143B,,,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,,Homo sapiens,,
10,hwO0000219,17430,603.0,CHEMBky15126,F,,11714.0,143B,,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,,Homo sapiens,,
11,fAp0000219,17430,592.0,CtEMgL615127,F,,3660.0,143B,,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,,Homo sapiens,,
12,BAOp000218,17774,908.0,CHEnBL6151q8,F,,35028.0,143B,,,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,,Homo sapiens,,
13,Bzp0000218,11324,,CHsMBL8t7900,F,,8767.0,,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,Staphylococcus aureus,,
14,BAO000p219,11324,,CHEMBL615q28,F,,31307.0,,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,Staphylococcus aureus,,
15,BAOo0002w8,11324,,vHEMBL615230,F,,24177.0,,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,Staphylococcus aureus,,
16,BAl000021u,11324,,CHEMBo61r131,F,,16334.0,,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,Staphylococcus aureus,,
17,BApo000357,11347,,fHwMBL884521,A,,8197.0,,,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,,Rattus norvegicus,,
