Fiscal year,Division ID,CountryRegion name,Climate change adaptation (marker),Desertification (marker),PBA type,Indigenous issues (marker),Organisation ID,Fund centre ID,Status,Maximum CIDA contribution (project-level),Organisation class,Sector ID,Climate change mitigation (marker),IRTC percent,Continent name,Disability issues (marker),Section ID,Enviromental sustainability (marker),CountryRegion percent,Regional program (marker),Division name,Sector name,Branch ID,CFLI (marker),Project number,Branch name,Section name,Fund centre name,Untied amount(Project-level budget),FSTC percent,CIDA business delivery model (old),Programming process (new),Bilateral aid (international marker),Participatory development and good governance,Trade development (marker),Biodiversity (marker),Urban issues (marker)
2009/2010,D4100,Bangladesh,0,0,Not PBA,0,Information not available,4122,Closed,8500267.65,Individual,15150,0,0.0,Asia,0,S4122,0,1.0,0,OAD Asia Programming,Democratic participation and civil society,B4100,0,A017716001,OGM Asia Pacific,Bangladesh Section,Bangladesh,8500267.65,1.0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,D4100,Bangladesh,0,0,Not PBA,0,Information not available,4122,Closed,8500267.65,Individual,24040,0,0.0,Asia,0,S4122,0,1.0,0,OAD Asia Programming,Informal/semi-formal financial intermediaries,B4100,0,A017716001,OGM Asia Pacific,Bangladesh Section,Bangladesh,8500267.65,1.0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,D4100,Bangladesh,0,0,Not PBA,0,Information not available,4122,Closed,8500267.65,Individual,25020,0,0.0,Asia,0,S4122,0,1.0,0,OAD Asia Programming,Privatization,B4100,0,A017716001,OGM Asia Pacific,Bangladesh Section,Bangladesh,8500267.65,1.0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,D3100,West Bank Gaza,0,0,Not PBA,0,10050,4265,Closed,500458.33,Governmental,99810,0,0.0,Asia,0,S4264,0,1.0,0,EDD Europe-Middle East Programming,Sectors not specified,B3100,0,A018652001,"EGM Europe, Middle East and Maghreb",West Bank Gaza & Palestinian Refugees,West Bank Gaza,0.0,0.0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,D4207,Mali,0,0,Not PBA,0,10050,4216,Closed,14410076.46,Governmental,16020,0,0.0,Africa,0,S4215,0,1.0,0,WWD West & Central Africa,Employment policy and administrative management,B4200,0,A018893001,WGM Sub-Saharan Africa,Mali Program Section,Mali,14410076.46,1.0,Responsive,Uncoded: Pre-APP,1,1,0,0,1
2009/2010,D4207,Mali,0,0,Not PBA,0,10050,4216,Closed,14410076.46,Governmental,32310,0,0.0,Africa,0,S4215,0,1.0,0,WWD West & Central Africa,Construction policy and administrative management,B4200,0,A018893001,WGM Sub-Saharan Africa,Mali Program Section,Mali,14410076.46,1.0,Responsive,Uncoded: Pre-APP,1,1,0,0,1
2009/2010,D4207,Mali,0,0,Not PBA,0,10050,4216,Closed,14410076.46,Governmental,43030,0,0.0,Africa,0,S4215,0,1.0,0,WWD West & Central Africa,Urban development and management,B4200,0,A018893001,WGM Sub-Saharan Africa,Mali Program Section,Mali,14410076.46,1.0,Responsive,Uncoded: Pre-APP,1,1,0,0,1
2009/2010,D4100,Pakistan,0,0,Not PBA,0,10050,4124,Closed,13743220.56,Governmental,15110,0,0.0,Asia,0,S4141,0,1.0,0,OAD Asia Programming,Public sector policy and administrative management,B4100,0,A019043001,OGM Asia Pacific,"OAA Afghanistan, Pakistan and Sri Lanka",Pakistan,13743220.56,1.0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4100,Pakistan,0,0,Not PBA,0,10050,4124,Closed,13743220.56,Governmental,15111,0,0.0,Asia,0,S4141,0,1.0,0,OAD Asia Programming,Public finance management,B4100,0,A019043001,OGM Asia Pacific,"OAA Afghanistan, Pakistan and Sri Lanka",Pakistan,13743220.56,1.0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4100,Pakistan,0,0,Not PBA,0,10050,4124,Closed,13743220.56,Governmental,16010,0,0.0,Asia,0,S4141,0,1.0,0,OAD Asia Programming,Social/welfare services,B4100,0,A019043001,OGM Asia Pacific,"OAA Afghanistan, Pakistan and Sri Lanka",Pakistan,13743220.56,1.0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4400,Jamaica,0,0,Not PBA,0,1000378,4439,Closed,3441416.83,Civil Society,24040,0,0.0,America,0,S4429,0,1.0,0,NDD Americas Programming,Informal/semi-formal financial intermediaries,B4400,0,A019362001,NGM Americas,Caricom - Adm,Caribbean Regional - Jamaica,3441416.83,1.0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,D4400,Jamaica,0,0,Not PBA,0,1001165,4439,Closed,3441416.83,Civil Society,24040,0,0.0,America,0,S4429,0,1.0,0,NDD Americas Programming,Informal/semi-formal financial intermediaries,B4400,0,A019362001,NGM Americas,Caricom - Adm,Caribbean Regional - Jamaica,3441416.83,1.0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,D3100,Egypt,0,0,Not PBA,0,1000335,4263,Closed,16700508.62,Civil Society,15150,0,0.0,Africa,0,S4256,1,1.0,0,EDD Europe-Middle East Programming,Democratic participation and civil society,B3100,0,A019608001,"EGM Europe, Middle East and Maghreb",Middle East and North Africa,Egypt,0.0,1.0,Directive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D3100,Egypt,0,0,Not PBA,0,1000335,4263,Closed,16700508.62,Civil Society,24030,0,0.0,Africa,0,S4256,1,1.0,0,EDD Europe-Middle East Programming,Formal sector financial intermediaries,B3100,0,A019608001,"EGM Europe, Middle East and Maghreb",Middle East and North Africa,Egypt,0.0,1.0,Directive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D3100,Egypt,0,0,Not PBA,0,1000335,4263,Closed,16700508.62,Civil Society,25010,0,0.0,Africa,0,S4256,1,1.0,0,EDD Europe-Middle East Programming,Business support services and institutions,B3100,0,A019608001,"EGM Europe, Middle East and Maghreb",Middle East and North Africa,Egypt,0.0,1.0,Directive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D3100,Egypt,0,0,Not PBA,0,1000335,4263,Closed,16700508.62,Civil Society,32110,0,0.0,Africa,0,S4256,1,1.0,0,EDD Europe-Middle East Programming,Industrial policy and administrative management,B3100,0,A019608001,"EGM Europe, Middle East and Maghreb",Middle East and North Africa,Egypt,0.0,1.0,Directive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D3100,Egypt,0,0,Not PBA,0,1000335,4263,Closed,16700508.62,Civil Society,32130,0,0.0,Africa,0,S4256,1,1.0,0,EDD Europe-Middle East Programming,Small and medium-sized enterprises (SME) development,B3100,0,A019608001,"EGM Europe, Middle East and Maghreb",Middle East and North Africa,Egypt,0.0,1.0,Directive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D3100,Egypt,0,0,Not PBA,0,1000335,4263,Closed,16700508.62,Civil Society,32182,0,0.0,Africa,0,S4256,1,1.0,0,EDD Europe-Middle East Programming,Technological research and development,B3100,0,A019608001,"EGM Europe, Middle East and Maghreb",Middle East and North Africa,Egypt,0.0,1.0,Directive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D3100,Egypt,0,0,Not PBA,0,1000335,4263,Closed,16700508.62,Civil Society,41010,0,0.0,Africa,0,S4256,1,1.0,0,EDD Europe-Middle East Programming,Environmental policy and administrative management,B3100,0,A019608001,"EGM Europe, Middle East and Maghreb",Middle East and North Africa,Egypt,0.0,1.0,Directive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D3100,Egypt,0,0,Not PBA,0,1000335,4263,Closed,16700508.62,Civil Society,41020,0,0.0,Africa,0,S4256,1,1.0,0,EDD Europe-Middle East Programming,Biosphere protection,B3100,0,A019608001,"EGM Europe, Middle East and Maghreb",Middle East and North Africa,Egypt,0.0,1.0,Directive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D3100,Algeria,0,0,Not PBA,0,10050,4259,Closed,328400.96,Governmental,43010,0,0.0,Africa,0,S4256,0,1.0,0,EDD Europe-Middle East Programming,Multisector aid,B3100,0,A020161001,"EGM Europe, Middle East and Maghreb",Middle East and North Africa,*Algeria,0.0,0.998334353,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,D4400,Haiti,0,0,Not PBA,0,10050,4452,Closed,4610501.0,Governmental,15150,0,0.0,America,0,S4449,0,1.0,0,NDD Americas Programming,Democratic participation and civil society,B4400,0,A020195001,NGM Americas,Ha�ti & Dominican Republic Section,Haiti,4000000.0,1.0,Directive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4400,Haiti,0,0,Not PBA,0,10050,4452,Closed,4610501.0,Governmental,15160,0,0.0,America,0,S4449,0,1.0,0,NDD Americas Programming,Human rights,B4400,0,A020195001,NGM Americas,Ha�ti & Dominican Republic Section,Haiti,4000000.0,1.0,Directive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4270,Ethiopia,0,0,Not PBA,0,1000852,4229,Closed,4229943.14,Civil Society,15110,0,0.0,Africa,0,S4227,0,1.0,0,WED Southern & Eastern Africa,Public sector policy and administrative management,B4200,0,A020222001,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",Ethiopia,0.0,1.0,Directive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4270,Ethiopia,0,0,Not PBA,0,1000852,4229,Closed,4229943.14,Civil Society,15111,0,0.0,Africa,0,S4227,0,1.0,0,WED Southern & Eastern Africa,Public finance management,B4200,0,A020222001,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",Ethiopia,0.0,1.0,Directive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4270,Ethiopia,0,0,Not PBA,0,1000852,4229,Closed,4229943.14,Civil Society,15130,0,0.0,Africa,0,S4227,0,1.0,0,WED Southern & Eastern Africa,Legal and judicial development,B4200,0,A020222001,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",Ethiopia,0.0,1.0,Directive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4270,Ethiopia,0,0,Not PBA,0,1000852,4229,Closed,4229943.14,Civil Society,15150,0,0.0,Africa,0,S4227,0,1.0,0,WED Southern & Eastern Africa,Democratic participation and civil society,B4200,0,A020222001,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",Ethiopia,0.0,1.0,Directive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4270,Ethiopia,0,0,Not PBA,0,1000852,4229,Closed,4229943.14,Civil Society,15160,0,0.0,Africa,0,S4227,0,1.0,0,WED Southern & Eastern Africa,Human rights,B4200,0,A020222001,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",Ethiopia,0.0,1.0,Directive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4207,Senegal,0,0,Not PBA,0,1014497,4238,Terminating,4518387.69,Civil Society,15110,0,0.0,Africa,0,S4233,0,1.0,0,WWD West & Central Africa,Public sector policy and administrative management,B4200,0,A020246001,WGM Sub-Saharan Africa,Senegal Program,Senegal,4518387.69,1.0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,D4207,Senegal,0,0,Not PBA,0,Information not available,4238,Terminating,4518387.69,Individual,15110,0,0.0,Africa,0,S4233,0,1.0,0,WWD West & Central Africa,Public sector policy and administrative management,B4200,0,A020246001,WGM Sub-Saharan Africa,Senegal Program,Senegal,4518387.69,1.0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,D4207,Senegal,0,0,Not PBA,0,1014497,4238,Terminating,4518387.69,Civil Society,24040,0,0.0,Africa,0,S4233,0,1.0,0,WWD West & Central Africa,Informal/semi-formal financial intermediaries,B4200,0,A020246001,WGM Sub-Saharan Africa,Senegal Program,Senegal,4518387.69,1.0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,D4207,Senegal,0,0,Not PBA,0,Information not available,4238,Terminating,4518387.69,Individual,24040,0,0.0,Africa,0,S4233,0,1.0,0,WWD West & Central Africa,Informal/semi-formal financial intermediaries,B4200,0,A020246001,WGM Sub-Saharan Africa,Senegal Program,Senegal,4518387.69,1.0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,D4400,Guyana,0,0,Not PBA,0,1000975,4438,Closed,7850039.11,Civil Society,11130,0,0.0,America,0,S4429,0,1.0,0,NDD Americas Programming,Teacher training,B4400,0,A020252001,NGM Americas,Caricom - Adm,Caribbean Regional - Guyana,7850039.11,1.0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,D4100,Philippines,0,0,Not PBA,0,10050,4128,Closed,13000520.92,Governmental,15110,0,0.0,Asia,0,S4130,1,1.0,0,OAD Asia Programming,Public sector policy and administrative management,B4100,0,A020272001,OGM Asia Pacific,Philippines and Mongolia,Philippines,0.0,1.0,Directive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4100,Philippines,0,0,Not PBA,0,10050,4128,Closed,13000520.92,Governmental,15111,0,0.0,Asia,0,S4130,1,1.0,0,OAD Asia Programming,Public finance management,B4100,0,A020272001,OGM Asia Pacific,Philippines and Mongolia,Philippines,0.0,1.0,Directive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4100,Philippines,0,0,Not PBA,0,10050,4128,Closed,13000520.92,Governmental,15150,0,0.0,Asia,0,S4130,1,1.0,0,OAD Asia Programming,Democratic participation and civil society,B4100,0,A020272001,OGM Asia Pacific,Philippines and Mongolia,Philippines,0.0,1.0,Directive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4100,Pakistan,0,0,Not PBA,0,10050,4124,Terminating,2645994.04,Governmental,15110,0,0.0,Asia,0,S4141,0,1.0,0,OAD Asia Programming,Public sector policy and administrative management,B4100,0,A020279001,OGM Asia Pacific,"OAA Afghanistan, Pakistan and Sri Lanka",Pakistan,0.0,1.0,Directive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4270,Malawi,0,0,Not PBA,0,1000601,4280,Closed,7747230.74,Civil Society,15110,0,0.0,Africa,0,S4271,0,1.0,0,WED Southern & Eastern Africa,Public sector policy and administrative management,B4200,0,A020392001,WGM Sub-Saharan Africa,Mozambique Program,Malawi,0.0,1.0,Directive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4100,Bangladesh,0,0,Not PBA,0,10050,4122,Closed,4947637.32,Governmental,43010,0,0.0,Asia,0,S4122,0,1.0,0,OAD Asia Programming,Multisector aid,B4100,0,A020395001,OGM Asia Pacific,Bangladesh Section,Bangladesh,0.0,0.5,Directive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4100,Bangladesh,0,0,Not PBA,0,Information not available,4122,Closed,4947637.32,Unknown,43010,0,0.0,Asia,0,S4122,0,1.0,0,OAD Asia Programming,Multisector aid,B4100,0,A020395001,OGM Asia Pacific,Bangladesh Section,Bangladesh,0.0,0.5,Directive,Uncoded: Pre-APP,1,1,0,0,0
2009/2010,D4270,Mozambique,0,0,Not PBA,0,Information not available,4274,Closed,9096651.0,Individual,14031,0,0.0,Africa,0,S4271,0,1.0,0,WED Southern & Eastern Africa,Basic drinking water supply,B4200,0,A020398001,WGM Sub-Saharan Africa,Mozambique Program,Mozambique,0.0,1.0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,D4270,Mozambique,0,0,Not PBA,0,Information not available,4274,Closed,9096651.0,Individual,14032,0,0.0,Africa,0,S4271,0,1.0,0,WED Southern & Eastern Africa,Basic sanitation,B4200,0,A020398001,WGM Sub-Saharan Africa,Mozambique Program,Mozambique,0.0,1.0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,D4207,Cameroon,0,0,Not PBA,0,10050,4289,Closed,2457111.5,Governmental,43010,0,0.0,Africa,0,S4287,1,1.0,0,WWD West & Central Africa,Multisector aid,B4200,0,A020449003,WGM Sub-Saharan Africa,Central Africa & Great Lakes Program,Cameroon,2457111.5,1.0,Directive,Uncoded: Pre-APP,1,1,0,0,0
