title,film_id,rental_duration,language,original_language_id,length,description,replacement_cost,rental_rate,release_year,rating
ACADEMY DINOSAUR,1,6,English,,86,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,20.99,0.99,2006,PG
ACE GOLDFINGER,2,3,English,,48,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,12.99,4.99,2006,G
ADAPTATION HOLES,3,7,English,,50,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,18.99,2.99,2006,NC-17
AFFAIR PREJUDICE,4,5,English,,117,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,26.99,2.99,2006,G
AFRICAN EGG,5,6,English,,130,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,22.99,2.99,2006,G
AGENT TRUMAN,6,3,English,,169,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,17.99,2.99,2006,PG
AIRPLANE SIERRA,7,6,English,,62,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,28.99,4.99,2006,PG-13
AIRPORT POLLOCK,8,6,English,,54,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,15.99,4.99,2006,R
ALABAMA DEVIL,9,3,English,,114,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,21.99,2.99,2006,PG-13
ALADDIN CALENDAR,10,6,English,,63,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,24.99,4.99,2006,NC-17
ALAMO VIDEOTAPE,11,6,English,,126,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,16.99,0.99,2006,G
ALASKA PHANTOM,12,6,English,,136,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,22.99,0.99,2006,PG
ALI FOREVER,13,4,English,,150,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,21.99,4.99,2006,PG
ALICE FANTASIA,14,6,English,,94,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,23.99,0.99,2006,NC-17
ALIEN CENTER,15,5,English,,46,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,10.99,2.99,2006,NC-17
ALLEY EVOLUTION,16,6,English,,180,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,23.99,2.99,2006,NC-17
ALONE TRIP,17,3,English,,82,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,14.99,0.99,2006,R
ALTER VICTORY,18,6,English,,57,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,27.99,0.99,2006,PG-13
AMADEUS HOLY,19,6,English,,113,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,20.99,0.99,2006,PG
AMELIE HELLFIGHTERS,20,4,English,,79,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,23.99,4.99,2006,R
AMERICAN CIRCUS,21,3,English,,129,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,17.99,4.99,2006,R
AMISTAD MIDSUMMER,22,6,English,,85,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,10.99,2.99,2006,G
ANACONDA CONFESSIONS,23,3,English,,92,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,9.99,0.99,2006,R
ANALYZE HOOSIERS,24,6,English,,181,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,19.99,2.99,2006,R
ANGELS LIFE,25,3,English,,74,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,15.99,2.99,2006,G
ANNIE IDENTITY,26,3,English,,86,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park,15.99,0.99,2006,G
ANONYMOUS HUMAN,27,7,English,,179,A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank,12.99,0.99,2006,NC-17
ANTHEM LUKE,28,5,English,,91,A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park,16.99,4.99,2006,PG-13
ANTITRUST TOMATOES,29,5,English,,168,A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India,11.99,2.99,2006,NC-17
ANYTHING SAVANNAH,30,4,English,,82,A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House,27.99,2.99,2006,R
APACHE DIVINE,31,5,English,,92,A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat,16.99,4.99,2006,NC-17
APOCALYPSE FLAMINGOS,32,6,English,,119,A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park,11.99,4.99,2006,R
APOLLO TEEN,33,5,English,,153,A Action-Packed Reflection of a Crocodile And a Explorer who must Find a Sumo Wrestler in An Abandoned Mine Shaft,15.99,2.99,2006,PG-13
ARABIA DOGMA,34,6,English,,62,A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria,29.99,0.99,2006,NC-17
