city_id,city,country,country_id
251,Kabul,Afghanistan,1
59,Batna,Algeria,2
63,Bchar,Algeria,2
483,Skikda,Algeria,2
516,Tafuna,American Samoa,3
67,Benguela,Angola,4
360,Namibe,Angola,4
493,South Hill,Anguilla,5
20,Almirante Brown,Argentina,6
43,Avellaneda,Argentina,6
45,Baha Blanca,Argentina,6
128,Crdoba,Argentina,6
161,Escobar,Argentina,6
165,Ezeiza,Argentina,6
289,La Plata,Argentina,6
334,Merlo,Argentina,6
424,Quilmes,Argentina,6
454,San Miguel de Tucumn,Argentina,6
457,Santa F,Argentina,6
524,Tandil,Argentina,6
567,Vicente Lpez,Argentina,6
586,Yerevan,Armenia,7
576,Woodridge,Australia,8
186,Graz,Austria,9
307,Linz,Austria,9
447,Salzburg,Austria,9
48,Baku,Azerbaijan,10
505,Sumqayit,Azerbaijan,10
14,al-Manama,Bahrain,11
143,Dhaka,Bangladesh,12
234,Jamalpur,Bangladesh,12
525,Tangail,Bangladesh,12
339,Mogiljov,Belarus,13
340,Molodetno,Belarus,13
153,El Alto,Bolivia,14
501,Sucre,Bolivia,14
21,Alvorada,Brazil,15
25,Angra dos Reis,Brazil,15
26,Anpolis,Brazil,15
28,Aparecida de Goinia,Brazil,15
30,Araatuba,Brazil,15
44,Bag,Brazil,15
66,Belm,Brazil,15
83,Blumenau,Brazil,15
84,Boa Vista,Brazil,15
89,Braslia,Brazil,15
183,Goinia,Brazil,15
189,Guaruj,Brazil,15
190,guas Lindas de Gois,Brazil,15
215,Ibirit,Brazil,15
247,Juazeiro do Norte,Brazil,15
248,Juiz de Fora,Brazil,15
317,Luzinia,Brazil,15
328,Maring,Brazil,15
410,Po,Brazil,15
413,Poos de Caldas,Brazil,15
431,Rio Claro,Brazil,15
456,Santa Brbara dOeste,Brazil,15
461,Santo Andr,Brazil,15
485,So Bernardo do Campo,Brazil,15
486,So Leopoldo,Brazil,15
490,Sorocaba,Brazil,15
569,Vila Velha,Brazil,15
572,Vitria de Santo Anto,Brazil,15
53,Bandar Seri Begawan,Brunei,16
436,Ruse,Bulgaria,17
498,Stara Zagora,Bulgaria,17
60,Battambang,Cambodia,18
406,Phnom Penh,Cambodia,18
52,Bamenda,Cameroon,19
585,Yaound,Cameroon,19
179,Gatineau,Canada,20
196,Halifax,Canada,20
300,Lethbridge,Canada,20
313,London,Canada,20
383,Oshawa,Canada,20
430,Richmond Hill,Canada,20
565,Vancouver,Canada,20
363,NDjamna,Chad,21
27,Antofagasta,Chile,22
127,Coquimbo,Chile,22
428,Rancagua,Chile,22
46,Baicheng,China,23
