curated_by,assay_tissue,assay_id,assay_strain,src_assay_id,tid,doc_id,relationship_type,assay_category,description,assay_subcellular_fraction,bao_format,assay_type,assay_test_type,chembl_id,src_id,tissue_id,variant_id,assay_tax_id,assay_cell_type,confidence_score,cell_id,assay_organism
Autocuration,,1.0,,,12052.0,11087.0,H,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,BAO_0000019,B,,CHEMBL615117,1.0,,,,,8.0,,
Autocuration,,2.0,,,22226.0,684.0,U,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,BAO_0000219,F,,CHEMBL615118,1.0,,,,,0.0,,
Autocuration,,3.0,,,22226.0,15453.0,U,,,,BAO_0000019,B,,CHEMBL615119,1.0,,,,,0.0,,
Autocuration,,4.0,,,104729.0,17841.0,H,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,BAO_0000249,B,,CHEMBL615120,1.0,,,9913.0,,4.0,,Bos taurus
Intermediate,,5.0,,,80001.0,17430.0,N,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,BAO_0000219,F,,CHEMBL615121,1.0,,,9606.0,143B,1.0,163.0,Homo sapiens
Intermediate,,6.0,,,80001.0,17430.0,N,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,BAO_0000219,F,,CHEMBL615122,1.0,,,9606.0,143B,1.0,163.0,Homo sapiens
Intermediate,,7.0,,,80001.0,13799.0,N,,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,BAO_0000219,F,,CHEMBL615123,1.0,,,10090.0,143B,1.0,163.0,Mus musculus
Expert,,8.0,,,80001.0,17774.0,N,,In vitro cell cytotoxicity was determined against 143B cell line,,BAO_0000219,F,,CHEMBL615124,1.0,,,9606.0,143B,1.0,163.0,Homo sapiens
Intermediate,,9.0,,,80001.0,3801.0,N,,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,BAO_0000219,F,,CHEMBL615125,1.0,,,9606.0,143B,1.0,163.0,Homo sapiens
Intermediate,,10.0,,,80001.0,17430.0,N,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,BAO_0000219,F,,CHEMBL615126,1.0,,,9606.0,143B,1.0,163.0,Homo sapiens
Intermediate,,11.0,,,80001.0,17430.0,N,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,BAO_0000219,F,,CHEMBL615127,1.0,,,9606.0,143B,1.0,163.0,Homo sapiens
Expert,,12.0,,,80001.0,17774.0,N,,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,BAO_0000219,F,,CHEMBL615128,1.0,,,9606.0,143B,1.0,163.0,Homo sapiens
Intermediate,,13.0,,,50185.0,11324.0,N,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,BAO_0000218,F,,CHEMBL857900,1.0,,,1280.0,,1.0,,Staphylococcus aureus
Intermediate,,14.0,,,50185.0,11324.0,N,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,BAO_0000218,F,,CHEMBL615129,1.0,,,1280.0,,1.0,,Staphylococcus aureus
Intermediate,,15.0,,,50185.0,11324.0,N,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,BAO_0000218,F,,CHEMBL615130,1.0,,,1280.0,,1.0,,Staphylococcus aureus
Intermediate,,16.0,,,50185.0,11324.0,N,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,BAO_0000218,F,,CHEMBL615131,1.0,,,1280.0,,1.0,,Staphylococcus aureus
Expert,,17.0,,,100122.0,11347.0,D,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,BAO_0000357,A,,CHEMBL884521,1.0,,,10116.0,,9.0,,Rattus norvegicus
Autocuration,,18.0,,,12054.0,16474.0,H,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,BAO_0000357,B,,CHEMBL615132,1.0,,,,,8.0,,
Autocuration,,19.0,,,12054.0,10091.0,H,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,BAO_0000019,B,,CHEMBL615133,1.0,,,,,8.0,,
Autocuration,,20.0,,,12054.0,16474.0,H,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,BAO_0000357,B,,CHEMBL615134,1.0,,,,,8.0,,
Autocuration,,21.0,,,12054.0,16474.0,H,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,BAO_0000357,B,,CHEMBL615135,1.0,,,,,8.0,,
Autocuration,,22.0,,,12054.0,16474.0,H,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,BAO_0000357,B,,CHEMBL615136,1.0,,,,,8.0,,
