assay_id,assay_organism,variant_id,assay_type,description,assay_strain,chembl_id,assay_tax_id,confidence_score,src_id,relationship_type,tid,curated_by,src_assay_id,cell_id,bao_format,tissue_id
1,,,B,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,CHEMBL615117,,8,1,H,12052,Autocuration,,,BAO_0000019,
2,,,F,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,CHEMBL615118,,0,1,U,22226,Autocuration,,,BAO_0000219,
3,,,B,,,CHEMBL615119,,0,1,U,22226,Autocuration,,,BAO_0000019,
4,Bos taurus,,B,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,CHEMBL615120,9913.0,4,1,H,104729,Autocuration,,,BAO_0000249,
5,Homo sapiens,,F,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,CHEMBL615121,9606.0,1,1,N,80001,Intermediate,,163.0,BAO_0000219,
6,Homo sapiens,,F,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,CHEMBL615122,9606.0,1,1,N,80001,Intermediate,,163.0,BAO_0000219,
7,Mus musculus,,F,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,CHEMBL615123,10090.0,1,1,N,80001,Intermediate,,163.0,BAO_0000219,
8,Homo sapiens,,F,In vitro cell cytotoxicity was determined against 143B cell line,,CHEMBL615124,9606.0,1,1,N,80001,Expert,,163.0,BAO_0000219,
9,Homo sapiens,,F,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,CHEMBL615125,9606.0,1,1,N,80001,Intermediate,,163.0,BAO_0000219,
10,Homo sapiens,,F,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,CHEMBL615126,9606.0,1,1,N,80001,Intermediate,,163.0,BAO_0000219,
11,Homo sapiens,,F,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,CHEMBL615127,9606.0,1,1,N,80001,Intermediate,,163.0,BAO_0000219,
12,Homo sapiens,,F,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,CHEMBL615128,9606.0,1,1,N,80001,Expert,,163.0,BAO_0000219,
13,Staphylococcus aureus,,F,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,CHEMBL857900,1280.0,1,1,N,50185,Intermediate,,,BAO_0000218,
14,Staphylococcus aureus,,F,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,CHEMBL615129,1280.0,1,1,N,50185,Intermediate,,,BAO_0000218,
15,Staphylococcus aureus,,F,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,CHEMBL615130,1280.0,1,1,N,50185,Intermediate,,,BAO_0000218,
16,Staphylococcus aureus,,F,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,CHEMBL615131,1280.0,1,1,N,50185,Intermediate,,,BAO_0000218,
17,Rattus norvegicus,,A,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,CHEMBL884521,10116.0,9,1,D,100122,Expert,,,BAO_0000357,
18,,,B,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,CHEMBL615132,,8,1,H,12054,Autocuration,,,BAO_0000357,
19,,,B,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,CHEMBL615133,,8,1,H,12054,Autocuration,,,BAO_0000019,
20,,,B,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,CHEMBL615134,,8,1,H,12054,Autocuration,,,BAO_0000357,
21,,,B,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,CHEMBL615135,,8,1,H,12054,Autocuration,,,BAO_0000357,
22,,,B,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,CHEMBL615136,,8,1,H,12054,Autocuration,,,BAO_0000357,
23,,,B,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,CHEMBL615137,,8,1,H,12054,Autocuration,,,BAO_0000357,
24,,,B,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,CHEMBL615138,,8,1,H,12054,Autocuration,,,BAO_0000357,
25,,,B,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,CHEMBL836324,,0,1,U,22226,Autocuration,,,BAO_0000219,
26,Oryctolagus cuniculus,,B,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,CHEMBL615139,9986.0,8,1,H,12054,Autocuration,,,BAO_0000357,
27,Oryctolagus cuniculus,,B,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,CHEMBL615140,9986.0,8,1,H,12054,Autocuration,,,BAO_0000357,
28,,,B,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,CHEMBL615141,,8,1,H,12426,Autocuration,,,BAO_0000219,
29,soya bean,,B,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,CHEMBL615142,3847.0,8,1,H,12054,Autocuration,,,BAO_0000357,
30,Glycine max,,B,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,CHEMBL615143,3847.0,8,1,H,12054,Autocuration,,,BAO_0000357,
31,Glycine max,,B,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,CHEMBL615144,3847.0,8,1,H,12054,Autocuration,,,BAO_0000357,
32,Glycine max,,B,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,CHEMBL872867,3847.0,8,1,H,12054,Autocuration,,,BAO_0000357,
33,Glycine max,,B,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,CHEMBL615145,3847.0,8,1,H,12054,Autocuration,,,BAO_0000357,
34,Glycine max,,B,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,CHEMBL615146,3847.0,8,1,H,12054,Autocuration,,,BAO_0000357,
35,Glycine max,,B,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,CHEMBL615147,3847.0,8,1,H,12054,Autocuration,,,BAO_0000357,
36,Rattus norvegicus,,A,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,CHEMBL615148,10116.0,0,1,U,22226,Autocuration,,,BAO_0000019,
37,Escherichia coli,,B,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,CHEMBL615149,562.0,0,1,U,22226,Autocuration,,,BAO_0000019,
38,,,B,Dissociation constant with dimeric 16S rRNA RNA construct B,,CHEMBL615150,,0,1,U,22226,Autocuration,,,BAO_0000019,
39,,,B,Dissociation constant towards 16S rRNA construct A,,CHEMBL615151,,3,1,M,22222,Intermediate,,,BAO_0000225,
40,,,B,Dissociation constant towards 16S rRNA construct B,,CHEMBL615152,,3,1,M,22222,Intermediate,,,BAO_0000225,
41,Escherichia coli,,B,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,CHEMBL615153,562.0,3,1,M,100263,Expert,,,BAO_0000225,
42,Escherichia coli,,B,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,CHEMBL615154,562.0,3,1,M,100263,Expert,,,BAO_0000225,
43,,,B,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,CHEMBL615155,,8,1,H,13053,Autocuration,,,BAO_0000019,
44,,,B,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,CHEMBL615156,,8,1,H,13053,Autocuration,,,BAO_0000019,
45,Homo sapiens,,B,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,CHEMBL615157,9606.0,8,1,H,20001,Autocuration,,,BAO_0000019,
46,Homo sapiens,,B,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,CHEMBL615158,9606.0,8,1,H,20001,Autocuration,,,BAO_0000019,
47,Rattus norvegicus,,B,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,CHEMBL615159,10116.0,9,1,D,12971,Expert,,,BAO_0000019,
48,Rattus norvegicus,,B,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,CHEMBL615172,10116.0,9,1,D,12971,Expert,,,BAO_0000019,
49,Rattus norvegicus,,B,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,CHEMBL615173,10116.0,9,1,D,12971,Expert,,,BAO_0000019,
50,Rattus norvegicus,,B,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,CHEMBL615174,10116.0,9,1,D,12971,Expert,,,BAO_0000019,
51,,,B,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,CHEMBL884518,,8,1,H,13053,Autocuration,,,BAO_0000019,
52,,,B,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,CHEMBL615175,,8,1,H,11512,Autocuration,,,BAO_0000357,
53,,,B,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,CHEMBL615176,,8,1,H,11512,Autocuration,,,BAO_0000357,
54,,,B,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,CHEMBL615177,,8,1,H,11512,Autocuration,,,BAO_0000357,
55,Rattus norvegicus,,B,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,CHEMBL615178,10116.0,5,1,D,104740,Autocuration,,,BAO_0000249,
56,Homo sapiens,,F,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,CHEMBL615179,9606.0,1,1,N,80002,Intermediate,,506.0,BAO_0000219,
57,Rattus norvegicus,,F,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,CHEMBL615180,10116.0,7,1,D,104835,Autocuration,,,BAO_0000219,
58,Rattus norvegicus,,F,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,CHEMBL615181,10116.0,7,1,D,104821,Autocuration,,,BAO_0000219,
59,Rattus norvegicus,,F,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,CHEMBL615182,10116.0,7,1,D,104848,Autocuration,,,BAO_0000219,
60,Homo sapiens,,F,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,CHEMBL615183,9606.0,1,1,N,80002,Expert,,506.0,BAO_0000219,
61,Homo sapiens,,F,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,CHEMBL615184,9606.0,1,1,N,80002,Intermediate,,506.0,BAO_0000219,
62,Homo sapiens,,F,Cytotoxic activity against human ovarian cancer (1A9) cell line,,CHEMBL615185,9606.0,1,1,N,80002,Intermediate,,506.0,BAO_0000219,
63,Homo sapiens,,F,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,CHEMBL615186,9606.0,1,1,N,80002,Intermediate,,506.0,BAO_0000219,
64,Homo sapiens,,F,Effective dose of compound against replication of 1A9 cell line was evaluated,,CHEMBL615187,9606.0,1,1,N,80002,Intermediate,,506.0,BAO_0000219,
65,Homo sapiens,,F,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,CHEMBL885343,9606.0,1,1,N,80002,Expert,,506.0,BAO_0000219,
66,Homo sapiens,,F,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,CHEMBL615188,9606.0,1,1,N,80002,Intermediate,,506.0,BAO_0000219,
67,Homo sapiens,,F,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,CHEMBL615189,9606.0,1,1,N,80002,Intermediate,,506.0,BAO_0000219,
68,Homo sapiens,,F,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,CHEMBL615190,9606.0,1,1,N,80002,Intermediate,,506.0,BAO_0000219,
69,Homo sapiens,,F,Inhibitory activity against Taxol resistant 1A9 cell lines,,CHEMBL615191,9606.0,1,1,N,80002,Intermediate,,506.0,BAO_0000219,
70,Homo sapiens,,F,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,CHEMBL615192,9606.0,1,1,N,80002,Expert,,506.0,BAO_0000219,
71,Homo sapiens,,F,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,CHEMBL827083,9606.0,1,1,N,80002,Expert,,506.0,BAO_0000219,
72,Homo sapiens,,F,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,CHEMBL615193,9606.0,1,1,N,80002,Expert,,506.0,BAO_0000219,
73,Homo sapiens,,F,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,CHEMBL615194,9606.0,1,1,N,80002,Intermediate,,506.0,BAO_0000219,
74,Homo sapiens,,F,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,CHEMBL615195,9606.0,1,1,N,80002,Intermediate,,506.0,BAO_0000219,
75,Homo sapiens,,F,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,CHEMBL615196,9606.0,1,1,N,80002,Intermediate,,506.0,BAO_0000219,
76,Homo sapiens,,F,Inhibitory concentration against Jurkat cells,,CHEMBL615197,9606.0,1,1,N,81072,Intermediate,,503.0,BAO_0000219,
77,,,F,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,CHEMBL615198,,0,1,U,22226,Intermediate,,,BAO_0000019,
78,Rattus norvegicus,,A,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,CHEMBL615199,10116.0,9,1,D,100121,Expert,,,BAO_0000357,
79,,,B,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,CHEMBL615200,,8,1,H,11231,Expert,,,BAO_0000357,
80,,,B,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,CHEMBL615201,,8,1,H,11231,Expert,,,BAO_0000357,
81,,,B,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,CHEMBL615202,,8,1,H,11231,Expert,,,BAO_0000357,
82,Candida albicans,,B,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,CHEMBL615203,5476.0,8,1,H,11231,Autocuration,,,BAO_0000251,
83,Candida albicans,,B,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,CHEMBL615204,5476.0,8,1,H,11231,Autocuration,,,BAO_0000251,
84,Saccharomyces cerevisiae,,B,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,CHEMBL615205,4932.0,8,1,H,11231,Autocuration,,,BAO_0000251,
85,Saccharomyces cerevisiae,,B,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,CHEMBL615206,4932.0,8,1,H,11231,Autocuration,,,BAO_0000251,
86,Sus scrofa,,B,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",,CHEMBL615207,9823.0,8,1,H,12083,Autocuration,,,BAO_0000251,2107.0
87,Rattus norvegicus,,B,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,CHEMBL827084,10116.0,8,1,H,11231,Autocuration,,,BAO_0000019,
88,Rattus norvegicus,,B,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,CHEMBL615208,10116.0,8,1,H,11231,Autocuration,,,BAO_0000019,
89,Rattus norvegicus,,B,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,CHEMBL615209,10116.0,8,1,H,11231,Autocuration,,,BAO_0000019,
90,Rattus norvegicus,,B,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",,CHEMBL615210,10116.0,9,1,D,12083,Autocuration,,,BAO_0000251,2107.0
91,Rattus norvegicus,,B,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,CHEMBL615211,10116.0,9,1,D,12083,Autocuration,,,BAO_0000251,2107.0
92,Rattus norvegicus,,B,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,CHEMBL615212,10116.0,9,1,D,12083,Autocuration,,,BAO_0000251,2107.0
93,,,B,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,CHEMBL615213,,8,1,H,11377,Expert,,,BAO_0000357,
94,,,B,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,CHEMBL615273,,8,1,H,11377,Expert,,,BAO_0000357,
95,Homo sapiens,,F,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,CHEMBL615274,9606.0,1,1,N,81020,Expert,,726.0,BAO_0000219,
96,Homo sapiens,,F,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,CHEMBL615275,9606.0,1,1,N,81020,Intermediate,,726.0,BAO_0000219,
97,Homo sapiens,,F,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,CHEMBL615276,9606.0,1,1,N,81020,Intermediate,,726.0,BAO_0000219,
