miller2_FiscalYear,miller2_IRTCPercent,miller2_UntiedAmount(Project-levelBudget),miller2_DisabilityIssues(marker),miller2_GenderEquality(marker),miller2_FundCentreName,miller2_OrganisationType,miller2_ProjectBrowserCountryID,miller2_CountryRegionName,miller2_UrbanIssues(marker),miller2_FundCentreID,miller2_FSTCPercent,miller2_EnviromentalSustainability(marker),miller2_SectionID,miller2_DivisionName,miller2_AmountSpent,miller2_SectorID,miller2_ClimateChangeMitigation(marker),miller2_OrganisationClass,miller2_BilateralAid(internationalMarker),miller2_ContinentID,miller2_OrganisationID,miller2_CountryRegionPercent,miller2_YouthIssues(marker),miller2_SectorName,miller2_Desertification(marker),miller2_ParticipatoryDevelopmentAndGoodGovernance,miller2_TradeDevelopment(marker),miller2_Biodiversity(marker),miller2_ChildrenIssues(marker),miller2_IndigenousIssues(marker),miller2_ICTAsAToolForDevelopment(marker),miller2_KnowledgeForDevelopment(marker),miller2_OrganisationName,miller2_OrganisationSub-class,miller2_ContinentName,miller2_CountryRegionID,miller2_SectorPercent
2009/2010,0.0,2460000.0,0,0,UN - CORE,Foreign Non-Profit Making,X3,Asia MC,0,5291,0.0,1,S5602,MID International Organizations,75768.0,33140,0,Multilateral,0,3,1005967,0.22,0,Multilateral trade negotiations,0,1,0,0,0,0,1,1,IAEA - International Atomic Energy Agency Technical Cooperation Fund,UNITED NATIONS,Asia,X3,0.14
2009/2010,0.0,2460000.0,0,0,UN - CORE,Foreign Non-Profit Making,X3,Asia MC,0,5291,0.0,1,S5602,MID International Organizations,273306.0,99810,0,Multilateral,0,3,1005967,0.22,0,Sectors not specified,0,1,0,0,0,0,1,1,IAEA - International Atomic Energy Agency Technical Cooperation Fund,UNITED NATIONS,Asia,X3,0.505
2009/2010,0.0,2460000.0,0,0,UN - CORE,Foreign Non-Profit Making,X4,Europe MC,0,5291,0.0,1,S5602,MID International Organizations,210969.6,12191,0,Multilateral,0,5,1005967,0.32,0,Medical services,0,1,0,0,0,0,1,1,IAEA - International Atomic Energy Agency Technical Cooperation Fund,UNITED NATIONS,Europe,X4,0.268
2009/2010,0.0,2460000.0,0,0,UN - CORE,Foreign Non-Profit Making,X4,Europe MC,0,5291,0.0,1,S5602,MID International Organizations,36998.4,14015,0,Multilateral,0,5,1005967,0.32,0,Water resources conservation (including data collection),0,1,0,0,0,0,1,1,IAEA - International Atomic Energy Agency Technical Cooperation Fund,UNITED NATIONS,Europe,X4,0.047
2009/2010,0.0,2460000.0,0,0,UN - CORE,Foreign Non-Profit Making,X4,Europe MC,0,5291,0.0,1,S5602,MID International Organizations,31488.0,23510,0,Multilateral,0,5,1005967,0.32,0,Nuclear energy electric power plants,0,1,0,0,0,0,1,1,IAEA - International Atomic Energy Agency Technical Cooperation Fund,UNITED NATIONS,Europe,X4,0.04
2009/2010,0.0,2460000.0,0,0,UN - CORE,Foreign Non-Profit Making,X4,Europe MC,0,5291,0.0,1,S5602,MID International Organizations,110208.0,33140,0,Multilateral,0,5,1005967,0.32,0,Multilateral trade negotiations,0,1,0,0,0,0,1,1,IAEA - International Atomic Energy Agency Technical Cooperation Fund,UNITED NATIONS,Europe,X4,0.14
2009/2010,0.0,2460000.0,0,0,UN - CORE,Foreign Non-Profit Making,X4,Europe MC,0,5291,0.0,1,S5602,MID International Organizations,397536.0,99810,0,Multilateral,0,5,1005967,0.32,0,Sectors not specified,0,1,0,0,0,0,1,1,IAEA - International Atomic Energy Agency Technical Cooperation Fund,UNITED NATIONS,Europe,X4,0.505
2009/2010,0.0,300000.0,0,0,MHI Non-Food INIT,Foreign Non-Profit Making,SV,El Salvador,0,5303,0.0,0,S5320,MHDInternational Humanitarian Assistance,300000.0,72010,0,Multilateral,1,1,1001300,1.0,0,Material relief assistance and services,0,0,0,0,0,0,0,0,PAHO - Pan American Health Organization,REGIONAL ORGANIZATION,America,SV,1.0
2009/2010,0.0,3000000.0,0,1,MHO Non Food - CORE,Canadian Non-Profit Making,X1,Africa MC,0,5311,0.0,0,S5330,MHDInternational Humanitarian Assistance,1500000.0,72010,0,Civil Society,1,2,1014663,0.5,0,Material relief assistance and services,0,0,0,0,0,0,0,0,ICRC Appeals via CRCS,INTERNATIONAL NGO,Africa,X1,1.0
2009/2010,0.0,3000000.0,0,1,MHO Non Food - CORE,Canadian Non-Profit Making,X2,Americas MC,0,5311,0.0,0,S5330,MHDInternational Humanitarian Assistance,450000.0,72010,0,Civil Society,1,1,1014663,0.15,0,Material relief assistance and services,0,0,0,0,0,0,0,0,ICRC Appeals via CRCS,INTERNATIONAL NGO,America,X2,1.0
2009/2010,0.0,3000000.0,0,1,MHO Non Food - CORE,Canadian Non-Profit Making,X3,Asia MC,0,5311,0.0,0,S5330,MHDInternational Humanitarian Assistance,900000.0,72010,0,Civil Society,1,3,1014663,0.3,0,Material relief assistance and services,0,0,0,0,0,0,0,0,ICRC Appeals via CRCS,INTERNATIONAL NGO,Asia,X3,1.0
2009/2010,0.0,3000000.0,0,1,MHO Non Food - CORE,Canadian Non-Profit Making,X4,Europe MC,0,5311,0.0,0,S5330,MHDInternational Humanitarian Assistance,150000.0,72010,0,Civil Society,1,5,1014663,0.05,0,Material relief assistance and services,0,0,0,0,0,0,0,0,ICRC Appeals via CRCS,INTERNATIONAL NGO,Europe,X4,1.0
2009/2010,0.0,3000000.0,0,1,MHO Non Food - CORE,Canadian Non-Profit Making,X1,Africa MC,0,5311,0.0,0,S5330,MHDInternational Humanitarian Assistance,1500000.0,72010,0,Civil Society,1,2,1014663,0.5,0,Material relief assistance and services,0,0,0,0,0,0,0,0,ICRC Appeals via CRCS,INTERNATIONAL NGO,Africa,X1,1.0
2009/2010,0.0,3000000.0,0,1,MHO Non Food - CORE,Canadian Non-Profit Making,X2,Americas MC,0,5311,0.0,0,S5330,MHDInternational Humanitarian Assistance,450000.0,72010,0,Civil Society,1,1,1014663,0.15,0,Material relief assistance and services,0,0,0,0,0,0,0,0,ICRC Appeals via CRCS,INTERNATIONAL NGO,America,X2,1.0
2009/2010,0.0,3000000.0,0,1,MHO Non Food - CORE,Canadian Non-Profit Making,X3,Asia MC,0,5311,0.0,0,S5330,MHDInternational Humanitarian Assistance,900000.0,72010,0,Civil Society,1,3,1014663,0.3,0,Material relief assistance and services,0,0,0,0,0,0,0,0,ICRC Appeals via CRCS,INTERNATIONAL NGO,Asia,X3,1.0
2009/2010,0.0,3000000.0,0,1,MHO Non Food - CORE,Canadian Non-Profit Making,X4,Europe MC,0,5311,0.0,0,S5330,MHDInternational Humanitarian Assistance,150000.0,72010,0,Civil Society,1,5,1014663,0.05,0,Material relief assistance and services,0,0,0,0,0,0,0,0,ICRC Appeals via CRCS,INTERNATIONAL NGO,Europe,X4,1.0
2009/2010,0.0,500000.0,0,0,MHI Non-Food INIT,Foreign Non-Profit Making,LK,Sri Lanka,0,5303,0.0,1,S5320,MHDInternational Humanitarian Assistance,500000.0,72010,0,Civil Society,1,3,1015332,1.0,0,Material relief assistance and services,0,0,0,0,0,0,0,0,Mines Advisory Group,NGO,Asia,LK,1.0
2009/2010,0.0,500000.0,0,0,MHI Non-Food INIT,Foreign Non-Profit Making,LK,Sri Lanka,0,5303,0.0,1,S5320,MHDInternational Humanitarian Assistance,500000.0,72010,0,Civil Society,1,3,1015331,1.0,0,Material relief assistance and services,0,0,0,0,0,0,0,0,The Halo Trust,NGO,Asia,LK,1.0
