Fiscal year,FSTC percent,Section ID,Participatory development and good governance,CIDA business delivery model (old),CountryRegion ID,Organisation class,Sector ID,Enviromental sustainability (marker),Organisation name,CountryRegion name,Continent ID,Climate change adaptation (marker),Section name,Trade development (marker),Project number,Status,Maximum CIDA contribution (project-level),Branch ID,Branch name,Division ID,Division name,Regional program (marker),Fund centre ID,Fund centre name,Untied amount(Project-level budget),IRTC percent,CFLI (marker),Programming process (new),Bilateral aid (international marker),PBA type,Climate change mitigation (marker),Desertification (marker)
2009201o,1.9191070766636595,S4q22,0,Dirdctive,BD,Ibdiviwual,15150,0,Imbormagionnotsvailable,Babglqdesh,3,0,BanviwdeshSection,0,A017716001,Closed,8500267.65,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,0,4122,Bangladesh,8500267.65,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20092p10,0.8065676135197224,d4122,0,D8rective,BD,Indiviskal,24040,0,8nfornstionnotsvailable,Banglaxesm,3,0,BangladdshSex4ion,0,A017716001,Closed,8500267.65,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,0,4122,Bangladesh,8500267.65,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20092p10,2.2445951075937645,S4222,0,Dir3ctive,BD,Ibdividyal,25020,0,jnforma6iohno5available,Banrlad4sh,3,0,Banglsd2shSectioj,0,A017716001,Closed,8500267.65,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,0,4122,Bangladesh,8500267.65,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20092019,0.4815624763846017,S4q64,0,Direct8ve,PS,Governmfnral,99810,0,DeparymemtofFore9gjwfrairsqndIn5ernationalTrqde,WsstBankyaza,3,0,WesfBwgkGazaPalestimianRef6fees,0,A018652001,Closed,500458.33,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,0,4265,West Bank Gaza,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
2p092010,0.5020525398597963,S4q15,1,Redpogsive,ML,Governm4ntap,16020,0,Depar6mentofForejgnsffxirsagdIn63rnztionalTradf,Mali,2,0,MakiProgtanSection,0,A018893001,Closed,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,0,4216,Mali,14410076.46,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20092p10,1.278794231760396,S5215,1,Rwsponsiv4,ML,G0dernmental,32310,0,vepar4mentofForfignAvfairsandubtermarionalTraxe,Mali,2,0,nali9rogramS3ction,0,A018893001,Closed,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,0,4216,Mali,14410076.46,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
200920q0,0.4981025828291785,S3215,1,Respondice,ML,Gogernmentai,43030,0,Depaf4mebrofFordjgnAffairsanxInhernationapTrade,Mali,2,0,MqloProgramSectikn,0,A018893001,Closed,14410076.46,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,0,4216,Mali,14410076.46,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
w0092010,1.5626965962658899,Se141,1,Redlonsive,PK,hovergmental,15110,0,DepartnentofFoesifmAffaigsandlnternationwlhrade,Pqkistan,3,0,OAqAfghanistanPak8sfanandSekLsnka,0,A019043001,Closed,13743220.56,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,0,4124,Pakistan,13743220.56,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
2p092010,0.9564287650871646,S4142,1,Resoonside,PK,Gofernmenral,15111,0,separtmentifFor3ighAffqirqandIn5ernationaoTrzde,Pakixtan,3,0,8xAwfyhajistajPakistanandSriLanka,0,A019043001,Closed,13743220.56,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,0,4124,Pakistan,13743220.56,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20o92010,0.7317882318237205,z4141,1,R2sppnsive,PK,Govegnmentzl,16010,0,DepartmdbtofFodeignAcfairsqndlntdrnationak5rade,Pakiqtan,3,0,OxAAdghanistanlakistananvxriLamka,0,A019043001,Closed,13743220.56,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,0,4124,Pakistan,13743220.56,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20092020,0.2769289190836334,e4429,0,Respons8v4,JM,sivildociety,24040,0,D4VPARgINzNCkALCONSULTINtLTD,Jamqica,1,0,Ca5iclmAdm,0,A019362001,Closed,3441416.83,B4400,NGM Americas,D4400,NDD Americas Programming,0,4439,Caribbean Regional - Jamaica,3441416.83,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
200920q0,0.6098765132267838,S44e9,0,Resoonside,JM,CivolSosiety,24040,0,MMLYNCHCONSyL6xNTcjNTERNArIONAL,Jamqica,1,0,CarickmAsm,0,A019362001,Closed,3441416.83,B4400,NGM Americas,D4400,NDD Americas Programming,0,4439,Caribbean Regional - Jamaica,3441416.83,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20092o10,0.8229631936397358,S4266,1,Di4ective,EG,Civilzocidty,15150,1,CowaterInhernqyionalIgc,Eghpt,2,0,MiddleEastandN83thAfficq,0,A019608001,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,0,4263,Egypt,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
10092010,1.3492386281718534,q4256,1,Dirwctive,EG,CivilSici2ty,24030,1,dowat2rIntsrnationapInc,Egy9t,2,0,MuxdleEasgandNorthAfr9ca,0,A019608001,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,0,4263,Egypt,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20092019,0.3524652286857244,S4q56,1,Directlve,EG,CivilSoxjety,25010,1,C0wqterlnternatipnalInc,Egylt,2,0,Middl3EastandNor5hAf5oca,0,A019608001,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,0,4263,Egypt,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20092o10,0.03869044000186017,z4256,1,Dirsctive,EG,CjvilSocifty,32110,1,CowaherInt3rnwtionzlInc,Egyp4,2,0,niddledastandNorghxfrica,0,A019608001,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,0,4263,Egypt,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20p92010,0.5484660207182576,S4257,1,Djrective,EG,CivilSiciegy,32130,1,C8waterInyfrnationalIgc,Egyot,2,0,MiddleEaetandNortnAfr8cs,0,A019608001,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,0,4263,Egypt,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
29092010,1.9382840598476245,S5256,1,Directibe,EG,Civiidociety,32182,1,vowwteeInternatipnalInc,4gypt,2,0,M7ddledastzndborthAfrica,0,A019608001,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,0,4263,Egypt,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20092020,0.8841926654441217,St256,1,Directivf,EG,CibiiSociety,41010,1,dowaterInternati8naljns,Egy9t,2,0,MidfleEzstandNoethwfrica,0,A019608001,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,0,4263,Egypt,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
2009q010,1.3242468594191643,S4356,1,Direcyive,EG,CivilSociwt5,41020,1,Cowat4rjnternationalubc,Egjpt,2,0,MiddlffastandNorthAr5ica,0,A019608001,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,0,4263,Egypt,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20093010,0.12099269997681006,S5256,0,Dirfctive,DZ,Govfrnmentap,43010,0,DwpartmentovrpreignAffsiesamdIgternationwlTrade,Algerka,2,0,MidxleEaztansNortyAfrica,0,A020161001,Closed,328400.96,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,0,4259,*Algeria,0.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
29092010,0.6756340089599324,S5449,1,Direcgive,HT,Govermmentao,15150,0,Ds0xrtmebtofForejgnAffairssnd8ngernationapTrade,Haigi,1,0,Ha4iDomihicanRepuboicSectoom,0,A020195001,Closed,4610501.0,B4400,NGM Americas,D4400,NDD Americas Programming,0,4452,Haiti,4000000.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
20092910,0.7161651290957942,Sr449,1,Directivd,HT,Govergnental,15160,0,DepartmfntobForeignAffai3sxbdInternz6ionqlT5ade,Haito,1,0,HatlDoninicanR3publjcdection,0,A020195001,Closed,4610501.0,B4400,NGM Americas,D4400,NDD Americas Programming,0,4452,Haiti,4000000.0,0.0,0,Uncoded: Pre-APP,1,Not PBA,0,0
