Time,Artist_Name,Song_Name,Released,Genre,CopyRight,id,Album_Name,Price
Time,Artist_Name,Song_Name,Released,Genre,CopyRight,id,Album_Name,Price
3:01,Cam,Runaway Train,31-Mar-15,"Country , Music , Contemporary Country , Honky Tonk",2015 Sony Music Entertainment,0,Welcome to Cam Country - EP,$ 0.99
3:41,Omi,Track 14,,"Pop/Rock , Music , Pop , Dance , R&B / Soul","2015 Ultra Records , LLC under exclusive license to Columbia Records , a Division of Sony Music Entertainment",1,Me 4 U,Album Only
3:01,Meghan Trainor,Lips Are Movin,9-Jan-15,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop","2014 , 2015 Epic Records , a division of Sony Music Entertainment",2,Title,$ 1.29
2:20,A Great Big World,I Want a Hippopotamus for Christmas,24-Nov-14,"Holiday , Music","Compilation ( P ) 2014 Epic Records , a division of Sony Music Entertainment",3,I 'll Be Home For Christmas,$ 1.29
2:51,Meghan Trainor,Credit,9-Jan-15,"Pop , Music , Rock , Pop/Rock , Dance , Teen Pop","2014 , 2015 Epic Records , a division of Sony Music Entertainment",4,Title ( Deluxe ),$ 1.29
3:01,Meghan Trainor,Lips Are Movin,9-Jan-15,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop","2014 , 2015 Epic Records , a division of Sony Music Entertainment",5,Title,$ 1.29
3:01,Meghan Trainor,Lips Are Movin,9-Jan-15,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop","2014 , 2015 Epic Records , a division of Sony Music Entertainment",6,Title,$ 1.29
3:01,Meghan Trainor,Lips Are Movin,9-Jan-15,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop","2014 , 2015 Epic Records , a division of Sony Music Entertainment",7,Title,$ 1.29
3:01,Meghan Trainor,Lips Are Movin,9-Jan-15,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop","2014 , 2015 Epic Records , a division of Sony Music Entertainment",8,Title,$ 1.29
4:02,Selena Gomez,Perfect,,"Pop , Music , Rock",2015 Interscope Records,9,Revival ( Deluxe ),Album Only
3:01,Olly Murs,Wrapped Up ( Live ),21-Apr-15,"Pop , Music",2015 Walt Disney Records,10,Radio Disney Music Awards,Album Only
3:01,Meghan Trainor,Lips Are Movin,9-Jan-15,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop","2014 , 2015 Epic Records , a division of Sony Music Entertainment",11,Title,$ 1.29
3:01,Meghan Trainor,Lips Are Movin,9-Jan-15,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop","2014 , 2015 Epic Records , a division of Sony Music Entertainment",12,Title,$ 1.29
