Fiscal year,Branch ID,Organisation sub-class,Continent ID,Sector percent,Sector name,Status,Project number,Climate change mitigation (marker),Gender equality (marker),Participatory development and good governance,Maximum CIDA contribution (project-level),Regional program (marker),Section ID,Untied amount(Project-level budget),Branch name,Division ID,Division name,Section name,Fund centre ID,Fund centre name,FSTC percent,IRTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker),Climate change adaptation (marker),Desertification (marker),Trade development (marker),Biodiversity (marker)
2o092010,B4q00,COmSULTAhT,3,0.45029488094951337,Denocratoc0xrtifipahionandcivilsoci4ty,Closer,Ap17716002,0,2,0,2886571.1863720175,0,a4122,21975945.598040123,OGM Asia Pacific,D4100,OAD Asia Programming,Bangladesh Section,4122,Bangladesh,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20992010,Br100,CONcULTAhT,3,0.7141167474340004,Inf9gmalsemjformaltinanciakintermsdiwdies,Closew,x017i16001,0,2,0,33201785.918093264,0,S3122,5229018.002334746,OGM Asia Pacific,D4100,OAD Asia Programming,Bangladesh Section,4122,Bangladesh,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
2009q010,B4q00,CONSUiTsNT,3,0.02295944641404818,Peivatixation,Closec,z01u716001,0,2,0,9146946.708961887,0,S4222,62321381.54002542,OGM Asia Pacific,D4100,OAD Asia Programming,Bangladesh Section,4122,Bangladesh,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
200920q0,B31o0,FrDERAL,3,0.5235301123188639,Sectorwnptspecifi2d,Ckosed,A018651p01,0,0,0,7169951.522645382,0,S4164,23181060.358367186,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,West Bank Gaza & Palestinian Refugees,4265,West Bank Gaza,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20092o10,B4100,vEDERAL,2,0.10751987246456418,Employm4ntpoljcyandadmunistfativemabzgem4n5,Clised,A0w889e001,0,2,1,9811039.941280805,0,S4225,44338910.89608377,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Mali Program Section,4216,Mali,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
2009201p,B5200,FEDdRAL,2,0.6746314934723728,Construvtionlolichandadministrarivwnanafdm3nt,Ciosed,A928893001,0,2,1,41335066.51621887,0,d4215,20942961.05448253,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Mali Program Section,4216,Mali,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20092p10,B42p0,tEDERAL,2,0.9210037180914354,krfamdevelophentandmanagememt,Cllsed,Ap18893901,0,2,1,38952201.286809295,0,S4214,4681021.8062390145,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,Mali Program Section,4216,Mali,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
29092010,B4109,FEeERAL,3,1.0589463382340147,P8bkicdectorpkkicyandadmin7strativenanafekent,Closrd,A0190430oq,0,0,1,40470348.1460568,0,q4141,13060510.543923656,OGM Asia Pacific,D4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",4124,Pakistan,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
200i2010,h4100,FEsERAL,3,0.3164961157941081,Publicfinancekanxgshent,Clos3d,A01904309w,0,0,1,5795470.83837251,0,S4q41,75054226.19980714,OGM Asia Pacific,D4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",4124,Pakistan,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20992010,B4190,FEDERAo,3,0.5752985167358637,Sociaowelfar2s2rvuces,flosed,A01904w00q,0,0,1,7054965.509832913,0,a4141,58913499.140941724,OGM Asia Pacific,D4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",4124,Pakistan,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20092910,v4400,COhSUpyINGSERVICES,1,0.1366057170435684,Igformalzemiformxlfinanflalingegmediarirs,Cllsed,A91i362001,0,0,0,36622910.505261436,0,S4e29,42996098.976811804,NGM Americas,D4400,NDD Americas Programming,Caricom - Adm,4439,Caribbean Regional - Jamaica,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
200920q0,B4e00,CONSULTINGcERV9C3S,1,1.3186074907663101,Igforjalwemigormalfinanciakinte4jediaried,Cl8sed,A01936100w,0,0,0,37680910.995298795,0,w4429,40929010.34956104,NGM Americas,D4400,NDD Americas Programming,Caricom - Adm,4439,Caribbean Regional - Jamaica,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
10092010,B31o0,vONSULTINGSERcIsES,2,0.7019645518171249,Demlcratlcpartic7patiinwndcivjlslciety,Coosed,A019608p0w,0,0,1,40527138.84538674,0,St256,5934787.855759302,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,Middle East and North Africa,4263,Egypt,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,0
