assay_id,curated_by,assay_subcellular_fraction,assay_tissue,tissue_id,description,tid,assay_organism,doc_id,bao_format,assay_strain,assay_type,assay_test_type,assay_category,assay_tax_id,assay_cell_type,relationship_type
1,Autocuration,,,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,12052,,11087,BAO_0000019,,B,,,,,H
2,Autocuration,,,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,22226,,684,BAO_0000219,,F,,,,,U
3,Autocuration,,,,,22226,,15453,BAO_0000019,,B,,,,,U
4,Autocuration,,,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,104729,Bos taurus,17841,BAO_0000249,,B,,,9913.0,,H
5,Intermediate,,,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),80001,Homo sapiens,17430,BAO_0000219,,F,,,9606.0,143B,N
6,Intermediate,,,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),80001,Homo sapiens,17430,BAO_0000219,,F,,,9606.0,143B,N
7,Intermediate,,,,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,80001,Mus musculus,13799,BAO_0000219,,F,,,10090.0,143B,N
8,Expert,,,,In vitro cell cytotoxicity was determined against 143B cell line,80001,Homo sapiens,17774,BAO_0000219,,F,,,9606.0,143B,N
9,Intermediate,,,,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,80001,Homo sapiens,3801,BAO_0000219,,F,,,9606.0,143B,N
10,Intermediate,,,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,80001,Homo sapiens,17430,BAO_0000219,,F,,,9606.0,143B,N
11,Intermediate,,,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,80001,Homo sapiens,17430,BAO_0000219,,F,,,9606.0,143B,N
12,Expert,,,,In vitro cell cytotoxicity was determined against 143B-LTK cell line,80001,Homo sapiens,17774,BAO_0000219,,F,,,9606.0,143B,N
13,Intermediate,,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",50185,Staphylococcus aureus,11324,BAO_0000218,,F,,,1280.0,,N
14,Intermediate,,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",50185,Staphylococcus aureus,11324,BAO_0000218,,F,,,1280.0,,N
15,Intermediate,,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",50185,Staphylococcus aureus,11324,BAO_0000218,,F,,,1280.0,,N
16,Intermediate,,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",50185,Staphylococcus aureus,11324,BAO_0000218,,F,,,1280.0,,N
17,Expert,,,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,100122,Rattus norvegicus,11347,BAO_0000357,,A,,,10116.0,,D
18,Autocuration,,,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),12054,,16474,BAO_0000357,,B,,,,,H
19,Autocuration,,,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,12054,,10091,BAO_0000019,,B,,,,,H
20,Autocuration,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),12054,,16474,BAO_0000357,,B,,,,,H
21,Autocuration,,,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),12054,,16474,BAO_0000357,,B,,,,,H
22,Autocuration,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),12054,,16474,BAO_0000357,,B,,,,,H
23,Autocuration,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,12054,,16474,BAO_0000357,,B,,,,,H
24,Autocuration,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,12054,,16474,BAO_0000357,,B,,,,,H
25,Autocuration,,,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",22226,,14352,BAO_0000219,,B,,,,,U
26,Autocuration,,,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,12054,Oryctolagus cuniculus,5646,BAO_0000357,,B,,,9986.0,,H
27,Autocuration,,,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),12054,Oryctolagus cuniculus,5646,BAO_0000357,,B,,,9986.0,,H
28,Autocuration,,,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,12426,,10997,BAO_0000219,,B,,,,,H
29,Autocuration,,,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,12054,soya bean,6309,BAO_0000357,,B,,,3847.0,,H
30,Autocuration,,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,12054,Glycine max,167,BAO_0000357,,B,,,3847.0,,H
31,Autocuration,,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,12054,Glycine max,167,BAO_0000357,,B,,,3847.0,,H
32,Autocuration,,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,12054,Glycine max,11087,BAO_0000357,,B,,,3847.0,,H
33,Autocuration,,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,12054,Glycine max,11087,BAO_0000357,,B,,,3847.0,,H
34,Autocuration,,,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,12054,Glycine max,13622,BAO_0000357,,B,,,3847.0,,H
35,Autocuration,,,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,12054,Glycine max,13622,BAO_0000357,,B,,,3847.0,,H
36,Autocuration,,,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,22226,Rattus norvegicus,11347,BAO_0000019,,A,,,10116.0,,U
37,Autocuration,,,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,22226,Escherichia coli,5926,BAO_0000019,,B,,,562.0,,U
38,Autocuration,,,,Dissociation constant with dimeric 16S rRNA RNA construct B,22226,,4567,BAO_0000019,,B,,,,,U
39,Intermediate,,,,Dissociation constant towards 16S rRNA construct A,22222,,3782,BAO_0000225,,B,,,,,M
40,Intermediate,,,,Dissociation constant towards 16S rRNA construct B,22222,,3782,BAO_0000225,,B,,,,,M
41,Expert,,,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,100263,Escherichia coli,4466,BAO_0000225,,B,,,562.0,,M
42,Expert,,,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,100263,Escherichia coli,6592,BAO_0000225,,B,,,562.0,,M
43,Autocuration,,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),13053,,898,BAO_0000019,,B,,,,,H
44,Autocuration,,,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),13053,,898,BAO_0000019,,B,,,,,H
45,Autocuration,,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,20001,Homo sapiens,13163,BAO_0000019,,B,,,9606.0,,H
46,Autocuration,,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,20001,Homo sapiens,13163,BAO_0000019,,B,,,9606.0,,H
47,Expert,,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",12971,Rattus norvegicus,10691,BAO_0000019,,B,,,10116.0,,D
48,Expert,,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",12971,Rattus norvegicus,10691,BAO_0000019,,B,,,10116.0,,D
49,Expert,,,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",12971,Rattus norvegicus,10691,BAO_0000019,,B,,,10116.0,,D
50,Expert,,,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",12971,Rattus norvegicus,10691,BAO_0000019,,B,,,10116.0,,D
51,Autocuration,,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),13053,,898,BAO_0000019,,B,,,,,H
52,Autocuration,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),11512,,912,BAO_0000357,,B,,,,,H
53,Autocuration,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,11512,,912,BAO_0000357,,B,,,,,H
54,Autocuration,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,11512,,912,BAO_0000357,,B,,,,,H
55,Autocuration,Membranes,,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,104740,Rattus norvegicus,15103,BAO_0000249,,B,,,10116.0,,D
56,Intermediate,,,,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,80002,Homo sapiens,5116,BAO_0000219,,F,,,9606.0,1A9,N
57,Autocuration,,,,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,104835,Rattus norvegicus,14578,BAO_0000219,,F,,,10116.0,Oocytes,D
58,Autocuration,,,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,104821,Rattus norvegicus,14578,BAO_0000219,,F,,,10116.0,Oocytes,D
59,Autocuration,,,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,104848,Rattus norvegicus,14578,BAO_0000219,,F,,,10116.0,Oocytes,D
60,Expert,,,,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,80002,Homo sapiens,4787,BAO_0000219,,F,,,9606.0,1A9,N
61,Intermediate,,,,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,80002,Homo sapiens,4787,BAO_0000219,,F,,,9606.0,1A9,N
62,Intermediate,,,,Cytotoxic activity against human ovarian cancer (1A9) cell line,80002,Homo sapiens,3547,BAO_0000219,,F,,,9606.0,1A9,N
63,Intermediate,,,,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,80002,Homo sapiens,3547,BAO_0000219,,F,,,9606.0,1A9,N
64,Intermediate,,,,Effective dose of compound against replication of 1A9 cell line was evaluated,80002,Homo sapiens,6726,BAO_0000219,,F,,,9606.0,1A9,N
65,Expert,,,,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,80002,Homo sapiens,3455,BAO_0000219,,F,,,9606.0,1A9,N
66,Intermediate,,,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),80002,Homo sapiens,5726,BAO_0000219,,F,,,9606.0,1A9,N
67,Intermediate,,,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,80002,Homo sapiens,5726,BAO_0000219,,F,,,9606.0,1A9,N
68,Intermediate,,,,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,80002,Homo sapiens,5726,BAO_0000219,,F,,,9606.0,1A9,N
69,Intermediate,,,,Inhibitory activity against Taxol resistant 1A9 cell lines,80002,Homo sapiens,3395,BAO_0000219,,F,,,9606.0,1A9,N
70,Expert,,,,Cytotoxicity against human ovarian cancer (1A9) cell lines.,80002,Homo sapiens,3415,BAO_0000219,,F,,,9606.0,1A9,N
71,Expert,,,,Percentage inhibition of human ovarian cancer (1A9) cell lines.,80002,Homo sapiens,3415,BAO_0000219,,F,,,9606.0,1A9,N
72,Expert,,,,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,80002,Homo sapiens,17099,BAO_0000219,,F,,,9606.0,1A9,N
73,Intermediate,,,,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,80002,Homo sapiens,17099,BAO_0000219,,F,,,9606.0,1A9,N
74,Intermediate,,,,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,80002,Homo sapiens,17099,BAO_0000219,,F,,,9606.0,1A9,N
75,Intermediate,,,,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,80002,Homo sapiens,17099,BAO_0000219,,F,,,9606.0,1A9,N
76,Intermediate,,,,Inhibitory concentration against Jurkat cells,81072,Homo sapiens,17721,BAO_0000219,,F,,,9606.0,Jurkat,N
77,Intermediate,,,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,22226,,1229,BAO_0000019,,F,,,,,U
78,Expert,,,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,100121,Rattus norvegicus,11347,BAO_0000357,,A,,,10116.0,,D
79,Expert,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",11231,,17117,BAO_0000357,,B,,,,,H
80,Expert,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",11231,,17117,BAO_0000357,,B,,,,,H
81,Expert,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",11231,,17117,BAO_0000357,,B,,,,,H
82,Autocuration,Microsomes,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",11231,Candida albicans,11375,BAO_0000251,,B,,,5476.0,,H
83,Autocuration,Microsomes,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",11231,Candida albicans,11375,BAO_0000251,,B,,,5476.0,,H
84,Autocuration,Microsomes,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",11231,Saccharomyces cerevisiae,11375,BAO_0000251,,B,,,4932.0,,H
85,Autocuration,Microsomes,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",11231,Saccharomyces cerevisiae,11375,BAO_0000251,,B,,,4932.0,,H
86,Autocuration,Microsomes,Liver,2107.0,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",12083,Sus scrofa,11375,BAO_0000251,,B,,,9823.0,,H
87,Autocuration,,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",11231,Rattus norvegicus,791,BAO_0000019,,B,,,10116.0,,H
88,Autocuration,,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",11231,Rattus norvegicus,791,BAO_0000019,,B,,,10116.0,,H
89,Autocuration,,,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",11231,Rattus norvegicus,791,BAO_0000019,,B,,,10116.0,,H
90,Autocuration,Microsomes,Liver,2107.0,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",12083,Rattus norvegicus,11375,BAO_0000251,,B,,,10116.0,,D
91,Autocuration,Microsomes,Liver,2107.0,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",12083,Rattus norvegicus,11375,BAO_0000251,,B,,,10116.0,,D
92,Autocuration,Microsomes,Liver,2107.0,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",12083,Rattus norvegicus,153,BAO_0000251,,B,,,10116.0,,D
93,Expert,,,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),11377,,8269,BAO_0000357,,B,,,,,H
94,Expert,,,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,11377,,8269,BAO_0000357,,B,,,,,H
95,Expert,,,,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,81020,Homo sapiens,17653,BAO_0000219,,F,,,9606.0,HepG2,N
96,Intermediate,,,,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,81020,Homo sapiens,14277,BAO_0000219,,F,,,9606.0,HepG2,N
97,Intermediate,,,,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,81020,Homo sapiens,1717,BAO_0000219,,F,,,9606.0,HepG2,N
98,Intermediate,,,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,81020,Homo sapiens,14091,BAO_0000219,,F,,,9606.0,HepG2,N
99,Intermediate,,,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,81020,Homo sapiens,14091,BAO_0000219,,F,,,9606.0,HepG2,N
100,Expert,,,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,50606,Hepatitis B virus,17653,BAO_0000218,,F,,,10407.0,,N
101,Intermediate,,,,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,81020,Homo sapiens,13105,BAO_0000219,,F,,,9606.0,HepG2,N
102,Intermediate,,,,Concentration required to inhibit 50% of 2.2.15 cell line,81020,Homo sapiens,1717,BAO_0000219,,F,,,9606.0,HepG2,N
103,Intermediate,,,,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,81020,Homo sapiens,13105,BAO_0000219,,A,,,9606.0,HepG2,N
