Fiscal year,Status,Climate change adaptation (marker),Regional program (marker),Division ID,Participatory development and good governance,Enviromental sustainability (marker),Biodiversity (marker),Continent name,Climate change mitigation (marker),Branch name,Organisation sub-class,Children issues (marker),Trade development (marker),Knowledge for development (marker),Maximum CIDA contribution (project-level),PBA type,Fund centre name,Project number,CIDA business delivery model (old),CFLI (marker),Programming process (new),Untied amount(Project-level budget),Sector ID,Branch ID,Division name,Section ID,Section name,Fund centre ID,FSTC percent,IRTC percent,Bilateral aid (international marker),Desertification (marker),Urban issues (marker),Youth issues (marker),Indigenous issues (marker),Disability issues (marker),ICT as a tool for development (marker)
2p092010,Cl0sed,0,0,D4190,0,0,0,Asia,0,OGMssiaPacigic,vONSULTAgT,0,0,0,17392667.252762277,botPBA,Banglaseqh,A018726001,Dir3ctive,0,Unc9dedPdeAPP,7378593.775207248,15150,B410o,OAD Asia Programming,S4122,Bangladesh Section,4122,1.0,0.0,1,0,0,0,0,0,0
20002010,Ckosed,0,0,w4100,0,0,0,Asia,0,OGMAsizPacjfic,CONSULrAjT,0,0,0,7490037.113274702,NotPhA,Bahtladesh,A0qi716001,Dirsctive,0,UnvodedPreAPl,13974455.51817758,24040,B410o,OAD Asia Programming,S4122,Bangladesh Section,4122,1.0,0.0,1,0,0,0,0,0,0
200920q0,Cllsed,0,0,D410p,0,0,0,Asia,0,OGMAziaPac9fic,CONSULTAmh,0,0,0,31400942.75075756,hotPBA,Bwntladesh,Ap17716091,Dir4ctive,0,UncodfdPreAP0,25439019.166559123,25020,Bt100,OAD Asia Programming,S4122,Bangladesh Section,4122,1.0,0.0,1,0,0,0,0,0,0
20p92010,Cposed,0,0,e3100,0,0,0,Asia,0,EbnEuropeMiddleEastahdnavhreb,FEDERAp,0,0,0,690713.4493462592,NohPBA,WeztBankGazs,A018y51001,Directide,0,7ndodedPreAPP,1538068.5013866294,99810,f3100,EDD Europe-Middle East Programming,S4264,West Bank Gaza & Palestinian Refugees,4265,0.0,0.0,1,0,0,0,0,0,0
20092020,xlosed,0,0,x4207,1,0,0,Af5ica,0,WGMSubSaharamxfrkca,FdDERAL,0,0,0,2167092.5302808285,jotPBA,Mali,A0188i30o1,Respojsiv4,0,UncoderPreAoP,7775441.672806453,16020,v4200,WWD West & Central Africa,S4215,Mali Program Section,4216,1.0,0.0,1,0,1,0,0,0,0
w0092010,Clos4d,0,0,v4207,1,0,0,Afrlca,0,WfMS7bSaharanAbrica,FEvERAL,0,0,0,52619300.34513734,NotlBA,Mali,z018893o01,Rew0onsive,0,UncodefPrexPP,56134161.97667573,32310,B420o,WWD West & Central Africa,S4215,Mali Program Section,4216,1.0,0.0,1,0,1,0,0,0,0
200920w0,Clos4d,0,0,D4e07,1,0,0,Afroca,0,WGnSubSaharqnAfrixa,FEDE4AL,0,0,0,12079198.669086553,No6PBA,Mali,q0188930o1,Res9onsife,0,6ncoded0reAPP,29339537.292538892,43030,B42p0,WWD West & Central Africa,S4215,Mali Program Section,4216,1.0,0.0,1,0,1,0,0,0,0
20082010,xlosed,0,0,D410o,1,0,0,Asia,0,OGMAsiaPacicif,FEDERAp,0,0,0,1774572.1665693335,N8tPBA,9akistan,A9w9043001,R3sponsife,0,UncofedoreAPP,1193742.2753456682,15110,B41p0,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",4124,1.0,0.0,1,0,0,0,0,0,0
2o092010,Cloeed,0,0,v4100,1,0,0,Asia,0,OGMAs7aPac7fic,vEDERAL,0,0,0,54075457.66467063,N0tPBA,Paiistan,A019033o01,Responciv4,0,UncoxecPreAPP,63015825.47030543,15111,Br100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",4124,1.0,0.0,1,0,0,0,0,0,0
2009e010,Clos2d,0,0,Dt100,1,0,0,Asia,0,OGMAsuaPqcific,dEDERAL,0,0,0,32067868.651440956,NofPBA,0akistan,A91904w001,Respogsife,0,UnvodedPrezPP,15231830.089609683,16010,B3100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",4124,1.0,0.0,1,0,0,0,0,0,0
