assay_id,tissue_id,curated_by,assay_tissue,tid,description,chembl_id,relationship_type,confidence_score,cell_id,assay_cell_type,doc_id,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id
1,,Autocuration,,12052,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,CHEMBL615117,H,8,,,11087,B,,,,
2,,Autocuration,,22226,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,CHEMBL615118,U,0,,,684,F,,,,
3,,Autocuration,,22226,,CHEMBL615119,U,0,,,15453,B,,,,
4,,Autocuration,,104729,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,CHEMBL615120,H,4,,,17841,B,,,Bos taurus,9913.0
5,,Intermediate,,80001,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),CHEMBL615121,N,1,163.0,143B,17430,F,,,Homo sapiens,9606.0
6,,Intermediate,,80001,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),CHEMBL615122,N,1,163.0,143B,17430,F,,,Homo sapiens,9606.0
7,,Intermediate,,80001,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,CHEMBL615123,N,1,163.0,143B,13799,F,,,Mus musculus,10090.0
8,,Expert,,80001,In vitro cell cytotoxicity was determined against 143B cell line,CHEMBL615124,N,1,163.0,143B,17774,F,,,Homo sapiens,9606.0
9,,Intermediate,,80001,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,CHEMBL615125,N,1,163.0,143B,3801,F,,,Homo sapiens,9606.0
10,,Intermediate,,80001,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,CHEMBL615126,N,1,163.0,143B,17430,F,,,Homo sapiens,9606.0
11,,Intermediate,,80001,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,CHEMBL615127,N,1,163.0,143B,17430,F,,,Homo sapiens,9606.0
12,,Expert,,80001,In vitro cell cytotoxicity was determined against 143B-LTK cell line,CHEMBL615128,N,1,163.0,143B,17774,F,,,Homo sapiens,9606.0
13,,Intermediate,,50185,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",CHEMBL857900,N,1,,,11324,F,,,Staphylococcus aureus,1280.0
14,,Intermediate,,50185,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",CHEMBL615129,N,1,,,11324,F,,,Staphylococcus aureus,1280.0
15,,Intermediate,,50185,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",CHEMBL615130,N,1,,,11324,F,,,Staphylococcus aureus,1280.0
16,,Intermediate,,50185,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",CHEMBL615131,N,1,,,11324,F,,,Staphylococcus aureus,1280.0
17,,Expert,,100122,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,CHEMBL884521,D,9,,,11347,A,,,Rattus norvegicus,10116.0
18,,Autocuration,,12054,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),CHEMBL615132,H,8,,,16474,B,,,,
19,,Autocuration,,12054,Inhibition of partially purified 15-lipoxygenase from human leukocytes,CHEMBL615133,H,8,,,10091,B,,,,
